,geo_code,polygon_area_centroid,polygon_area,polygon_bounds,axes_radius_degrees,polygon_area_meters,axes_radius_meters,axes_radius_meters_extended
13,E00175213,"{""lat"": 51.5054477096813, ""lng"": -0.1471863155125321}",3.42472724340135e-06,"{""lng_min"": -0.149058662414736, ""lat_min"": 51.50439032040375, ""lng_max"": -0.14463048823662, ""lat_max"": 51.506357441702725}","{""lat"": 0.0010573892775482818, ""lng"": 0.0025558272759121092}",26446.762165997723,"{""lat"": 118.20559164060978, ""lng"": 176.07731677393895}","{""lat"": 418.2055916406098, ""lng"": 476.07731677393895}"
14,E00023564,"{""lat"": 51.52516210702948, ""lng"": -0.16548559796637644}",1.2951388504618157e-06,"{""lng_min"": -0.166654286861108, ""lat_min"": 51.52458367204775, ""lng_max"": -0.163996662860455, ""lat_max"": 51.52555988689079}","{""lat"": 0.0005784349817332668, ""lng"": 0.001488935105921435}",9997.08194300105,"{""lat"": 65.83089929449488, ""lng"": 103.28912784520071}","{""lat"": 365.8308992944949, ""lng"": 403.2891278452007}"
15,E00023830,"{""lat"": 51.52035474511395, ""lng"": -0.15794315253152935}",1.5679085863671855e-06,"{""lng_min"": -0.159121835872972, ""lat_min"": 51.51950437091597, ""lng_max"": -0.15670116701942, ""lat_max"": 51.52090955621795}","{""lat"": 0.000850374197980841, ""lng"": 0.001241985512109356}",12103.876424501414,"{""lat"": 94.78590212861309, ""lng"": 86.31012988230214}","{""lat"": 394.7859021286131, ""lng"": 386.31012988230214}"
16,E00023586,"{""lat"": 51.525754704844, ""lng"": -0.2008227219037577}",2.341640678413051e-06,"{""lng_min"": -0.201573902529143, ""lat_min"": 51.52455731459168, ""lng_max"": -0.199640028926424, ""lat_max"": 51.5266285289774}","{""lat"": 0.0011973902523152447, ""lng"": 0.0011826929773336992}",18074.44403949694,"{""lat"": 134.12326425212086, ""lng"": 81.48898324125912}","{""lat"": 434.12326425212086, ""lng"": 381.4889832412591}"
17,E00023507,"{""lat"": 51.515622606021196, ""lng"": -0.1628467228855981}",1.1492599007437874e-06,"{""lng_min"": -0.16368800367721, ""lat_min"": 51.51502111980843, ""lng_max"": -0.162203831834859, ""lat_max"": 51.51625721863561}","{""lat"": 0.0006346126144123332, ""lng"": 0.0008412807916119147}",8872.906138500346,"{""lat"": 71.15059131578892, ""lng"": 58.211939712869935}","{""lat"": 371.1505913157889, ""lng"": 358.21193971286993}"
18,E00024104,"{""lat"": 51.521436802513875, ""lng"": -0.18581992846049503}",2.043809177998876e-06,"{""lng_min"": -0.187426548264482, ""lat_min"": 51.520755399137634, ""lng_max"": -0.183875766889965, ""lat_max"": 51.52236935889913}","{""lat"": 0.0009325563852513596, ""lng"": 0.0019441615705300397}",15777.151912999094,"{""lat"": 100.9424719416711, ""lng"": 135.45049372129142}","{""lat"": 400.9424719416711, ""lng"": 435.4504937212914}"
19,E00024094,"{""lat"": 51.523633948189826, ""lng"": -0.19137068160185358}",1.0752632471606892e-06,"{""lng_min"": -0.192427063319159, ""lat_min"": 51.523116895839564, ""lng_max"": -0.190242141169647, ""lat_max"": 51.52416881345791}","{""lat"": 0.0005348652680865484, ""lng"": 0.0011285404322065873}",8300.060694499238,"{""lat"": 59.620069416443584, ""lng"": 79.04809649696108}","{""lat"": 359.6200694164436, ""lng"": 379.0480964969611}"
20,E00023936,"{""lat"": 51.50506453009575, ""lng"": -0.12839856492737364}",4.3222758587172354e-05,"{""lng_min"": -0.137076375216913, ""lat_min"": 51.50211224053794, ""lng_max"": -0.122415748372421, ""lat_max"": 51.509069264901505}","{""lat"": 0.00400473480575414, ""lng"": 0.008677810289539345}",333784.5046110004,"{""lat"": 450.92908507419634, ""lng"": 597.2243766977917}","{""lat"": 750.9290850741963, ""lng"": 897.2243766977917}"
21,E00175182,"{""lat"": 51.51828292898753, ""lng"": -0.17979581928161403}",7.527816096308087e-06,"{""lng_min"": -0.182174092496657, ""lat_min"": 51.51673286894613, ""lng_max"": -0.177749881188339, ""lat_max"": 51.51990929943505}","{""lat"": 0.0016263704475178997, ""lng"": 0.0023782732150429697}",58115.04566850169,"{""lat"": 182.78212058902136, ""lng"": 162.95001130900346}","{""lat"": 482.78212058902136, ""lng"": 462.95001130900346}"
22,E00023840,"{""lat"": 51.518632881095336, ""lng"": -0.15494095730263302}",2.742780416114136e-06,"{""lng_min"": -0.156303130359775, ""lat_min"": 51.517556162535506, ""lng_max"": -0.15318289793118, ""lat_max"": 51.519558541611055}","{""lat"": 0.0010767185598297146, ""lng"": 0.0017580593714530135}",21174.424672998433,"{""lat"": 119.40272254290176, ""lng"": 121.08907181455288}","{""lat"": 419.40272254290176, ""lng"": 421.0890718145529}"
23,E00175255,"{""lat"": 51.492332849178645, ""lng"": -0.13098952519275683}",9.897830026481356e-07,"{""lng_min"": -0.131695384501681, ""lat_min"": 51.49165870230699, ""lng_max"": -0.130256992861588, ""lat_max"": 51.49298879681056}","{""lat"": 0.0006741468716526811, ""lng"": 0.0007325323311688225}",7645.630806501854,"{""lat"": 74.6983257092943, ""lng"": 50.422854575444944}","{""lat"": 374.6983257092943, ""lng"": 350.42285457544494}"
24,E00175277,"{""lat"": 51.520849616848515, ""lng"": -0.19449818768308544}",1.1373406585180794e-06,"{""lng_min"": -0.195347660664998, ""lat_min"": 51.52019315327479, ""lng_max"": -0.193761211001863, ""lat_max"": 51.52140291945948}","{""lat"": 0.0006564635737262847, ""lng"": 0.000849472981912569}",8779.767093998402,"{""lat"": 72.06749865363236, ""lng"": 59.97904344601557}","{""lat"": 372.06749865363236, ""lng"": 359.97904344601557}"
25,E00023767,"{""lat"": 51.5262461066687, ""lng"": -0.17943545773495953}",9.40120778733778e-07,"{""lng_min"": -0.180342029444234, ""lat_min"": 51.52578953424576, ""lng_max"": -0.178467160362126, ""lat_max"": 51.52677873756377}","{""lat"": 0.0005326308950657221, ""lng"": 0.0009682973728335209}",7256.508758499529,"{""lat"": 59.29241154555348, ""lng"": 68.0175385227194}","{""lat"": 359.2924115455535, ""lng"": 368.0175385227194}"
26,E00023908,"{""lat"": 51.52807274851121, ""lng"": -0.1758214577636568}",4.87582133194916e-07,"{""lng_min"": -0.176456499136769, ""lat_min"": 51.52759230631632, ""lng_max"": -0.175203946285793, ""lat_max"": 51.52847714045145}","{""lat"": 0.0004804421948847448, ""lng"": 0.0006350413731122106}",3763.3550175002756,"{""lat"": 54.08890962274745, ""lng"": 44.020533307106234}","{""lat"": 354.08890962274745, ""lng"": 344.02053330710623}"
27,E00023475,"{""lat"": 51.516123620921206, ""lng"": -0.19909363459669732}",1.3441447476588493e-06,"{""lng_min"": -0.199855095902913, ""lat_min"": 51.51553577345975, ""lng_max"": -0.198308457914162, ""lat_max"": 51.516756930473775}","{""lat"": 0.0006333095525690169, ""lng"": 0.0007851766825353323}",10377.245829504414,"{""lat"": 70.96513044118183, ""lng"": 55.98837706190534}","{""lat"": 370.9651304411818, ""lng"": 355.98837706190534}"
28,E00023634,"{""lat"": 51.51344698883716, ""lng"": -0.16755361443141198}",3.935238673120697e-06,"{""lng_min"": -0.169219961738497, ""lat_min"": 51.51239926620352, ""lng_max"": -0.165699336702052, ""lat_max"": 51.514351516540444}","{""lat"": 0.0010477226336362833, ""lng"": 0.0018542777293599766}",30383.530823500056,"{""lat"": 117.50691530935, ""lng"": 129.8575109647354}","{""lat"": 417.50691530935, ""lng"": 429.8575109647354}"
29,E00023727,"{""lat"": 51.51307122008386, ""lng"": -0.18984207695175082}",2.5188286712598213e-06,"{""lng_min"": -0.191349358862504, ""lat_min"": 51.51232166822248, ""lng_max"": -0.188108055283817, ""lat_max"": 51.51371449320582}","{""lat"": 0.0007495518613822583, ""lng"": 0.0017340216679338216}",19447.561725500615,"{""lat"": 85.44951670334558, ""lng"": 118.88430731836706}","{""lat"": 385.4495167033456, ""lng"": 418.88430731836706}"
30,E00024066,"{""lat"": 51.49016889233298, ""lng"": -0.14010558583252075}",3.989435285432622e-07,"{""lng_min"": -0.140844242098191, ""lat_min"": 51.48960523978408, ""lng_max"": -0.139354189714129, ""lat_max"": 51.49073400421176}","{""lat"": 0.0005651118787781684, ""lng"": 0.0007513961183917561}",3081.7930635013217,"{""lat"": 63.836298934416845, ""lng"": 51.10378139175009}","{""lat"": 363.83629893441685, ""lng"": 351.1037813917501}"
31,E00023991,"{""lat"": 51.48994580394988, ""lng"": -0.13806657784957804}",7.247818708450705e-07,"{""lng_min"": -0.139066261878718, ""lat_min"": 51.489538185323056, ""lng_max"": -0.137097178316159, ""lat_max"": 51.490418087732955}","{""lat"": 0.0004722837830755111, ""lng"": 0.000999684029139969}",5598.890102001448,"{""lat"": 52.122026873141294, ""lng"": 68.53056250978261}","{""lat"": 352.1220268731413, ""lng"": 368.5305625097826}"
32,E00023910,"{""lat"": 51.5279093323477, ""lng"": -0.1732353872991593}",1.8754473692036166e-06,"{""lng_min"": -0.174511220423103, ""lat_min"": 51.52717448777302, ""lng_max"": -0.171834155893546, ""lat_max"": 51.52855106586217}","{""lat"": 0.0007348445746799825, ""lng"": 0.0014012314056132957}",14475.530931501991,"{""lat"": 81.72463969263481, ""lng"": 96.64309375640005}","{""lat"": 381.7246396926348, ""lng"": 396.64309375640005}"
33,E00175215,"{""lat"": 51.51571142613716, ""lng"": -0.17272711211425135}",2.526417735594648e-06,"{""lng_min"": -0.17423261729198, ""lat_min"": 51.5148170844094, ""lng_max"": -0.171319677256915, ""lat_max"": 51.51668939727375}","{""lat"": 0.0009779711365922594, ""lng"": 0.0015055051777286554}",19505.181886002494,"{""lat"": 109.40282199147623, ""lng"": 103.67412916652393}","{""lat"": 409.40282199147623, ""lng"": 403.6741291665239}"
34,E00023800,"{""lat"": 51.52827811468664, ""lng"": -0.1846893381822266}",2.2601349531397967e-06,"{""lng_min"": -0.186293647906358, ""lat_min"": 51.527219865087936, ""lng_max"": -0.18315350488096, ""lat_max"": 51.52962903581521}","{""lat"": 0.0013509211285693823, ""lng"": 0.001604309724131392}",17444.49155649564,"{""lat"": 148.45031873931293, ""lng"": 114.29128130921163}","{""lat"": 448.45031873931293, ""lng"": 414.2912813092116}"
35,E00023920,"{""lat"": 51.52322883721513, ""lng"": -0.15676236084249115}",2.6574073973195993e-06,"{""lng_min"": -0.158497272719266, ""lat_min"": 51.52221486052885, ""lng_max"": -0.155108106302976, ""lat_max"": 51.52423400980586}","{""lat"": 0.001013976686280671, ""lng"": 0.0017349118767748528}",20513.2694069992,"{""lat"": 113.43620747048408, ""lng"": 123.1431836191332}","{""lat"": 413.4362074704841, ""lng"": 423.1431836191332}"
36,E00023831,"{""lat"": 51.51980588629787, ""lng"": -0.15256296796169855}",1.7133182542493749e-06,"{""lng_min"": -0.153148341406087, ""lat_min"": 51.51852007400644, ""lng_max"": -0.151736308810582, ""lat_max"": 51.52111975973409}","{""lat"": 0.0013138734362243554, ""lng"": 0.0008266591511165433}",13226.592635000927,"{""lat"": 146.56681445770664, ""lng"": 58.568570476723835}","{""lat"": 446.56681445770664, ""lng"": 358.56857047672383}"
37,E00023485,"{""lat"": 51.51807990087933, ""lng"": -0.18339404119427594}",3.505276054224695e-07,"{""lng_min"": -0.183795976416728, ""lat_min"": 51.51756939711736, ""lng_max"": -0.182992361059323, ""lat_max"": 51.51866088273055}","{""lat"": 0.0005809818512219067, ""lng"": 0.0004019352224520767}",2706.0978754977327,"{""lat"": 63.91559942017193, ""lng"": 29.489596974570304}","{""lat"": 363.91559942017193, ""lng"": 329.4895969745703}"
38,E00024021,"{""lat"": 51.4926014543262, ""lng"": -0.13262788576707887}",8.589962621624898e-07,"{""lng_min"": -0.133554959709762, ""lat_min"": 51.49217719096613, ""lng_max"": -0.1316032567289, ""lat_max"": 51.492946196035575}","{""lat"": 0.0004242633600668455, ""lng"": 0.0010246290381788759}",6635.31858999984,"{""lat"": 47.08676220435882, ""lng"": 71.29982594656758}","{""lat"": 347.0867622043588, ""lng"": 371.2998259465676}"
39,E00023738,"{""lat"": 51.51226969788968, ""lng"": -0.19356823377315074}",1.3370914668954996e-06,"{""lng_min"": -0.194369252976647, ""lat_min"": 51.51169180761668, ""lng_max"": -0.192678356342474, ""lat_max"": 51.5128012587095}","{""lat"": 0.0005778902730000368, ""lng"": 0.0008898774306767554}",10323.679377500053,"{""lat"": 64.4121142969525, ""lng"": 61.20429283322301}","{""lat"": 364.4121142969525, ""lng"": 361.204292833223}"
40,E00023912,"{""lat"": 51.52680018862946, ""lng"": -0.17348271506502128}",1.567122608817993e-06,"{""lng_min"": -0.174576452745691, ""lat_min"": 51.526174975426905, ""lng_max"": -0.171951916673395, ""lat_max"": 51.52766107111077}","{""lat"": 0.0008608824813123306, ""lng"": 0.0015307983916262868}",12096.023381995865,"{""lat"": 94.62742394747329, ""lng"": 107.23741961887572}","{""lat"": 394.6274239474733, ""lng"": 407.2374196188757}"
41,E00023423,"{""lat"": 51.532941308082655, ""lng"": -0.17816121866328005}",1.247159598560269e-06,"{""lng_min"": -0.179088959007075, ""lat_min"": 51.53232369051265, ""lng_max"": -0.177334550341512, ""lat_max"": 51.533590228486716}","{""lat"": 0.0006489204040605046, ""lng"": 0.0009277403437949472}",9625.051435499374,"{""lat"": 72.4648991774593, ""lng"": 64.45694769942202}","{""lat"": 372.4648991774593, ""lng"": 364.456947699422}"
42,E00023488,"{""lat"": 51.51815021858088, ""lng"": -0.15884257919395442}",2.4188655150436745e-06,"{""lng_min"": -0.15995995513592, ""lat_min"": 51.51713343291868, ""lng_max"": -0.157774820707275, ""lat_max"": 51.51899837403056}","{""lat"": 0.0010167856621947635, ""lng"": 0.0011173759419655926}",18673.946819998953,"{""lat"": 111.99587965931278, ""lng"": 79.45997103513218}","{""lat"": 411.9958796593128, ""lng"": 379.4599710351322}"
43,E00023500,"{""lat"": 51.51737793427419, ""lng"": -0.16495359505634283}",2.288398376939062e-06,"{""lng_min"": -0.166695703748493, ""lat_min"": 51.516595782116816, ""lng_max"": -0.162985175664238, ""lat_max"": 51.51813722573572}","{""lat"": 0.0007821521573703194, ""lng"": 0.00196841939210482}",17666.974559995,"{""lat"": 86.12084787900676, ""lng"": 136.36379746580496}","{""lat"": 386.12084787900676, ""lng"": 436.36379746580496}"
44,E00175275,"{""lat"": 51.52191143355736, ""lng"": -0.19748500733676744}",2.563861815951348e-06,"{""lng_min"": -0.198851232569564, ""lat_min"": 51.52100582601991, ""lng_max"": -0.196320098809225, ""lat_max"": 51.522713361891626}","{""lat"": 0.0009056075374473949, ""lng"": 0.0013662252327965585}",19791.38944749872,"{""lat"": 98.92307964677457, ""lng"": 95.17177713348065}","{""lat"": 398.92307964677457, ""lng"": 395.17177713348065}"
45,E00023503,"{""lat"": 51.51596963271436, ""lng"": -0.1581120752197063}",2.2872831119620515e-06,"{""lng_min"": -0.159328742045222, ""lat_min"": 51.51504926853774, ""lng_max"": -0.157030555284012, ""lat_max"": 51.51708622574094}","{""lat"": 0.0011165930265804036, ""lng"": 0.0012166668255156887}",17658.957541998454,"{""lat"": 125.13470682140905, ""lng"": 83.41341347899288}","{""lat"": 425.13470682140905, ""lng"": 383.4134134789929}"
46,E00175243,"{""lat"": 51.52239961812074, ""lng"": -0.1864651162528227}",1.4515466759037992e-06,"{""lng_min"": -0.187801162823096, ""lat_min"": 51.521786516058384, ""lng_max"": -0.184652956567574, ""lat_max"": 51.52299148562401}","{""lat"": 0.0006131020623527661, ""lng"": 0.0018121596852486987}",11204.955917999654,"{""lat"": 66.79055561838322, ""lng"": 126.35064695111942}","{""lat"": 366.7905556183832, ""lng"": 426.3506469511194}"
47,E00175246,"{""lat"": 51.52559867513112, ""lng"": -0.18483203467698972}",2.2486235107245023e-06,"{""lng_min"": -0.18618323830059, ""lat_min"": 51.524679461697296, ""lng_max"": -0.183806296767665, ""lat_max"": 51.526638395649925}","{""lat"": 0.001039720518804188, ""lng"": 0.0013512036236002778}",17356.6496255011,"{""lat"": 116.70624788713758, ""lng"": 93.78362799738534}","{""lat"": 416.7062478871376, ""lng"": 393.78362799738534}"
48,E00024095,"{""lat"": 51.52321522956034, ""lng"": -0.19299015489091303}",1.3964610567506328e-06,"{""lng_min"": -0.194663931830569, ""lat_min"": 51.52274166901304, ""lng_max"": -0.191565691299362, ""lat_max"": 51.5238113399439}","{""lat"": 0.00059611038355456, ""lng"": 0.001673776939655952}",10779.50854099861,"{""lat"": 67.43392341310391, ""lng"": 115.4157438109396}","{""lat"": 367.4339234131039, ""lng"": 415.4157438109396}"
49,E00023756,"{""lat"": 51.52273231434646, ""lng"": -0.17677145173797548}",2.436906369496159e-06,"{""lng_min"": -0.17796364280276, ""lat_min"": 51.52193701220187, ""lng_max"": -0.175347318882254, ""lat_max"": 51.52365618952982}","{""lat"": 0.000923875183353573, ""lng"": 0.0014241328557214883}",18811.20325899565,"{""lat"": 102.68147150086588, ""lng"": 99.19530554581434}","{""lat"": 402.6814715008659, ""lng"": 399.19530554581434}"
50,E00024014,"{""lat"": 51.49338731342039, ""lng"": -0.13827131080569333}",8.9507670715932e-07,"{""lng_min"": -0.138959545210557, ""lat_min"": 51.49275586826598, ""lng_max"": -0.137415448278067, ""lat_max"": 51.493979818485485}","{""lat"": 0.0006314451544113808, ""lng"": 0.0008558625276263165}",6913.888214499802,"{""lat"": 69.81554381083697, ""lng"": 58.155394659377635}","{""lat"": 369.81554381083697, ""lng"": 358.15539465937763}"
51,E00023620,"{""lat"": 51.51475465197996, ""lng"": -0.17493585024521527}",2.971431679147246e-06,"{""lng_min"": -0.176646648588475, ""lat_min"": 51.51364425104461, ""lng_max"": -0.173367060432512, ""lat_max"": 51.51598464998935}","{""lat"": 0.0012299980093857243, ""lng"": 0.0017107983432597396}",22941.360818500678,"{""lat"": 136.65851875868975, ""lng"": 118.55473042244557}","{""lat"": 436.65851875868975, ""lng"": 418.5547304224456}"
52,E00023520,"{""lat"": 51.52310810441719, ""lng"": -0.1596687876666104}",1.0177212050257167e-06,"{""lng_min"": -0.16089618718862, ""lat_min"": 51.5223430093134, ""lng_max"": -0.158770589136744, ""lat_max"": 51.523800585797275}","{""lat"": 0.0007650951037874165, ""lng"": 0.0012273995220095923}",7856.086258999995,"{""lat"": 86.74633725211606, ""lng"": 83.71883941115811}","{""lat"": 386.74633725211606, ""lng"": 383.7188394111581}"
53,E00024125,"{""lat"": 51.518828489302535, ""lng"": -0.13995515173625636}",1.0590617351409903e-06,"{""lng_min"": -0.140863464137244, ""lat_min"": 51.51808003584435, ""lng_max"": -0.139015100045371, ""lat_max"": 51.51946064485271}","{""lat"": 0.0007484534581863045, ""lng"": 0.000940051690885374}",8176.035166997644,"{""lat"": 83.61374886680278, ""lng"": 64.87241311033722}","{""lat"": 383.6137488668028, ""lng"": 364.8724131103372}"
54,E00024063,"{""lat"": 51.490550013032156, ""lng"": -0.1440474681433716}",1.4453951169041037e-06,"{""lng_min"": -0.145321037367594, ""lat_min"": 51.48989121230042, ""lng_max"": -0.142968775109524, ""lat_max"": 51.49110578686424}","{""lat"": 0.0006588007317347433, ""lng"": 0.0012735692242223928}",11165.40019049952,"{""lat"": 72.9646707312495, ""lng"": 88.69546203524806}","{""lat"": 372.9646707312495, ""lng"": 388.69546203524806}"
55,E00024105,"{""lat"": 51.52038418704899, ""lng"": -0.18268672546120387}",4.9110962893221434e-06,"{""lng_min"": -0.184938745702474, ""lat_min"": 51.519532659877214, ""lng_max"": -0.17999115991252, ""lat_max"": 51.521228122254854}","{""lat"": 0.0008515271717755013, ""lng"": 0.002695565548683887}",37912.0474120006,"{""lat"": 98.48485373976291, ""lng"": 187.80715254042298}","{""lat"": 398.4848537397629, ""lng"": 487.807152540423}"
56,E00023932,"{""lat"": 51.51264458472606, ""lng"": -0.12336958568899191}",7.840074035971846e-06,"{""lng_min"": -0.126438299874081, ""lat_min"": 51.51113320854457, ""lng_max"": -0.120479673764322, ""lat_max"": 51.514202450758916}","{""lat"": 0.0015578660328543492, ""lng"": 0.003068714185089097}",60534.55001750125,"{""lat"": 174.55637948744697, ""lng"": 210.9181620097952}","{""lat"": 474.556379487447, ""lng"": 510.9181620097952}"
57,E00024075,"{""lat"": 51.52035710360616, ""lng"": -0.1853565061276509}",2.756303205824054e-06,"{""lng_min"": -0.186848242551441, ""lat_min"": 51.51952411565929, ""lng_max"": -0.18401545675978, ""lat_max"": 51.521307461186375}","{""lat"": 0.0009503575802156661, ""lng"": 0.0014917364237901076}",21277.742791995683,"{""lat"": 106.62090251725749, ""lng"": 104.85795431525912}","{""lat"": 406.6209025172575, ""lng"": 404.8579543152591}"
58,E00175198,"{""lat"": 51.51221536823881, ""lng"": -0.18593146087270712}",2.3311823441017678e-06,"{""lng_min"": -0.187243175574597, ""lat_min"": 51.510930296839604, ""lng_max"": -0.18447781033189, ""lat_max"": 51.51334736718504}","{""lat"": 0.0012850713992094143, ""lng"": 0.001453650540817114}",17999.132372999495,"{""lat"": 141.36421565385535, ""lng"": 104.27339920424856}","{""lat"": 441.36421565385535, ""lng"": 404.27339920424856}"
59,E00023728,"{""lat"": 51.512687879085746, ""lng"": -0.17922116203676505}",1.7504537545472317e-06,"{""lng_min"": -0.1803375270665, ""lat_min"": 51.511835276438475, ""lng_max"": -0.178160872179751, ""lat_max"": 51.51370744625449}","{""lat"": 0.0010195671687469599, ""lng"": 0.0011163650297349448}",13515.2099764995,"{""lat"": 113.82877385470783, ""lng"": 77.7563079710817}","{""lat"": 413.82877385470783, ""lng"": 377.7563079710817}"
