,OA,accounting,airport,amusement_park,aquarium,art_gallery,atm,bakery,bank,bar,beauty_salon,bicycle_store,book_store,bowling_alley,bus_station,cafe,campground,car_dealer,car_rental,car_repair,car_wash,casino,cemetery,church,city_hall,clothing_store,convenience_store,courthouse,dentist,department_store,doctor,drugstore,electrician,electronics_store,embassy,establishment,finance,fire_station,florist,food,funeral_home,furniture_store,gas_station,general_contractor,grocery_or_supermarket,gym,hair_care,hardware_store,health,hindu_temple,home_goods_store,hospital,insurance_agency,jewelry_store,laundry,lawyer,library,liquor_store,local_government_office,locksmith,lodging,meal_delivery,meal_takeaway,mosque,movie_rental,movie_theater,moving_company,museum,night_club,painter,park,parking,pet_store,pharmacy,physiotherapist,place_of_worship,plumber,point_of_interest,police,post_office,premise,primary_school,real_estate_agency,restaurant,roofing_contractor,school,secondary_school,shoe_store,shopping_mall,spa,stadium,storage,store,subway_station,supermarket,synagogue,taxi_stand,tourist_attraction,train_station,transit_station,travel_agency,university,veterinary_care,zoo
470,E00023882,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,3.0,4.0,0.0,0.0,0.0,61.0,0.0,4.0,2.0,0.0,390.0,8.0,0.0,1.0,23.0,0.0,0.0,1.0,7.0,2.0,3.0,0.0,0.0,126.0,0.0,5.0,25.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,13.0,0.0,2.0,1.0,6.0,1.0,390.0,0.0,0.0,13.0,0.0,7.0,14.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,34.0,0.0,0.0,0.0,1.0,3.0,0.0,20.0,2.0,0.0,0.0,0.0
471,E00024031,3.0,0.0,0.0,0.0,3.0,7.0,3.0,7.0,8.0,6.0,0.0,3.0,0.0,2.0,19.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,2.0,16.0,3.0,0.0,5.0,1.0,5.0,0.0,0.0,3.0,1.0,609.0,61.0,0.0,0.0,52.0,0.0,3.0,0.0,15.0,4.0,6.0,7.0,1.0,38.0,0.0,6.0,0.0,1.0,3.0,2.0,3.0,1.0,1.0,4.0,1.0,9.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,2.0,8.0,1.0,609.0,0.0,1.0,3.0,1.0,14.0,29.0,0.0,7.0,1.0,5.0,2.0,3.0,0.0,0.0,76.0,0.0,4.0,0.0,1.0,3.0,0.0,5.0,4.0,2.0,0.0,0.0
472,E00023973,1.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,6.0,4.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,1.0,394.0,10.0,0.0,2.0,27.0,0.0,0.0,0.0,7.0,6.0,0.0,4.0,0.0,36.0,0.0,2.0,0.0,0.0,3.0,5.0,3.0,2.0,3.0,0.0,1.0,13.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,5.0,0.0,2.0,0.0,3.0,1.0,394.0,1.0,1.0,4.0,1.0,2.0,12.0,4.0,10.0,0.0,0.0,0.0,3.0,0.0,1.0,37.0,1.0,2.0,0.0,0.0,3.0,0.0,16.0,0.0,2.0,0.0,0.0
473,E00023557,7.0,0.0,0.0,0.0,6.0,3.0,6.0,3.0,11.0,11.0,0.0,0.0,0.0,11.0,13.0,0.0,2.0,7.0,5.0,1.0,0.0,0.0,2.0,0.0,18.0,4.0,0.0,2.0,0.0,4.0,1.0,2.0,1.0,0.0,693.0,42.0,0.0,2.0,58.0,0.0,11.0,1.0,26.0,6.0,4.0,7.0,0.0,53.0,0.0,29.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,0.0,23.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,9.0,1.0,1.0,4.0,2.0,3.0,693.0,0.0,0.0,7.0,1.0,13.0,31.0,0.0,9.0,1.0,4.0,3.0,3.0,0.0,2.0,103.0,0.0,2.0,0.0,2.0,2.0,0.0,17.0,13.0,1.0,1.0,0.0
474,E00023679,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,243.0,9.0,0.0,0.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,243.0,0.0,0.0,4.0,0.0,3.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,2.0,13.0,0.0,0.0
475,E00024116,17.0,0.0,0.0,0.0,35.0,6.0,2.0,13.0,38.0,14.0,0.0,2.0,0.0,3.0,16.0,1.0,5.0,3.0,6.0,1.0,0.0,0.0,3.0,0.0,56.0,1.0,0.0,2.0,0.0,8.0,1.0,16.0,3.0,8.0,1844.0,338.0,0.0,4.0,108.0,1.0,4.0,1.0,95.0,3.0,13.0,17.0,0.0,75.0,0.0,27.0,2.0,2.0,23.0,6.0,23.0,2.0,3.0,3.0,0.0,28.0,0.0,6.0,0.0,0.0,0.0,6.0,4.0,0.0,1.0,7.0,10.0,0.0,4.0,7.0,7.0,4.0,1844.0,0.0,2.0,6.0,1.0,102.0,74.0,1.0,7.0,0.0,10.0,1.0,10.0,0.0,1.0,191.0,0.0,1.0,0.0,0.0,7.0,0.0,5.0,5.0,6.0,0.0,0.0
476,E00023485,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,194.0,11.0,0.0,0.0,7.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,0.0,3.0,0.0,9.0,5.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
477,E00024113,40.0,0.0,0.0,0.0,132.0,15.0,6.0,38.0,91.0,16.0,1.0,7.0,0.0,3.0,37.0,0.0,7.0,9.0,4.0,0.0,3.0,0.0,4.0,0.0,131.0,3.0,0.0,1.0,1.0,9.0,0.0,9.0,12.0,12.0,3513.0,684.0,0.0,3.0,209.0,0.0,5.0,0.0,95.0,5.0,5.0,19.0,0.0,72.0,0.0,41.0,2.0,8.0,90.0,9.0,31.0,3.0,6.0,3.0,2.0,58.0,2.0,9.0,1.0,0.0,1.0,3.0,6.0,16.0,2.0,3.0,15.0,0.0,4.0,1.0,10.0,1.0,3513.0,0.0,2.0,5.0,0.0,154.0,164.0,2.0,8.0,1.0,39.0,4.0,11.0,0.0,4.0,430.0,1.0,3.0,0.0,1.0,10.0,0.0,10.0,25.0,4.0,0.0,0.0
478,E00023756,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,0.0,4.0,0.0,8.0,1.0,2.0,0.0,0.0,264.0,7.0,0.0,0.0,28.0,0.0,1.0,1.0,5.0,4.0,3.0,6.0,0.0,35.0,0.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,6.0,1.0,5.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,5.0,0.0,2.0,1.0,4.0,2.0,264.0,0.0,0.0,5.0,0.0,5.0,19.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,4.0,38.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0
479,E00024051,7.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,8.0,6.0,0.0,2.0,0.0,6.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,3.0,1.0,703.0,52.0,0.0,3.0,58.0,0.0,2.0,0.0,20.0,3.0,4.0,5.0,0.0,45.0,0.0,7.0,0.0,2.0,1.0,1.0,5.0,2.0,1.0,3.0,0.0,55.0,0.0,6.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,5.0,0.0,2.0,2.0,5.0,0.0,703.0,0.0,1.0,3.0,0.0,18.0,36.0,1.0,5.0,0.0,1.0,4.0,2.0,0.0,3.0,61.0,0.0,2.0,0.0,1.0,3.0,1.0,18.0,20.0,2.0,1.0,0.0
