,OA,Paycheck Mean Income,Mean Net Disposable Income,Mean Gross Disposable Income,Mean Net Disposable Income Band,"CACI_Essential_Outgoings - Income tax, NI","CACI_Essential_Outgoings - Mortgage, social rent, private rent","CACI_Essential_Outgoings - Council tax, utilities, water, structure insurance, NI domestic rates","CACI_Essential_Outgoings - Food, clothing","CACI_Essential_Outgoings - Childcare, student loans, pension",CACI_Essential_Outgoings - Travel to work,Mean over all households in an OA: Income tax - Income tax,Mean over all households in an OA: Income tax - National Insurance,Mean over all households in an OA: Income tax - Mortgage,Mean over all households in an OA: Income tax - Private rent,Mean over all households in an OA: Income tax - Social rent,Mean over all households in an OA: Income tax - Council tax,Mean over all households in an OA: Income tax - Water bills,"Mean over all households in an OA: Income tax - Gas, electricity, oil",Mean over all households in an OA: Income tax - Structure insurance,Mean over all households in an OA: Income tax - Food costs,Mean over all households in an OA: Income tax - Clothing costs,Mean over all households in an OA: Income tax - Childcare,Mean over all households in an OA: Income tax - Student loan,Mean over all households in an OA: Income tax - Pension,Mean over all households in an OA: Income tax - Travel to work,Mean over relevant households in an OA - Income tax,Mean over relevant households in an OA - National Insurance,Mean over relevant households in an OA - Mortgage,Mean over relevant households in an OA - Private rent,Mean over relevant households in an OA - Social rent,Mean over relevant households in an OA - Council tax,Mean over relevant households in an OA - Water bills,"Mean over relevant households in an OA - Gas, electricity, oil",Mean over relevant households in an OA - Structure insurance,Mean over relevant households in an OA - Food costs,Mean over relevant households in an OA - Clothing costs,Mean over relevant households in an OA - Childcare,Mean over relevant households in an OA - Student loan,Mean over relevant households in an OA - Pension,Mean over relevant households in an OA - Travel to work,Proportion of households paying % - Income tax,Proportion of households paying % - National Insurance,Proportion of households paying % - Mortgage,Proportion of households paying % - Private rent,Proportion of households paying % - Social rent,Proportion of households paying % - Council tax,Proportion of households paying % - Water bills,"Proportion of households paying % - Gas, electricity, oil",Proportion of households paying % - Structure insurance,Proportion of households paying % - Food costs,Proportion of households paying % - Clothing costs,Proportion of households paying % - Childcare,Proportion of households paying % - Student loan,Proportion of households paying % - Pension,Proportion of households paying % - Travel to work
0,E00023412,66.9,15.483,50.622,15.682,16.279,22.575,2.942,5.892,3.07,0.659,11.894,4.385,0.971,21.561,0.044,1.039,0.725,0.628,0.551,3.795,2.097,1.025,0.232,1.814,0.659,11.894,5.535,6.136,33.002,0.704,1.055,0.725,0.628,0.937,3.795,2.097,1.769,1.525,2.362,0.869,100.0,79.636,7.273,61.0,0.545,98.455,100.0,100.0,38.455,100.0,100.0,59.545,7.273,77.364,77.364
1,E00023413,64.945,26.69,49.087,25.682,15.858,10.544,3.049,5.504,2.874,0.427,11.448,4.411,1.049,9.326,0.169,0.825,0.692,0.585,0.949,3.545,1.96,0.796,0.363,1.712,0.427,11.448,5.504,7.364,27.28,1.255,0.849,0.692,0.585,1.116,3.545,1.96,1.203,2.485,2.29,0.572,100.0,80.091,7.909,30.0,2.455,97.636,100.0,100.0,67.636,100.0,100.0,57.091,13.818,74.273,74.273
2,E00023414,50.45,4.06,38.725,2.5,11.725,25.585,1.115,3.68,3.555,0.73,7.245,4.48,0.0,25.585,0.0,0.29,0.405,0.42,0.005,2.55,1.125,1.0,0.575,1.975,0.73,7.245,4.74,0.0,25.995,0.0,0.295,0.405,0.42,0.29,2.55,1.125,1.07,2.415,2.11,0.78,100.0,94.5,0.0,98.0,0.0,99.0,100.0,100.0,2.0,100.0,100.0,93.5,23.5,93.5,93.5
3,E00023415,64.85,22.147,49.152,22.917,15.697,14.768,3.006,5.738,3.068,0.428,11.382,4.314,0.662,13.998,0.108,0.977,0.702,0.614,0.709,3.716,2.022,0.907,0.343,1.815,0.428,11.382,5.308,4.375,29.748,0.645,0.977,0.702,0.614,0.89,3.716,2.022,1.682,1.908,2.235,0.527,100.0,81.167,5.083,41.583,1.417,100.0,100.0,100.0,57.0,100.0,100.0,60.167,12.167,81.167,81.167
4,E00023416,56.037,2.179,42.01,2.5,14.028,31.084,1.639,3.661,2.76,0.688,9.408,4.618,0.0,31.084,0.0,0.646,0.545,0.414,0.038,2.492,1.169,0.541,0.218,1.996,0.688,9.408,4.972,0.0,32.864,0.0,0.646,0.545,0.414,0.494,2.492,1.169,0.599,2.864,2.151,0.74,100.0,92.75,0.0,94.75,0.0,100.0,100.0,100.0,5.25,100.0,100.0,90.75,7.75,92.75,92.75
5,E00023418,57.967,16.552,43.712,16.667,14.255,15.865,2.197,4.837,3.52,0.742,9.808,4.447,0.928,14.522,0.412,0.785,0.588,0.527,0.29,3.197,1.645,1.278,0.325,1.913,0.742,9.808,4.995,10.22,31.685,3.392,0.788,0.588,0.527,0.593,3.197,1.645,1.535,2.382,2.158,0.838,100.0,88.667,7.667,45.5,5.833,99.667,100.0,100.0,48.667,100.0,100.0,82.167,13.333,88.333,88.333
6,E00023419,68.36,19.096,50.955,19.5,17.406,18.431,2.723,5.503,4.447,0.754,12.067,5.338,1.876,16.515,0.041,0.879,0.697,0.582,0.565,3.518,1.985,1.502,0.651,2.295,0.754,12.067,5.685,12.15,35.718,1.655,0.879,0.697,0.582,0.955,3.518,1.985,1.844,2.757,2.445,0.804,100.0,93.9,13.9,46.0,0.5,100.0,100.0,100.0,53.4,100.0,100.0,84.7,19.1,93.9,93.9
7,E00023421,50.38,3.2,39.172,2.5,11.21,26.352,1.38,4.12,3.462,0.66,7.04,4.172,0.118,26.13,0.104,0.444,0.446,0.47,0.02,2.844,1.276,1.136,0.468,1.852,0.66,7.04,4.518,2.7,27.728,1.242,0.448,0.446,0.47,0.302,2.844,1.276,1.274,2.022,2.02,0.722,100.0,92.2,0.8,94.6,1.6,99.4,100.0,100.0,3.8,100.0,100.0,89.4,23.8,91.6,91.6
8,E00023422,63.731,21.433,47.952,21.731,15.778,15.128,2.6,5.115,3.082,0.596,11.398,4.382,0.955,13.985,0.189,0.771,0.696,0.551,0.582,3.333,1.782,0.824,0.42,1.838,0.596,11.398,5.336,8.308,31.421,1.123,0.784,0.696,0.551,0.946,3.333,1.782,1.172,2.508,2.293,0.747,100.0,82.692,7.077,41.615,2.462,98.462,100.0,100.0,55.923,100.0,100.0,67.769,15.308,80.846,80.846
9,E00023423,57.043,11.627,42.963,11.786,14.08,20.291,1.927,4.517,3.827,0.771,9.389,4.691,1.066,19.223,0.0,0.614,0.553,0.503,0.26,3.034,1.484,1.353,0.453,2.019,0.771,9.389,5.013,7.714,29.741,0.0,0.624,0.553,0.503,0.543,3.034,1.484,1.467,2.609,2.187,0.839,100.0,93.571,7.857,67.0,0.0,98.857,100.0,100.0,33.0,100.0,100.0,90.714,17.857,92.286,92.286
10,E00023424,66.94,13.753,50.771,12.75,16.169,24.627,2.589,5.184,3.859,0.76,11.073,5.092,0.264,24.288,0.075,0.92,0.667,0.554,0.449,3.354,1.829,1.306,0.374,2.183,0.76,11.073,5.47,2.966,31.067,0.921,0.926,0.667,0.554,0.953,3.354,1.829,1.427,1.921,2.37,0.828,100.0,93.1,1.8,70.6,0.8,99.1,100.0,100.0,28.6,100.0,100.0,79.9,12.0,92.2,92.2
11,E00023425,66.512,30.579,50.355,28.75,16.16,7.502,4.204,6.072,1.725,0.272,12.514,3.645,0.675,4.934,1.894,1.059,0.855,0.64,1.651,3.867,2.205,0.345,0.155,1.224,0.272,12.514,4.724,5.089,14.684,2.882,1.181,0.855,0.64,1.854,3.867,2.205,0.95,1.565,2.014,0.468,100.0,62.0,5.0,12.75,25.25,89.0,100.0,100.0,62.125,100.0,100.0,24.875,4.625,49.125,49.125
12,E00023426,72.167,23.797,53.475,23.333,18.693,16.742,3.033,5.685,3.635,0.59,13.667,5.023,2.682,14.008,0.05,0.947,0.75,0.587,0.743,3.558,2.127,1.238,0.292,2.103,0.59,13.667,5.94,13.5,38.132,1.218,0.955,0.75,0.587,1.205,3.558,2.127,1.865,2.762,2.518,0.702,100.0,84.667,19.833,37.833,0.667,99.5,100.0,100.0,61.833,100.0,100.0,68.833,9.0,83.5,83.5
13,E00023427,65.1,23.19,48.663,22.5,16.437,12.243,3.777,5.503,3.4,0.55,11.527,4.91,0.853,11.387,0.0,0.947,0.73,0.593,1.51,3.593,1.913,1.043,0.297,2.067,0.55,11.527,5.477,13.5,36.183,0.0,0.957,0.73,0.593,1.863,3.593,1.913,1.33,2.473,2.35,0.623,100.0,89.667,6.0,33.0,0.0,98.333,100.0,100.0,67.0,100.0,100.0,79.667,12.333,88.0,88.0
14,E00023428,73.86,24.6,55.492,24.5,18.368,16.586,3.312,6.604,3.696,0.698,13.096,5.27,1.1,15.304,0.182,1.188,0.812,0.702,0.612,4.256,2.348,1.368,0.276,2.054,0.698,13.096,6.26,11.982,39.648,2.214,1.286,0.812,0.702,1.024,4.256,2.348,2.272,2.756,2.692,0.912,100.0,83.8,7.2,39.0,1.6,92.0,100.0,100.0,59.4,100.0,100.0,59.0,9.0,75.8,75.8
15,E00023429,46.009,7.661,36.573,7.273,9.436,19.566,1.555,4.34,2.795,0.655,6.17,3.263,0.485,18.925,0.155,0.487,0.458,0.505,0.103,3.064,1.277,1.152,0.187,1.455,0.655,6.17,3.678,2.455,21.783,1.167,0.49,0.458,0.505,0.251,3.064,1.277,1.397,1.011,1.651,0.739,100.0,81.0,3.545,79.727,2.455,99.273,100.0,100.0,17.818,100.0,100.0,75.636,13.455,80.273,80.273
16,E00023430,44.3,6.46,33.83,7.5,10.47,17.08,1.93,4.35,3.29,0.73,6.62,3.85,0.44,16.48,0.16,0.95,0.43,0.5,0.04,3.04,1.31,1.2,0.42,1.68,0.73,6.62,4.06,10.42,19.82,5.73,0.97,0.43,0.5,0.31,3.04,1.31,1.34,1.89,1.81,0.79,100.0,95.0,4.0,83.0,3.0,98.0,100.0,100.0,14.0,100.0,100.0,89.0,22.0,92.0,92.0
17,E00023431,63.51,18.636,48.528,20.0,14.983,17.458,2.793,5.469,3.706,0.467,10.339,4.642,0.858,16.602,0.0,0.932,0.699,0.587,0.574,3.552,1.917,1.151,0.561,1.994,0.467,10.339,5.058,7.5,31.009,0.0,0.938,0.699,0.587,0.952,3.552,1.917,1.459,2.349,2.2,0.514,100.0,82.1,6.6,48.6,0.0,99.3,100.0,100.0,51.5,100.0,100.0,71.5,17.3,81.1,81.1
18,E00023432,66.5,25.12,50.733,26.25,15.767,13.208,3.503,6.207,2.297,0.4,12.377,3.39,0.868,12.338,0.0,1.11,0.778,0.658,0.958,3.987,2.22,0.677,0.275,1.342,0.4,12.377,5.783,8.0,27.33,0.0,1.133,0.778,0.658,1.082,3.987,2.22,1.79,2.01,2.462,0.742,100.0,58.0,6.5,35.167,0.0,98.167,100.0,100.0,64.833,100.0,100.0,39.167,8.167,54.333,54.333
19,E00023433,66.243,19.957,50.136,19.643,16.107,17.484,2.821,6.05,3.206,0.619,11.266,4.843,0.926,16.427,0.13,0.95,0.71,0.654,0.511,3.964,2.086,1.08,0.221,1.904,0.619,11.266,5.814,8.559,35.087,1.581,1.03,0.71,0.654,0.874,3.964,2.086,1.831,2.523,2.554,0.831,100.0,82.857,6.286,48.714,1.143,92.714,100.0,100.0,50.286,100.0,100.0,60.429,7.286,75.0,75.0
20,E00023434,36.6,11.102,30.288,10.5,6.308,9.898,1.626,4.89,2.25,0.528,4.074,2.238,1.06,5.912,2.924,0.538,0.422,0.594,0.072,3.604,1.286,1.21,0.08,0.96,0.528,4.074,3.068,10.35,13.27,6.466,0.564,0.422,0.594,0.254,3.604,1.286,2.51,0.668,1.414,0.784,100.0,72.4,10.8,26.6,45.8,95.4,100.0,100.0,27.8,100.0,100.0,49.2,8.8,67.6,67.6
21,E00023435,79.72,38.482,59.152,37.5,20.57,5.378,4.684,7.36,2.842,0.4,15.61,4.958,3.868,1.512,0.0,1.222,0.842,0.742,1.878,4.5,2.862,0.822,0.456,1.568,0.4,15.61,6.566,12.954,21.796,0.0,1.34,0.842,0.742,1.952,4.5,2.862,3.086,3.77,2.946,0.75,100.0,75.4,30.0,4.2,0.0,91.2,100.0,100.0,95.8,100.0,100.0,28.2,13.6,54.0,54.0
22,E00023436,78.179,38.191,58.763,35.893,19.416,4.496,6.175,7.165,2.324,0.413,14.868,4.548,0.796,3.7,0.001,1.359,0.875,0.727,3.214,4.404,2.764,0.46,0.261,1.601,0.413,14.868,6.061,5.901,12.021,0.65,1.424,0.875,0.727,3.493,4.404,2.764,1.484,2.116,2.501,0.644,100.0,70.071,5.786,8.571,0.0,95.786,100.0,100.0,91.429,100.0,100.0,31.429,8.286,58.429,58.429
23,E00023437,65.4,18.412,49.502,19.167,15.898,17.648,3.469,5.773,3.534,0.669,11.231,4.664,2.714,14.308,0.624,1.176,0.747,0.62,0.93,3.753,2.021,1.169,0.368,1.996,0.669,11.231,5.729,7.727,21.022,1.892,1.191,0.747,0.62,1.174,3.753,2.021,1.884,2.08,2.491,0.831,100.0,83.556,20.0,43.111,7.556,98.889,100.0,100.0,49.333,100.0,100.0,68.444,13.111,82.444,82.444
24,E00023438,73.617,20.725,55.405,20.833,18.212,19.862,3.6,6.463,4.035,0.722,12.77,5.437,3.333,16.51,0.02,1.182,0.738,0.67,1.01,4.05,2.415,1.632,0.113,2.287,0.722,12.77,6.227,8.905,33.58,1.263,1.212,0.738,0.67,1.262,4.05,2.415,2.162,1.558,2.688,0.852,100.0,86.667,24.833,41.667,0.333,98.167,100.0,100.0,58.167,100.0,100.0,72.833,3.833,84.333,84.333
25,E00023439,54.673,7.078,42.259,7.955,12.415,24.428,1.848,4.697,3.492,0.715,8.067,4.345,0.271,23.985,0.173,0.629,0.531,0.525,0.165,3.179,1.518,1.225,0.348,1.919,0.715,8.067,4.746,2.455,31.083,1.772,0.63,0.531,0.525,0.545,3.179,1.518,1.407,1.652,2.103,0.787,100.0,91.727,2.0,79.182,2.636,99.818,100.0,100.0,18.273,100.0,100.0,85.545,17.364,91.545,91.545
26,E00023440,59.21,25.874,45.8,24.75,13.409,9.63,2.975,4.947,1.976,0.395,10.099,3.315,0.877,8.338,0.414,0.928,0.756,0.534,0.761,3.229,1.719,0.451,0.214,1.313,0.395,10.099,4.666,7.562,22.85,1.975,0.949,0.756,0.534,1.06,3.229,1.719,0.804,1.226,1.973,0.615,100.0,62.4,6.9,26.2,5.8,97.6,100.0,100.0,68.0,100.0,100.0,36.7,10.0,58.6,58.6
27,E00023441,71.85,23.929,53.362,23.0,18.488,16.366,3.584,6.041,2.869,0.575,13.891,4.595,1.891,14.474,0.001,1.156,0.787,0.626,1.015,3.791,2.248,0.932,0.235,1.701,0.575,13.891,5.486,10.911,33.004,0.879,1.247,0.787,0.626,1.547,3.791,2.248,1.74,1.765,2.282,0.785,100.0,75.3,13.9,39.3,0.0,93.5,100.0,100.0,60.7,100.0,100.0,46.9,7.1,67.9,67.9
28,E00023442,75.222,29.544,55.879,28.333,19.343,12.021,3.789,6.379,3.344,0.799,14.136,5.208,1.244,10.731,0.044,1.156,0.77,0.664,1.197,4.031,2.349,0.952,0.292,2.099,0.799,14.136,6.332,9.502,22.04,1.974,1.176,0.77,0.664,1.44,4.031,2.349,1.392,1.921,2.578,0.97,100.0,82.556,9.222,31.444,0.556,98.889,100.0,100.0,68.111,100.0,100.0,58.667,8.444,80.889,80.889
29,E00023443,46.45,16.062,37.592,16.25,8.858,11.992,1.973,4.98,2.088,0.5,5.97,2.89,0.493,9.608,1.89,0.645,0.503,0.575,0.245,3.49,1.492,0.76,0.122,1.21,0.5,5.97,3.858,6.188,26.48,5.482,0.685,0.503,0.575,0.582,3.49,1.492,1.342,1.068,1.727,0.702,100.0,73.75,4.25,37.0,25.5,96.25,100.0,100.0,37.75,100.0,100.0,52.25,8.25,69.0,69.0
30,E00023444,54.133,12.774,41.247,12.5,12.887,18.094,2.099,4.829,2.846,0.606,8.864,4.021,0.159,17.372,0.564,0.746,0.594,0.537,0.22,3.25,1.58,1.037,0.227,1.583,0.606,8.866,4.584,3.468,30.42,1.913,0.844,0.594,0.537,0.53,3.25,1.58,1.496,1.961,2.011,0.751,100.0,87.667,1.444,60.222,7.778,92.333,100.0,100.0,31.889,100.0,100.0,66.222,11.667,79.778,79.778
31,E00023445,71.591,25.792,53.248,25.455,18.342,13.906,3.765,6.215,3.064,0.508,13.665,4.677,0.574,12.638,0.695,1.067,0.799,0.643,1.258,3.885,2.327,1.072,0.268,1.729,0.508,13.665,5.793,4.83,31.348,1.318,1.106,0.799,0.643,1.965,3.885,2.327,1.973,1.796,2.472,0.736,100.0,77.818,4.273,33.091,9.545,93.545,100.0,100.0,57.455,100.0,100.0,51.364,7.545,67.909,67.909
32,E00023446,36.517,13.957,30.352,13.333,6.165,8.715,1.457,4.183,1.57,0.467,4.06,2.105,0.473,5.023,3.218,0.458,0.422,0.508,0.068,3.078,1.102,0.598,0.088,0.883,0.467,4.06,3.133,8.0,11.502,6.18,0.467,0.422,0.508,0.247,3.078,1.102,1.247,0.643,1.447,0.767,100.0,67.667,4.0,21.667,51.667,97.333,100.0,100.0,27.0,100.0,100.0,42.0,14.833,61.5,61.5
33,E00023447,60.682,21.812,46.408,21.591,14.274,12.079,3.206,5.658,3.129,0.527,10.034,4.236,1.103,9.938,1.038,1.007,0.733,0.612,0.857,3.703,1.955,0.986,0.35,1.795,0.527,10.034,5.139,9.273,25.154,3.578,1.01,0.733,0.612,1.095,3.703,1.955,1.583,1.598,2.202,0.659,100.0,77.818,8.364,27.727,14.091,99.727,100.0,100.0,58.273,100.0,100.0,62.273,11.273,77.091,77.091
34,E00023448,70.46,17.799,52.882,17.5,17.578,21.761,2.896,5.869,3.91,0.648,12.781,4.8,1.55,20.212,0.0,0.959,0.709,0.617,0.612,3.723,2.143,1.355,0.532,2.026,0.648,12.781,5.884,8.1,32.408,0.0,0.966,0.709,0.617,1.122,3.723,2.143,1.982,3.0,2.504,0.8,100.0,82.7,11.5,56.7,0.0,99.2,100.0,100.0,43.3,100.0,100.0,70.1,16.8,81.8,81.8
35,E00023449,61.375,20.534,47.011,20.0,14.364,14.405,2.829,5.666,3.104,0.47,10.206,4.163,1.121,13.202,0.08,0.988,0.685,0.616,0.54,3.744,1.926,1.119,0.278,1.711,0.47,10.206,5.406,8.459,32.575,0.974,1.018,0.685,0.616,0.855,3.744,1.926,1.834,1.978,2.364,0.651,100.0,77.0,8.5,41.375,1.0,96.75,100.0,100.0,57.625,100.0,100.0,61.5,12.25,72.5,72.5
36,E00023450,47.7,19.236,37.742,19.5,9.958,9.242,1.982,4.496,2.214,0.574,6.546,3.412,0.212,5.008,4.02,0.646,0.648,0.518,0.17,3.13,1.366,0.65,0.07,1.494,0.574,6.546,4.482,2.7,27.57,7.658,0.652,0.648,0.518,0.568,3.13,1.366,1.072,1.12,1.984,0.76,100.0,76.4,1.6,17.6,53.0,99.2,100.0,100.0,29.8,100.0,100.0,60.0,5.2,75.6,75.6
37,E00023451,51.85,9.878,40.13,9.167,11.722,20.318,1.75,4.242,3.277,0.667,7.455,4.267,0.472,19.007,0.838,0.565,0.578,0.482,0.123,2.917,1.325,1.08,0.312,1.885,0.667,7.455,4.657,9.0,30.147,5.017,0.568,0.578,0.482,0.502,2.917,1.325,1.227,2.175,2.068,0.732,100.0,91.667,3.5,62.5,11.0,99.5,100.0,100.0,26.5,100.0,100.0,87.833,15.167,91.167,91.167
38,E00023452,57.867,5.293,44.65,5.278,13.216,27.717,2.006,5.192,3.734,0.709,8.736,4.478,0.566,27.13,0.022,0.796,0.559,0.581,0.07,3.523,1.67,1.359,0.428,1.947,0.709,8.736,4.914,10.333,31.826,0.824,0.808,0.559,0.581,0.43,3.523,1.67,1.594,1.723,2.168,0.792,100.0,91.444,4.222,86.0,0.333,98.889,100.0,100.0,13.667,100.0,100.0,83.444,19.222,90.0,90.0
39,E00023453,47.86,3.272,37.546,4.5,10.314,24.282,1.52,4.446,3.392,0.636,6.294,4.016,0.062,23.792,0.426,0.536,0.45,0.514,0.02,3.126,1.32,1.166,0.446,1.778,0.636,6.294,4.18,2.7,26.788,1.38,0.542,0.45,0.514,0.182,3.126,1.32,1.278,1.868,1.876,0.672,100.0,96.2,0.4,88.2,6.2,98.8,100.0,100.0,5.6,100.0,100.0,90.2,25.0,94.8,94.8
40,E00023454,61.433,6.617,48.077,7.5,13.357,29.09,2.063,5.127,4.483,0.697,8.61,4.747,0.157,27.85,1.083,0.807,0.617,0.557,0.083,3.367,1.76,1.303,1.087,2.093,0.697,8.61,5.397,4.5,35.523,2.437,0.813,0.617,0.557,0.38,3.367,1.76,1.443,2.32,2.397,0.8,100.0,83.667,1.0,70.667,14.667,99.333,100.0,100.0,14.333,100.0,100.0,72.667,42.667,83.0,83.0
41,E00023455,60.1,12.282,45.932,12.5,14.168,22.69,2.116,4.914,3.29,0.642,9.296,4.872,0.286,21.422,0.982,0.704,0.624,0.54,0.254,3.256,1.654,0.88,0.29,2.124,0.642,9.296,5.042,5.4,35.368,3.002,0.704,0.624,0.54,0.768,3.256,1.654,1.028,2.02,2.204,0.668,100.0,96.6,2.2,61.8,13.2,99.6,100.0,100.0,25.0,100.0,100.0,85.6,12.6,96.2,96.2
42,E00023456,50.2,20.113,39.39,19.167,10.81,8.903,2.13,4.593,2.943,0.713,7.05,3.757,0.853,5.66,2.387,0.707,0.627,0.523,0.27,3.167,1.43,1.063,0.193,1.683,0.713,7.05,4.76,13.5,30.38,7.597,0.707,0.627,0.523,0.54,3.167,1.43,1.723,2.037,2.133,0.91,100.0,79.667,6.333,18.667,31.667,100.0,100.0,100.0,50.667,100.0,100.0,67.333,10.333,79.667,79.667
43,E00023458,57.333,26.013,43.467,25.833,13.867,6.947,2.183,4.33,3.293,0.703,9.11,4.753,1.41,4.25,1.287,0.643,0.647,0.48,0.417,2.903,1.427,0.87,0.36,2.063,0.703,9.11,5.133,13.277,32.273,7.327,0.647,0.647,0.48,0.577,2.903,1.427,1.03,2.623,2.25,0.77,100.0,92.333,10.667,13.333,17.667,99.0,100.0,100.0,68.667,100.0,100.0,85.0,12.0,91.667,91.667
44,E00023459,56.783,12.248,43.55,12.5,13.233,21.075,2.23,4.72,2.842,0.438,9.288,3.942,0.735,19.625,0.715,0.705,0.628,0.522,0.375,3.157,1.562,1.003,0.217,1.623,0.438,9.288,4.937,4.5,27.702,1.227,0.72,0.628,0.522,0.698,3.157,1.562,1.26,1.945,2.095,0.577,100.0,77.5,5.5,62.167,9.667,98.667,100.0,100.0,28.167,100.0,100.0,66.0,7.167,74.167,74.167
45,E00023460,45.8,10.93,35.83,10.833,9.97,16.667,1.43,3.61,2.59,0.593,6.27,3.703,1.88,12.073,2.717,0.4,0.51,0.42,0.1,2.55,1.06,0.853,0.093,1.647,0.593,6.27,4.16,13.433,19.517,7.173,0.403,0.51,0.42,0.417,2.55,1.06,1.04,1.223,1.867,0.697,100.0,86.0,14.333,41.333,37.667,99.333,100.0,100.0,21.333,100.0,100.0,80.667,5.0,85.333,85.333
46,E00023461,49.867,6.88,38.96,5.833,10.907,22.333,1.74,4.06,2.783,1.167,6.933,3.977,0.29,21.217,0.827,0.583,0.59,0.467,0.1,2.807,1.253,0.723,0.283,1.777,1.167,6.933,4.39,9.0,29.043,5.013,0.583,0.59,0.467,0.663,2.807,1.253,0.827,1.7,1.963,1.287,100.0,90.667,2.333,71.0,11.0,100.0,100.0,100.0,18.333,100.0,100.0,85.667,13.667,90.667,90.667
47,E00023462,45.75,18.5,36.29,20.0,9.46,9.85,1.515,3.65,2.145,0.625,6.29,3.175,0.535,8.13,1.18,0.405,0.5,0.425,0.18,2.575,1.075,0.67,0.055,1.425,0.625,6.29,4.35,6.25,26.935,6.83,0.405,0.5,0.425,0.35,2.575,1.075,0.94,0.855,1.95,0.85,100.0,72.5,4.5,30.0,17.0,100.0,100.0,100.0,52.5,100.0,100.0,64.0,3.0,72.5,72.5
48,E00023463,49.05,8.445,38.575,7.5,10.47,19.37,1.895,4.725,3.425,0.72,6.86,3.615,0.36,17.795,1.215,0.705,0.56,0.545,0.09,3.295,1.43,1.54,0.285,1.6,0.72,6.86,4.175,13.5,27.61,3.69,0.705,0.56,0.545,0.4,3.295,1.43,1.925,1.625,1.86,0.85,100.0,85.0,2.5,58.5,16.5,99.5,100.0,100.0,25.0,100.0,100.0,78.5,15.5,84.5,84.5
49,E00023464,53.75,19.02,41.03,17.5,12.72,11.595,2.22,4.455,3.13,0.605,8.335,4.385,2.72,8.345,0.53,0.72,0.64,0.505,0.355,3.05,1.405,1.045,0.19,1.895,0.605,8.335,4.86,13.5,29.595,3.47,0.72,0.64,0.505,0.565,3.05,1.405,1.215,2.47,2.1,0.67,100.0,90.5,20.5,28.0,7.5,100.0,100.0,100.0,64.0,100.0,100.0,86.0,8.0,90.5,90.5
50,E00023465,60.275,16.822,45.38,17.5,14.898,18.0,2.315,4.56,3.168,0.51,10.17,4.725,0.768,17.112,0.125,0.678,0.655,0.495,0.483,2.998,1.56,0.9,0.222,2.045,0.51,10.17,5.26,10.125,33.422,1.88,0.678,0.655,0.495,0.848,2.998,1.56,1.068,1.858,2.282,0.57,100.0,89.25,5.75,53.0,1.75,100.0,100.0,100.0,45.25,100.0,100.0,85.25,9.0,89.25,89.25
51,E00023466,70.7,26.845,52.375,26.25,18.325,13.435,2.895,5.242,3.332,0.628,13.205,5.12,0.705,12.115,0.61,0.878,0.755,0.545,0.718,3.318,1.92,0.932,0.248,2.155,0.628,13.205,5.912,13.5,37.758,5.852,0.88,0.755,0.545,1.198,3.318,1.92,1.218,3.207,2.502,0.73,100.0,86.5,5.25,31.75,7.75,99.75,100.0,100.0,60.25,100.0,100.0,76.5,7.75,86.25,86.25
52,E00023467,58.767,22.313,44.657,22.5,14.107,12.09,2.24,4.423,2.997,0.593,9.457,4.65,1.317,7.833,2.94,0.637,0.713,0.483,0.403,2.94,1.483,0.83,0.157,2.007,0.593,9.457,5.4,13.25,32.28,7.507,0.64,0.713,0.483,1.087,2.94,1.483,1.043,2.38,2.36,0.697,100.0,86.0,10.0,23.667,39.0,99.0,100.0,100.0,37.333,100.0,100.0,80.0,6.333,85.0,85.0
53,E00023468,67.667,18.663,50.253,19.167,17.417,19.493,2.427,5.137,3.917,0.62,12.35,5.06,1.147,18.213,0.137,0.79,0.69,0.547,0.397,3.3,1.837,1.2,0.567,2.15,0.62,12.35,5.633,12.833,37.29,2.463,0.79,0.69,0.547,0.823,3.3,1.837,1.423,3.8,2.393,0.69,100.0,89.333,8.667,48.667,1.667,100.0,100.0,100.0,49.667,100.0,100.0,85.667,14.333,89.333,89.333
54,E00023469,51.82,2.81,40.566,2.5,11.256,27.198,1.678,4.626,3.486,0.768,7.134,4.122,0.178,26.922,0.098,0.606,0.512,0.53,0.032,3.202,1.426,1.102,0.566,1.818,0.768,7.134,4.544,5.4,29.766,1.482,0.606,0.512,0.53,0.392,3.202,1.426,1.262,2.058,2.02,0.852,100.0,90.8,1.2,90.4,1.4,100.0,100.0,100.0,8.2,100.0,100.0,85.2,27.8,90.2,90.2
55,E00023470,71.9,28.758,53.905,30.0,17.995,12.852,3.4,5.812,2.655,0.428,13.39,4.605,2.142,10.292,0.417,0.992,0.822,0.607,0.977,3.675,2.137,0.797,0.195,1.662,0.428,13.39,5.795,9.0,31.96,2.603,1.068,0.822,0.607,1.355,3.675,2.137,1.712,2.118,2.528,0.65,100.0,79.5,15.667,26.667,5.333,93.167,100.0,100.0,67.833,100.0,100.0,46.833,6.0,66.833,66.833
56,E00023471,46.475,13.095,36.338,13.75,10.138,14.29,1.915,4.0,2.395,0.642,6.465,3.668,0.34,11.415,2.537,0.59,0.648,0.467,0.21,2.825,1.175,0.625,0.128,1.642,0.642,6.465,4.18,6.5,22.112,7.375,0.59,0.648,0.467,0.762,2.825,1.175,0.758,1.32,1.872,0.74,100.0,87.0,2.75,38.75,34.5,100.0,100.0,100.0,27.0,100.0,100.0,82.5,6.25,87.0,87.0
