,OA,Paycheck Mean Income,Mean Net Disposable Income,Mean Gross Disposable Income,Mean Net Disposable Income Band,"CACI_Essential_Outgoings - Income tax, NI","CACI_Essential_Outgoings - Mortgage, social rent, private rent","CACI_Essential_Outgoings - Council tax, utilities, water, structure insurance, NI domestic rates","CACI_Essential_Outgoings - Food, clothing","CACI_Essential_Outgoings - Childcare, student loans, pension",CACI_Essential_Outgoings - Travel to work,Mean over all households in an OA: Income tax - Income tax,Mean over all households in an OA: Income tax - National Insurance,Mean over all households in an OA: Income tax - Mortgage,Mean over all households in an OA: Income tax - Private rent,Mean over all households in an OA: Income tax - Social rent,Mean over all households in an OA: Income tax - Council tax,Mean over all households in an OA: Income tax - Water bills,"Mean over all households in an OA: Income tax - Gas, electricity, oil",Mean over all households in an OA: Income tax - Structure insurance,Mean over all households in an OA: Income tax - Food costs,Mean over all households in an OA: Income tax - Clothing costs,Mean over all households in an OA: Income tax - Childcare,Mean over all households in an OA: Income tax - Student loan,Mean over all households in an OA: Income tax - Pension,Mean over all households in an OA: Income tax - Travel to work,Mean over relevant households in an OA - Income tax,Mean over relevant households in an OA - National Insurance,Mean over relevant households in an OA - Mortgage,Mean over relevant households in an OA - Private rent,Mean over relevant households in an OA - Social rent,Mean over relevant households in an OA - Council tax,Mean over relevant households in an OA - Water bills,"Mean over relevant households in an OA - Gas, electricity, oil",Mean over relevant households in an OA - Structure insurance,Mean over relevant households in an OA - Food costs,Mean over relevant households in an OA - Clothing costs,Mean over relevant households in an OA - Childcare,Mean over relevant households in an OA - Student loan,Mean over relevant households in an OA - Pension,Mean over relevant households in an OA - Travel to work,Proportion of households paying % - Income tax,Proportion of households paying % - National Insurance,Proportion of households paying % - Mortgage,Proportion of households paying % - Private rent,Proportion of households paying % - Social rent,Proportion of households paying % - Council tax,Proportion of households paying % - Water bills,"Proportion of households paying % - Gas, electricity, oil",Proportion of households paying % - Structure insurance,Proportion of households paying % - Food costs,Proportion of households paying % - Clothing costs,Proportion of households paying % - Childcare,Proportion of households paying % - Student loan,Proportion of households paying % - Pension,Proportion of households paying % - Travel to work
493,E00023931,56.804,8.127,43.004,8.958,13.8,24.046,2.195,4.821,3.208,0.608,9.232,4.567,0.488,23.102,0.456,0.898,0.62,0.538,0.142,3.256,1.565,0.946,0.329,1.932,0.608,9.232,4.942,4.747,29.66,2.899,0.918,0.62,0.538,0.36,3.256,1.565,1.093,2.027,2.145,0.677,100.0,92.25,3.625,75.333,6.125,97.875,100.0,100.0,18.542,100.0,100.0,83.125,14.0,90.0,90.0
494,E00023932,48.594,7.21,37.122,7.786,11.472,20.914,1.849,3.995,2.615,0.537,7.561,3.911,0.285,20.227,0.403,0.694,0.577,0.456,0.123,2.761,1.234,0.671,0.307,1.637,0.537,7.561,4.342,4.29,25.446,2.443,0.711,0.577,0.456,0.367,2.761,1.234,0.793,1.63,1.883,0.618,100.0,90.086,2.657,73.057,5.857,94.343,100.0,100.0,21.143,100.0,100.0,80.486,12.943,84.257,84.257
495,E00023933,50.905,9.637,38.925,10.455,11.979,19.563,2.394,4.441,2.33,0.56,8.137,3.841,0.316,18.863,0.383,0.854,0.65,0.502,0.387,3.04,1.403,0.633,0.243,1.454,0.56,8.138,4.417,3.969,25.742,2.556,0.933,0.65,0.502,0.645,3.04,1.403,0.862,1.481,1.888,0.741,99.909,84.591,2.727,67.545,6.091,92.136,100.0,100.0,26.455,100.0,100.0,66.091,10.364,75.136,75.136
496,E00023934,57.338,4.24,43.384,5.603,13.955,28.781,1.995,4.556,3.248,0.563,9.275,4.679,0.218,28.475,0.089,0.811,0.613,0.507,0.064,3.072,1.486,0.849,0.377,2.022,0.563,9.275,5.046,3.82,31.439,2.121,0.82,0.613,0.507,0.353,3.072,1.486,0.963,2.177,2.207,0.615,100.0,92.379,1.655,89.793,1.276,98.966,100.0,100.0,8.931,100.0,100.0,87.655,15.586,91.069,91.069
497,E00023935,62.176,10.91,46.216,11.685,15.961,23.259,2.737,5.26,3.413,0.635,11.283,4.68,0.578,22.583,0.098,1.14,0.675,0.573,0.348,3.471,1.79,1.093,0.388,1.931,0.635,11.283,5.133,6.395,31.373,3.284,1.174,0.675,0.573,0.69,3.471,1.79,1.309,2.146,2.195,0.724,100.0,91.957,4.304,73.152,1.435,97.87,100.0,100.0,25.587,100.0,100.0,83.978,14.109,88.957,88.957
498,E00023936,61.312,19.053,45.795,18.646,15.517,15.766,2.634,5.23,2.668,0.443,11.029,4.49,0.956,14.704,0.105,0.811,0.717,0.569,0.537,3.443,1.788,0.848,0.316,1.505,0.443,11.029,5.226,6.57,27.301,2.173,0.924,0.717,0.569,0.745,3.443,1.788,1.261,2.493,2.146,0.632,100.0,86.542,7.208,45.5,1.583,82.417,100.0,100.0,53.042,100.0,100.0,62.542,10.958,67.375,67.375
499,E00023937,59.523,13.649,44.583,13.59,14.94,19.737,2.768,5.026,2.9,0.501,10.473,4.467,0.528,19.032,0.176,0.968,0.683,0.555,0.565,3.355,1.672,0.859,0.335,1.705,0.501,10.473,4.935,5.51,29.368,2.932,1.085,0.683,0.555,1.109,3.355,1.672,1.146,2.132,2.122,0.612,100.0,88.538,4.154,61.513,2.333,90.795,100.0,100.0,36.231,100.0,100.0,71.667,11.795,78.308,78.308
500,E00023938,61.419,21.896,46.848,21.875,14.571,13.054,3.038,5.382,2.982,0.494,10.008,4.563,1.884,11.118,0.056,1.074,0.673,0.577,0.713,3.496,1.888,0.771,0.311,1.901,0.494,10.008,5.316,9.003,25.692,2.036,1.118,0.673,0.577,0.913,3.496,1.888,1.101,1.808,2.314,0.609,100.0,86.062,15.688,36.312,0.938,97.188,100.0,100.0,62.938,100.0,100.0,66.688,14.188,82.438,82.438
501,E00023939,55.586,6.924,41.809,7.77,13.776,24.435,2.079,4.715,3.012,0.643,9.397,4.38,0.332,23.985,0.118,0.872,0.578,0.526,0.104,3.186,1.529,0.851,0.306,1.855,0.643,9.397,4.743,5.411,29.083,3.02,0.899,0.578,0.526,0.318,3.186,1.529,1.003,1.532,2.063,0.713,100.0,92.162,2.784,82.297,1.946,98.054,100.0,100.0,15.757,100.0,100.0,83.486,14.757,89.811,89.811
502,E00023941,50.794,3.837,38.608,4.559,12.185,25.009,1.739,4.279,3.196,0.549,8.222,3.964,0.171,24.807,0.031,0.648,0.488,0.482,0.121,2.918,1.36,1.079,0.399,1.719,0.549,8.222,4.194,3.621,27.604,1.118,0.653,0.488,0.482,0.441,2.918,1.36,1.146,1.952,1.832,0.591,100.0,93.176,1.529,89.529,0.706,99.529,100.0,100.0,9.824,100.0,100.0,91.059,22.647,92.471,92.471
