,OA,[total] - worker_count,[total] - student_count,[total] - tourist_count,[total] - shopper_count,[total] - leisurer_count,[total] - chorer_count,[total] - total_count,[per_effective_area_square_meter] - worker_count,[per_effective_area_square_meter] - student_count,[per_effective_area_square_meter] - tourist_count,[per_effective_area_square_meter] - shopper_count,[per_effective_area_square_meter] - leisurer_count,[per_effective_area_square_meter] - chorer_count,[per_effective_area_square_meter] - total_count,[%_of_borough_total] - [per_effective_area_square_meter] - worker,[%_of_borough_total] - [per_effective_area_square_meter] - student,[%_of_borough_total] - [per_effective_area_square_meter] - tourist,[%_of_borough_total] - [per_effective_area_square_meter] - shopper,[%_of_borough_total] - [per_effective_area_square_meter] - leisurer,[%_of_borough_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - chorer
337,E00023602,251.198,48.643,22.46,45.494,31.311,27.3,426.406,2.507,0.486,0.224,0.454,0.313,0.272,4.256,0.064,0.087,0.046,0.058,0.044,0.07,0.064,0.087,0.046,0.058,0.044,0.07
338,E00023791,460.719,108.704,67.573,118.07,109.552,62.171,926.789,2.94,0.694,0.431,0.754,0.699,0.397,5.915,0.074,0.125,0.088,0.096,0.099,0.102,0.074,0.125,0.088,0.096,0.099,0.102
339,E00023710,407.551,68.679,50.634,121.682,91.606,49.02,789.172,4.641,0.782,0.577,1.386,1.043,0.558,8.986,0.118,0.141,0.118,0.176,0.148,0.143,0.118,0.141,0.118,0.176,0.148,0.143
340,E00175193,2455.145,289.852,321.34,568.517,448.768,202.434,4286.056,10.119,1.195,1.324,2.343,1.85,0.834,17.665,0.256,0.215,0.271,0.297,0.262,0.214,0.256,0.215,0.271,0.297,0.262,0.214
341,E00023696,527.369,97.238,85.66,104.997,129.632,56.769,1001.665,4.945,0.912,0.803,0.984,1.215,0.532,9.392,0.125,0.164,0.164,0.125,0.173,0.136,0.125,0.164,0.164,0.125,0.173,0.136
342,E00023617,805.59,135.9,119.967,187.045,186.967,94.04,1529.509,10.871,1.834,1.619,2.524,2.523,1.269,20.639,0.275,0.33,0.331,0.32,0.358,0.325,0.275,0.33,0.331,0.32,0.358,0.325
343,E00023770,132.523,13.575,18.588,28.221,25.2,12.578,230.683,1.424,0.146,0.2,0.303,0.271,0.135,2.48,0.036,0.026,0.041,0.039,0.038,0.034,0.036,0.026,0.041,0.039,0.038,0.034
344,E00023649,918.332,143.06,135.364,143.072,208.061,89.257,1637.146,8.325,1.297,1.227,1.297,1.886,0.809,14.841,0.211,0.234,0.251,0.165,0.268,0.207,0.211,0.234,0.251,0.165,0.268,0.207
345,E00023836,1289.486,131.645,139.95,267.402,240.98,121.443,2190.906,10.514,1.073,1.141,2.18,1.965,0.99,17.863,0.266,0.193,0.233,0.277,0.279,0.254,0.266,0.193,0.233,0.277,0.279,0.254
346,E00023777,236.399,46.197,18.526,36.811,24.118,26.577,388.628,2.641,0.516,0.207,0.411,0.269,0.297,4.341,0.067,0.093,0.043,0.052,0.038,0.076,0.067,0.093,0.043,0.052,0.038,0.076
347,E00023776,274.858,28.058,24.389,57.567,32.17,28.933,445.975,3.256,0.332,0.289,0.682,0.381,0.343,5.282,0.082,0.06,0.059,0.087,0.054,0.088,0.082,0.06,0.059,0.087,0.054,0.088
348,E00023647,895.222,160.411,158.588,161.438,248.187,100.664,1724.51,5.802,1.04,1.028,1.046,1.608,0.652,11.176,0.147,0.187,0.21,0.133,0.228,0.167,0.147,0.187,0.21,0.133,0.228,0.167
349,E00023784,242.425,39.336,20.413,49.397,31.877,27.233,410.68,2.528,0.41,0.213,0.515,0.332,0.284,4.282,0.064,0.074,0.043,0.065,0.047,0.073,0.064,0.074,0.043,0.065,0.047,0.073
350,E00023705,202.082,21.099,17.71,18.667,19.47,15.573,294.6,6.094,0.636,0.534,0.563,0.587,0.47,8.885,0.154,0.115,0.109,0.071,0.083,0.121,0.154,0.115,0.109,0.071,0.083,0.121
351,E00023437,313.966,76.829,25.984,31.867,47.784,41.606,538.035,1.609,0.394,0.133,0.163,0.245,0.213,2.758,0.041,0.071,0.027,0.021,0.035,0.055,0.041,0.071,0.027,0.021,0.035,0.055
352,E00023849,469.89,74.371,50.082,140.271,75.249,58.72,868.582,3.66,0.579,0.39,1.093,0.586,0.457,6.765,0.093,0.104,0.08,0.139,0.083,0.117,0.093,0.104,0.08,0.139,0.083,0.117
353,E00023761,89.829,15.133,13.546,6.506,23.654,9.723,158.39,0.796,0.134,0.12,0.058,0.21,0.086,1.404,0.02,0.024,0.025,0.007,0.03,0.022,0.02,0.024,0.025,0.007,0.03,0.022
354,E00023934,2857.574,355.05,482.462,733.776,540.284,245.932,5215.077,11.148,1.385,1.882,2.862,2.108,0.959,20.344,0.282,0.25,0.385,0.363,0.299,0.246,0.282,0.25,0.385,0.363,0.299,0.246
355,E00023535,310.821,57.649,46.987,58.922,57.219,42.131,573.729,2.202,0.408,0.333,0.417,0.405,0.298,4.064,0.056,0.073,0.068,0.053,0.058,0.077,0.056,0.073,0.068,0.053,0.058,0.077
356,E00023875,306.331,48.228,30.604,64.34,58.105,37.179,544.788,2.272,0.358,0.227,0.477,0.431,0.276,4.041,0.058,0.065,0.046,0.06,0.061,0.07,0.058,0.065,0.046,0.06,0.061,0.07
357,E00023543,359.986,91.343,43.343,76.212,73.499,44.459,688.842,3.408,0.865,0.41,0.722,0.696,0.421,6.522,0.086,0.156,0.084,0.091,0.099,0.108,0.086,0.156,0.084,0.091,0.099,0.108
358,E00023860,271.154,41.178,29.105,47.169,37.204,25.259,451.068,2.251,0.342,0.242,0.392,0.309,0.21,3.745,0.057,0.062,0.05,0.05,0.044,0.054,0.057,0.062,0.05,0.05,0.044,0.054
359,E00023542,285.609,73.057,29.378,41.915,55.844,28.371,514.174,3.959,1.013,0.407,0.581,0.774,0.393,7.128,0.1,0.182,0.083,0.074,0.11,0.101,0.1,0.182,0.083,0.074,0.11,0.101
360,E00023678,237.31,47.517,45.427,35.601,38.548,31.482,435.884,2.04,0.409,0.391,0.306,0.331,0.271,3.748,0.052,0.074,0.08,0.039,0.047,0.069,0.052,0.074,0.08,0.039,0.047,0.069
361,E00175211,228.93,34.998,24.236,38.41,43.091,25.139,394.802,2.24,0.342,0.237,0.376,0.422,0.246,3.863,0.057,0.062,0.048,0.048,0.06,0.063,0.057,0.062,0.048,0.048,0.06,0.063
362,E00023674,785.634,80.262,98.228,286.652,161.917,82.853,1495.544,6.84,0.699,0.855,2.496,1.41,0.721,13.02,0.173,0.126,0.175,0.317,0.2,0.185,0.173,0.126,0.175,0.317,0.2,0.185
