,OA,[total] - worker_count,[total] - student_count,[total] - tourist_count,[total] - shopper_count,[total] - leisurer_count,[total] - chorer_count,[total] - total_count,[per_effective_area_square_meter] - worker_count,[per_effective_area_square_meter] - student_count,[per_effective_area_square_meter] - tourist_count,[per_effective_area_square_meter] - shopper_count,[per_effective_area_square_meter] - leisurer_count,[per_effective_area_square_meter] - chorer_count,[per_effective_area_square_meter] - total_count,[%_of_borough_total] - [per_effective_area_square_meter] - worker,[%_of_borough_total] - [per_effective_area_square_meter] - student,[%_of_borough_total] - [per_effective_area_square_meter] - tourist,[%_of_borough_total] - [per_effective_area_square_meter] - shopper,[%_of_borough_total] - [per_effective_area_square_meter] - leisurer,[%_of_borough_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - chorer
686,E00023416,93.09,74.007,51.225,53.697,46.402,114.993,433.413,1.675,1.332,0.922,0.966,0.835,2.069,7.799,0.138,0.127,0.088,0.088,0.078,0.163,0.138,0.127,0.088,0.088,0.078,0.163
687,E00023474,169.344,146.69,144.543,172.214,154.344,220.809,1007.945,4.107,3.557,3.505,4.176,3.743,5.355,24.442,0.337,0.338,0.334,0.378,0.35,0.422,0.337,0.338,0.334,0.378,0.35,0.422
688,E00023515,223.12,211.392,222.156,196.046,208.217,237.552,1298.484,2.522,2.389,2.511,2.216,2.353,2.685,14.675,0.207,0.227,0.239,0.201,0.22,0.212,0.207,0.227,0.239,0.201,0.22,0.212
689,E00023491,368.049,252.617,264.782,237.21,265.915,352.855,1741.428,3.219,2.209,2.316,2.075,2.326,3.086,15.23,0.264,0.21,0.221,0.188,0.217,0.243,0.264,0.21,0.221,0.188,0.217,0.243
690,E00023707,45.43,46.452,43.943,34.376,38.854,48.01,257.064,0.532,0.544,0.515,0.403,0.455,0.562,3.01,0.044,0.052,0.049,0.036,0.043,0.044,0.044,0.052,0.049,0.036,0.043,0.044
691,E00023786,85.744,103.408,62.92,74.95,66.174,113.675,506.871,0.826,0.997,0.606,0.722,0.638,1.096,4.886,0.068,0.095,0.058,0.065,0.06,0.086,0.068,0.095,0.058,0.065,0.06,0.086
692,E00175210,76.772,69.625,59.651,71.356,54.169,80.535,412.108,0.81,0.735,0.629,0.753,0.572,0.85,4.349,0.067,0.07,0.06,0.068,0.053,0.067,0.067,0.07,0.06,0.068,0.053,0.067
693,E00023857,36.273,49.607,33.893,30.551,34.514,38.353,223.19,0.318,0.435,0.297,0.268,0.303,0.336,1.957,0.026,0.041,0.028,0.024,0.028,0.027,0.026,0.041,0.028,0.024,0.028,0.027
694,E00175241,309.52,252.987,276.318,285.847,292.986,347.215,1764.873,2.314,1.892,2.066,2.137,2.191,2.596,13.196,0.19,0.18,0.197,0.193,0.205,0.205,0.19,0.18,0.197,0.193,0.205,0.205
695,E00023818,545.505,456.061,377.358,357.207,383.912,521.669,2641.713,2.648,2.214,1.832,1.734,1.864,2.532,12.823,0.217,0.21,0.175,0.157,0.174,0.2,0.217,0.21,0.175,0.157,0.174,0.2
696,E00023899,234.571,194.865,193.129,182.464,213.354,258.164,1276.547,0.807,0.67,0.665,0.628,0.734,0.888,4.392,0.066,0.064,0.063,0.057,0.069,0.07,0.066,0.064,0.063,0.057,0.069,0.07
697,E00023595,155.342,133.373,119.244,149.428,113.64,169.457,840.484,0.988,0.848,0.758,0.95,0.723,1.078,5.345,0.081,0.081,0.072,0.086,0.067,0.085,0.081,0.081,0.072,0.086,0.067,0.085
698,E00023514,144.871,144.228,121.245,137.986,121.204,163.889,833.423,1.419,1.413,1.188,1.352,1.187,1.605,8.163,0.117,0.134,0.113,0.122,0.111,0.127,0.117,0.134,0.113,0.122,0.111,0.127
699,E00023472,115.886,114.606,120.895,173.502,125.799,136.257,786.946,1.151,1.138,1.201,1.723,1.249,1.353,7.816,0.095,0.108,0.114,0.156,0.117,0.107,0.095,0.108,0.114,0.156,0.117,0.107
700,E00023865,201.184,210.462,178.217,237.298,170.142,243.204,1240.507,1.566,1.639,1.388,1.848,1.325,1.894,9.659,0.129,0.156,0.132,0.167,0.124,0.149,0.129,0.156,0.132,0.167,0.124,0.149
701,E00023697,248.022,213.399,243.511,212.285,269.424,245.357,1431.999,1.403,1.207,1.378,1.201,1.524,1.388,8.102,0.115,0.115,0.131,0.109,0.142,0.109,0.115,0.115,0.131,0.109,0.142,0.109
702,E00024134,597.512,529.761,608.082,693.238,819.076,530.08,3777.748,3.956,3.507,4.026,4.589,5.423,3.509,25.01,0.325,0.333,0.384,0.415,0.507,0.276,0.325,0.333,0.384,0.415,0.507,0.276
703,E00023616,125.694,152.683,89.754,104.638,91.286,129.774,693.829,1.203,1.462,0.859,1.002,0.874,1.242,6.642,0.099,0.139,0.082,0.091,0.082,0.098,0.099,0.139,0.082,0.091,0.082,0.098
704,E00024036,89.506,90.289,88.674,79.785,84.866,99.3,532.419,1.28,1.291,1.268,1.141,1.214,1.42,7.615,0.105,0.123,0.121,0.103,0.113,0.112,0.105,0.123,0.121,0.103,0.113,0.112
705,E00024052,246.464,195.757,227.864,247.028,243.371,290.921,1451.404,2.393,1.9,2.212,2.398,2.363,2.824,14.09,0.196,0.181,0.211,0.217,0.221,0.223,0.196,0.181,0.211,0.217,0.221,0.223
706,E00175194,1175.675,1093.736,1121.879,1389.436,1346.642,1114.439,7241.806,3.873,3.603,3.696,4.577,4.436,3.671,23.857,0.318,0.342,0.352,0.414,0.414,0.289,0.318,0.342,0.352,0.414,0.414,0.289
707,E00023856,50.049,76.345,35.125,41.988,35.642,66.486,305.634,0.464,0.707,0.325,0.389,0.33,0.616,2.832,0.038,0.067,0.031,0.035,0.031,0.049,0.038,0.067,0.031,0.035,0.031,0.049
708,E00023947,376.197,319.624,310.888,254.632,289.907,329.146,1880.394,1.933,1.642,1.597,1.308,1.489,1.691,9.66,0.159,0.156,0.152,0.118,0.139,0.133,0.159,0.156,0.152,0.118,0.139,0.133
709,E00024048,769.002,624.099,643.8,658.654,681.11,705.439,4082.105,2.738,2.222,2.292,2.345,2.425,2.511,14.532,0.225,0.211,0.218,0.212,0.227,0.198,0.225,0.211,0.218,0.212,0.227,0.198
710,E00175209,479.79,403.478,482.637,490.632,461.401,478.772,2796.71,2.293,1.928,2.307,2.345,2.205,2.288,13.367,0.188,0.183,0.22,0.212,0.206,0.18,0.188,0.183,0.22,0.212,0.206,0.18
711,E00023489,260.01,191.691,188.56,187.113,188.613,276.329,1292.316,2.919,2.152,2.117,2.1,2.117,3.102,14.507,0.24,0.204,0.202,0.19,0.198,0.244,0.24,0.204,0.202,0.19,0.198,0.244
712,E00023603,101.999,96.376,70.923,81.834,67.904,107.4,526.437,0.835,0.789,0.581,0.67,0.556,0.88,4.311,0.069,0.075,0.055,0.061,0.052,0.069,0.069,0.075,0.055,0.061,0.052,0.069
713,E00023656,200.697,145.105,179.363,184.866,178.678,206.192,1094.901,2.471,1.787,2.209,2.276,2.2,2.539,13.482,0.203,0.17,0.21,0.206,0.206,0.2,0.203,0.17,0.21,0.206,0.206,0.2
714,E00024046,117.757,125.162,98.588,102.563,88.364,147.753,680.187,1.279,1.36,1.071,1.114,0.96,1.605,7.39,0.105,0.129,0.102,0.101,0.09,0.127,0.105,0.129,0.102,0.101,0.09,0.127
715,E00023468,117.549,123.245,120.535,128.004,133.934,130.024,753.29,1.08,1.133,1.108,1.176,1.231,1.195,6.923,0.089,0.108,0.105,0.106,0.115,0.094,0.089,0.108,0.105,0.106,0.115,0.094
716,E00023718,111.462,120.08,113.956,103.242,116.077,125.334,690.151,1.286,1.386,1.315,1.191,1.339,1.446,7.964,0.106,0.132,0.125,0.108,0.125,0.114,0.106,0.132,0.125,0.108,0.125,0.114
717,E00023799,75.273,58.59,52.087,63.282,56.549,92.624,398.405,0.806,0.627,0.558,0.677,0.605,0.992,4.265,0.066,0.06,0.053,0.061,0.057,0.078,0.066,0.06,0.053,0.061,0.057,0.078
718,E00023822,353.804,294.229,293.41,301.92,299.52,354.714,1897.596,2.724,2.265,2.259,2.324,2.306,2.731,14.609,0.224,0.215,0.215,0.21,0.215,0.215,0.224,0.215,0.215,0.21,0.215,0.215
719,E00023610,138.005,107.356,98.289,109.605,94.253,125.691,673.198,1.278,0.994,0.91,1.015,0.873,1.164,6.236,0.105,0.094,0.087,0.092,0.082,0.092,0.105,0.094,0.087,0.092,0.082,0.092
720,E00023691,123.553,108.62,101.118,85.137,101.219,127.428,647.074,1.16,1.02,0.949,0.799,0.95,1.196,6.075,0.095,0.097,0.09,0.072,0.089,0.094,0.095,0.097,0.09,0.072,0.089,0.094
721,E00024045,101.801,118.347,88.709,98.261,89.241,123.065,619.424,1.219,1.417,1.062,1.177,1.069,1.474,7.418,0.1,0.135,0.101,0.107,0.1,0.116,0.1,0.135,0.101,0.107,0.1,0.116
722,E00023834,901.874,662.38,730.508,950.545,732.438,851.432,4829.176,3.377,2.48,2.735,3.559,2.742,3.188,18.08,0.277,0.236,0.261,0.322,0.256,0.251,0.277,0.236,0.261,0.322,0.256,0.251
723,E00023612,229.6,183.393,183.983,194.934,201.771,239.933,1233.615,1.547,1.235,1.239,1.313,1.359,1.616,8.31,0.127,0.117,0.118,0.119,0.127,0.127,0.127,0.117,0.118,0.119,0.127,0.127
724,E00023817,610.619,529.949,396.035,345.582,408.934,744.87,3035.989,2.633,2.285,1.707,1.49,1.763,3.211,13.089,0.216,0.217,0.163,0.135,0.165,0.253,0.216,0.217,0.163,0.135,0.165,0.253
725,E00023896,35.71,23.458,23.084,27.152,19.135,32.211,160.75,0.418,0.275,0.27,0.318,0.224,0.377,1.882,0.034,0.026,0.026,0.029,0.021,0.03,0.034,0.026,0.026,0.029,0.021,0.03
726,E00023434,102.218,97.323,106.471,94.427,103.052,122.796,626.287,0.813,0.774,0.846,0.751,0.819,0.976,4.979,0.067,0.073,0.081,0.068,0.077,0.077,0.067,0.073,0.081,0.068,0.077,0.077
727,E00175201,101.094,75.671,78.691,94.625,75.379,108.533,533.994,1.387,1.039,1.08,1.299,1.035,1.49,7.329,0.114,0.099,0.103,0.118,0.097,0.117,0.114,0.099,0.103,0.118,0.097,0.117
728,E00023944,158.274,117.416,93.984,93.344,93.864,113.058,669.941,2.12,1.572,1.259,1.25,1.257,1.514,8.972,0.174,0.149,0.12,0.113,0.117,0.119,0.174,0.149,0.12,0.113,0.117,0.119
729,E00024064,91.072,79.031,92.248,95.355,100.475,102.052,560.233,1.17,1.015,1.185,1.225,1.29,1.311,7.195,0.096,0.096,0.113,0.111,0.121,0.103,0.096,0.096,0.113,0.111,0.121,0.103
730,E00175278,88.658,71.482,90.38,60.112,79.305,88.093,478.029,0.871,0.702,0.888,0.591,0.779,0.866,4.698,0.072,0.067,0.085,0.053,0.073,0.068,0.072,0.067,0.085,0.053,0.073,0.068
731,E00023601,268.974,230.202,222.166,255.606,241.54,315.539,1534.028,1.826,1.563,1.508,1.735,1.64,2.142,10.414,0.15,0.149,0.144,0.157,0.153,0.169,0.15,0.149,0.144,0.157,0.153,0.169
732,E00023680,65.2,46.301,62.283,39.847,53.24,83.92,350.791,0.535,0.38,0.511,0.327,0.437,0.689,2.878,0.044,0.036,0.049,0.03,0.041,0.054,0.044,0.036,0.049,0.03,0.041,0.054
733,E00023937,1770.386,1084.269,1464.704,1448.227,1519.208,1270.104,8556.899,3.87,2.37,3.202,3.166,3.321,2.776,18.704,0.318,0.225,0.305,0.287,0.31,0.219,0.318,0.225,0.305,0.287,0.31,0.219
734,E00023478,158.361,147.072,155.091,201.371,166.457,189.4,1017.753,1.272,1.181,1.246,1.617,1.337,1.521,8.175,0.104,0.112,0.119,0.146,0.125,0.12,0.104,0.112,0.119,0.146,0.125,0.12
735,E00175267,136.752,127.091,139.628,193.85,125.789,186.726,909.836,1.324,1.23,1.351,1.876,1.217,1.807,8.806,0.109,0.117,0.129,0.17,0.114,0.142,0.109,0.117,0.129,0.17,0.114,0.142
736,E00023793,105.872,108.275,82.886,82.762,84.325,112.654,576.775,0.45,0.46,0.352,0.352,0.358,0.478,2.45,0.037,0.044,0.034,0.032,0.033,0.038,0.037,0.044,0.034,0.032,0.033,0.038
737,E00023712,70.751,55.664,70.779,51.618,60.482,69.77,379.065,1.012,0.796,1.012,0.738,0.865,0.998,5.421,0.083,0.076,0.096,0.067,0.081,0.079,0.083,0.076,0.096,0.067,0.081,0.079
738,E00023976,55.98,58.567,47.819,49.584,47.282,52.239,311.47,0.549,0.575,0.469,0.487,0.464,0.513,3.057,0.045,0.055,0.045,0.044,0.043,0.04,0.045,0.055,0.045,0.044,0.043,0.04
739,E00023646,288.997,262.056,266.27,266.018,266.969,322.868,1673.178,2.952,2.677,2.72,2.718,2.727,3.299,17.094,0.243,0.254,0.259,0.246,0.255,0.26,0.243,0.254,0.259,0.246,0.255,0.26
740,E00023621,154.694,137.212,156.297,153.489,152.691,162.796,917.179,1.714,1.52,1.731,1.7,1.691,1.803,10.16,0.141,0.144,0.165,0.154,0.158,0.142,0.141,0.144,0.165,0.154,0.158,0.142
741,E00024079,46.784,68.161,43.807,44.887,44.308,45.869,293.816,0.554,0.808,0.519,0.532,0.525,0.544,3.482,0.046,0.077,0.049,0.048,0.049,0.043,0.046,0.077,0.049,0.048,0.049,0.043
742,E00023652,316.85,257.443,282.584,305.279,295.501,330.193,1787.85,3.256,2.645,2.903,3.137,3.036,3.393,18.37,0.267,0.251,0.277,0.284,0.284,0.267,0.267,0.251,0.277,0.284,0.284,0.267
743,E00023559,229.526,217.333,240.327,252.921,250.554,292.631,1483.292,1.018,0.964,1.066,1.122,1.112,1.298,6.581,0.084,0.092,0.102,0.102,0.104,0.102,0.084,0.092,0.102,0.102,0.104,0.102
744,E00024070,73.463,67.2,70.876,48.583,60.975,73.936,395.033,0.774,0.708,0.747,0.512,0.642,0.779,4.161,0.064,0.067,0.071,0.046,0.06,0.061,0.064,0.067,0.071,0.046,0.06,0.061
745,E00023746,185.487,144.3,166.832,152.653,156.805,210.244,1016.321,1.01,0.786,0.908,0.831,0.854,1.145,5.534,0.083,0.075,0.087,0.075,0.08,0.09,0.083,0.075,0.087,0.075,0.08,0.09
746,E00023532,141.862,129.74,145.102,139.223,147.044,145.709,848.681,1.256,1.148,1.284,1.232,1.302,1.29,7.513,0.103,0.109,0.122,0.112,0.122,0.102,0.103,0.109,0.122,0.112,0.122,0.102
747,E00023927,435.551,410.361,340.072,350.993,346.112,458.235,2341.324,2.396,2.258,1.871,1.931,1.904,2.521,12.881,0.197,0.214,0.178,0.175,0.178,0.199,0.197,0.214,0.178,0.175,0.178,0.199
748,E00023747,69.954,54.309,62.451,56.394,62.649,74.421,380.178,0.628,0.488,0.561,0.506,0.563,0.668,3.414,0.052,0.046,0.053,0.046,0.053,0.053,0.052,0.046,0.053,0.046,0.053,0.053
749,E00023716,72.886,77.497,83.068,60.618,78.696,76.467,449.231,0.735,0.781,0.837,0.611,0.793,0.771,4.528,0.06,0.074,0.08,0.055,0.074,0.061,0.06,0.074,0.08,0.055,0.074,0.061
750,E00023797,44.487,35.233,32.146,28.095,30.512,51.952,222.425,0.373,0.295,0.27,0.236,0.256,0.436,1.865,0.031,0.028,0.026,0.021,0.024,0.034,0.031,0.028,0.026,0.021,0.024,0.034
751,E00175262,35.023,55.623,27.615,27.371,28.235,35.169,209.037,0.371,0.59,0.293,0.29,0.299,0.373,2.216,0.031,0.056,0.028,0.026,0.028,0.029,0.031,0.056,0.028,0.026,0.028,0.029
752,E00023548,88.776,103.601,74.778,72.059,65.799,100.777,505.791,1.162,1.356,0.979,0.943,0.861,1.319,6.619,0.095,0.129,0.093,0.085,0.08,0.104,0.095,0.129,0.093,0.085,0.08,0.104
753,E00024007,367.644,276.78,278.485,314.479,276.996,345.266,1859.65,2.483,1.87,1.881,2.124,1.871,2.332,12.561,0.204,0.178,0.179,0.192,0.175,0.184,0.204,0.178,0.179,0.192,0.175,0.184
754,E00024086,84.623,99.594,84.901,106.678,82.537,96.159,554.49,0.754,0.888,0.757,0.951,0.736,0.857,4.942,0.062,0.084,0.072,0.086,0.069,0.067,0.062,0.084,0.072,0.086,0.069,0.067
755,E00023549,38.346,63.424,22.825,24.407,21.535,40.152,210.688,0.654,1.081,0.389,0.416,0.367,0.685,3.592,0.054,0.103,0.037,0.038,0.034,0.054,0.054,0.103,0.037,0.038,0.034,0.054
756,E00023829,476.471,395.425,316.787,377.588,321.243,569.463,2456.976,4.86,4.033,3.231,3.851,3.277,5.808,25.06,0.399,0.383,0.308,0.349,0.306,0.458,0.399,0.383,0.308,0.349,0.306,0.458
