,OA,worker_units,student_units,tourist_units,shopper_units,leisurer_units,chorer_units,[per_effective_area_square_meter] - worker_units,[per_effective_area_square_meter] - student_units,[per_effective_area_square_meter] - tourist_units,[per_effective_area_square_meter] - shopper_units,[per_effective_area_square_meter] - leisurer_units,[per_effective_area_square_meter] - chorer_units,[%_of_borough_total] - [per_effective_area_square_meter] - worker_units,[%_of_borough_total] - [per_effective_area_square_meter] - student_units,[%_of_borough_total] - [per_effective_area_square_meter] - tourist_units,[%_of_borough_total] - [per_effective_area_square_meter] - shopper_units,[%_of_borough_total] - [per_effective_area_square_meter] - leisurer_units,[%_of_borough_total] - [per_effective_area_square_meter] - chorer_units,[per_effective_area_square_meter] - total_units,[%_of_OA_total] - [per_effective_area_square_meter] - worker_units,[%_of_OA_total] - [per_effective_area_square_meter] - student_units,[%_of_OA_total] - [per_effective_area_square_meter] - tourist_units,[%_of_OA_total] - [per_effective_area_square_meter] - shopper_units,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer_units,[%_of_OA_total] - [per_effective_area_square_meter] - chorer_units,worker_value,student_value,tourist_value,shopper_value,leisurer_value,chorer_value,total_value,[per_effective_area_square_meter] - worker_value,[per_effective_area_square_meter] - student_value,[per_effective_area_square_meter] - tourist_value,[per_effective_area_square_meter] - shopper_value,[per_effective_area_square_meter] - leisurer_value,[per_effective_area_square_meter] - chorer_value,[per_effective_area_square_meter] - total_value
15,E00023830,233.531,133.506,138.544,129.563,165.526,287.954,2.123,1.213,1.259,1.178,1.505,2.617,0.25,0.236,0.269,0.24,0.267,0.261,9.895,21.455,12.259,12.724,11.905,15.21,26.448,411.842,235.444,244.328,228.49,291.912,507.82,1919.836,3.743,2.14,2.221,2.077,2.653,4.616,17.45
16,E00023586,111.467,69.712,63.193,73.04,75.76,118.388,0.829,0.519,0.47,0.543,0.564,0.881,0.098,0.101,0.1,0.111,0.1,0.088,3.806,21.781,13.636,12.349,14.267,14.819,23.148,196.577,122.94,111.444,128.809,133.606,208.782,902.159,1.462,0.914,0.829,0.958,0.994,1.553,6.71
17,E00023507,178.301,104.535,112.46,104.569,141.635,204.195,1.893,1.11,1.194,1.11,1.504,2.168,0.223,0.216,0.255,0.226,0.267,0.216,8.979,21.083,12.362,13.298,12.362,16.75,24.145,314.442,184.352,198.328,184.412,249.78,360.107,1491.42,3.338,1.957,2.105,1.958,2.652,3.823,15.833
18,E00024104,52.267,32.014,32.079,25.581,32.255,53.957,0.416,0.255,0.255,0.204,0.257,0.43,0.049,0.05,0.054,0.042,0.046,0.043,1.817,22.895,14.034,14.034,11.227,14.144,23.665,92.175,56.458,56.573,45.113,56.883,95.156,402.358,0.734,0.449,0.45,0.359,0.453,0.758,3.203
19,E00024094,46.327,27.009,25.638,28.357,28.48,55.668,0.509,0.296,0.281,0.311,0.313,0.611,0.06,0.058,0.06,0.063,0.056,0.061,2.321,21.93,12.753,12.107,13.399,13.486,26.325,81.7,47.632,45.214,50.009,50.226,98.173,372.953,0.897,0.523,0.496,0.549,0.551,1.078,4.094
20,E00023936,1048.276,515.929,610.526,522.134,765.352,1099.276,1.814,0.893,1.057,0.904,1.325,1.903,0.214,0.174,0.226,0.184,0.235,0.19,7.896,22.974,11.31,13.387,11.449,16.781,24.101,1848.681,909.864,1076.69,920.806,1349.732,1938.622,8044.394,3.2,1.575,1.864,1.594,2.336,3.356,13.924
21,E00175182,206.261,117.84,122.493,108.346,156.074,227.239,0.856,0.489,0.508,0.449,0.647,0.943,0.101,0.095,0.108,0.092,0.115,0.094,3.892,21.994,12.564,13.052,11.536,16.624,24.229,363.75,207.816,216.022,191.073,275.243,400.746,1654.651,1.509,0.862,0.896,0.793,1.142,1.662,6.864
22,E00023840,365.796,214.187,198.377,193.222,234.089,441.559,2.514,1.472,1.363,1.328,1.609,3.034,0.296,0.286,0.291,0.271,0.285,0.302,11.32,22.208,13.004,12.041,11.731,14.214,26.802,645.097,377.728,349.847,340.756,412.826,778.709,2904.963,4.433,2.596,2.404,2.342,2.837,5.351,19.963
23,E00175255,43.511,21.494,19.154,22.683,24.49,53.087,0.498,0.246,0.219,0.259,0.28,0.607,0.059,0.048,0.047,0.053,0.05,0.06,2.109,23.613,11.664,10.384,12.281,13.276,28.781,76.734,37.906,33.779,40.002,43.189,93.621,325.231,0.878,0.434,0.386,0.457,0.494,1.071,3.72
24,E00175277,41.753,20.356,16.373,20.955,19.306,48.809,0.446,0.217,0.175,0.224,0.206,0.521,0.052,0.042,0.037,0.046,0.037,0.052,1.789,24.93,12.13,9.782,12.521,11.515,29.122,73.633,35.899,28.875,36.955,34.047,86.077,295.485,0.786,0.383,0.308,0.394,0.363,0.919,3.154
