,OA,worker_units,student_units,tourist_units,shopper_units,leisurer_units,chorer_units,[per_effective_area_square_meter] - worker_units,[per_effective_area_square_meter] - student_units,[per_effective_area_square_meter] - tourist_units,[per_effective_area_square_meter] - shopper_units,[per_effective_area_square_meter] - leisurer_units,[per_effective_area_square_meter] - chorer_units,[%_of_borough_total] - [per_effective_area_square_meter] - worker_units,[%_of_borough_total] - [per_effective_area_square_meter] - student_units,[%_of_borough_total] - [per_effective_area_square_meter] - tourist_units,[%_of_borough_total] - [per_effective_area_square_meter] - shopper_units,[%_of_borough_total] - [per_effective_area_square_meter] - leisurer_units,[%_of_borough_total] - [per_effective_area_square_meter] - chorer_units,[per_effective_area_square_meter] - total_units,[%_of_OA_total] - [per_effective_area_square_meter] - worker_units,[%_of_OA_total] - [per_effective_area_square_meter] - student_units,[%_of_OA_total] - [per_effective_area_square_meter] - tourist_units,[%_of_OA_total] - [per_effective_area_square_meter] - shopper_units,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer_units,[%_of_OA_total] - [per_effective_area_square_meter] - chorer_units,worker_value,student_value,tourist_value,shopper_value,leisurer_value,chorer_value,total_value,[per_effective_area_square_meter] - worker_value,[per_effective_area_square_meter] - student_value,[per_effective_area_square_meter] - tourist_value,[per_effective_area_square_meter] - shopper_value,[per_effective_area_square_meter] - leisurer_value,[per_effective_area_square_meter] - chorer_value,[per_effective_area_square_meter] - total_value
196,E00023412,94.038,75.806,53.354,76.432,64.289,118.177,0.408,0.329,0.231,0.331,0.279,0.512,0.048,0.064,0.049,0.068,0.05,0.051,2.09,19.522,15.742,11.053,15.837,13.349,24.498,165.84,133.687,94.092,134.791,113.376,208.41,850.198,0.719,0.579,0.408,0.584,0.491,0.903,3.685
197,E00023662,218.883,133.737,124.258,121.118,153.661,275.442,1.257,0.768,0.714,0.696,0.883,1.582,0.148,0.149,0.152,0.142,0.157,0.158,5.9,21.305,13.017,12.102,11.797,14.966,26.814,386.01,235.851,219.134,213.597,270.988,485.754,1811.334,2.217,1.355,1.259,1.227,1.556,2.79,10.404
198,E00023734,126.003,73.047,67.991,74.681,90.877,150.181,0.729,0.422,0.393,0.432,0.526,0.868,0.086,0.082,0.084,0.088,0.093,0.086,3.37,21.632,12.522,11.662,12.819,15.608,25.757,222.212,128.822,119.905,131.703,160.266,264.851,1027.758,1.285,0.745,0.693,0.762,0.927,1.532,5.943
199,E00023826,533.179,456.336,273.585,342.292,303.704,769.405,2.869,2.455,1.472,1.842,1.634,4.14,0.338,0.477,0.314,0.376,0.29,0.412,14.412,19.907,17.034,10.214,12.781,11.338,28.726,940.285,804.769,482.479,603.647,535.595,1356.88,4723.655,5.059,4.33,2.596,3.248,2.882,7.3,25.414
200,E00023975,108.634,58.489,53.129,54.213,61.803,128.992,0.346,0.186,0.169,0.173,0.197,0.411,0.041,0.036,0.036,0.035,0.035,0.041,1.482,23.347,12.551,11.404,11.673,13.293,27.733,191.581,103.148,93.695,95.607,108.992,227.483,820.507,0.61,0.329,0.299,0.305,0.347,0.725,2.614
201,E00023859,45.806,35.2,20.066,28.0,21.854,60.568,0.435,0.334,0.19,0.266,0.207,0.575,0.051,0.065,0.041,0.054,0.037,0.057,2.007,21.674,16.642,9.467,13.254,10.314,28.65,80.781,62.077,35.387,49.379,38.54,106.814,372.979,0.767,0.589,0.336,0.469,0.366,1.014,3.539
202,E00175265,39.876,22.415,15.368,24.391,16.698,39.192,0.339,0.191,0.131,0.208,0.142,0.334,0.04,0.037,0.028,0.042,0.025,0.033,1.345,25.204,14.201,9.74,15.465,10.558,24.833,70.323,39.53,27.102,43.015,29.448,69.117,278.534,0.598,0.336,0.231,0.366,0.251,0.588,2.37
203,E00023948,232.129,130.13,137.017,119.872,169.808,269.28,1.543,0.865,0.911,0.797,1.129,1.79,0.182,0.168,0.195,0.163,0.2,0.178,7.035,21.933,12.296,12.95,11.329,16.048,25.444,409.37,229.49,241.636,211.4,299.464,474.887,1866.246,2.722,1.526,1.607,1.405,1.991,3.157,12.408
204,E00023744,62.22,40.471,36.409,34.759,38.152,80.321,0.45,0.293,0.263,0.251,0.276,0.581,0.053,0.057,0.056,0.051,0.049,0.058,2.114,21.287,13.86,12.441,11.873,13.056,27.483,109.728,71.372,64.209,61.299,67.283,141.65,515.54,0.794,0.516,0.465,0.444,0.487,1.025,3.73
205,E00023518,143.43,91.541,91.204,83.785,97.054,169.498,1.369,0.874,0.871,0.8,0.926,1.618,0.161,0.17,0.186,0.163,0.164,0.161,6.458,21.199,13.534,13.487,12.388,14.339,25.054,252.945,161.437,160.842,147.759,171.159,298.917,1193.059,2.414,1.541,1.535,1.41,1.634,2.853,11.388
206,E00023666,260.769,168.821,136.879,138.218,145.358,316.162,1.519,0.983,0.797,0.805,0.847,1.842,0.179,0.191,0.17,0.164,0.15,0.184,6.793,22.361,14.471,11.733,11.85,12.469,27.116,459.878,297.723,241.392,243.754,256.345,557.566,2056.658,2.679,1.734,1.406,1.42,1.493,3.248,11.981
207,E00023825,234.734,182.838,118.749,173.738,132.754,307.732,1.605,1.25,0.812,1.188,0.908,2.104,0.189,0.243,0.173,0.242,0.161,0.21,7.867,20.402,15.889,10.322,15.101,11.542,26.745,413.964,322.443,209.419,306.395,234.118,542.699,2029.037,2.83,2.205,1.432,2.095,1.601,3.71,13.872
208,E00023521,193.205,111.265,113.666,106.382,139.183,203.903,2.171,1.25,1.277,1.195,1.564,2.291,0.256,0.243,0.273,0.244,0.278,0.228,9.748,22.271,12.823,13.1,12.259,16.044,23.502,340.726,196.221,200.455,187.609,245.455,359.592,1530.058,3.828,2.205,2.252,2.108,2.758,4.04,17.192
209,E00024076,81.626,55.007,39.331,45.031,44.741,95.516,0.379,0.255,0.182,0.209,0.208,0.443,0.045,0.05,0.039,0.043,0.037,0.044,1.676,22.613,15.215,10.859,12.47,12.411,26.432,143.951,97.007,69.362,79.414,78.903,168.447,637.084,0.668,0.45,0.322,0.368,0.366,0.781,2.955
210,E00023426,51.554,39.993,34.47,32.139,34.973,70.928,0.33,0.256,0.221,0.206,0.224,0.454,0.039,0.05,0.047,0.042,0.04,0.045,1.691,19.515,15.139,13.069,12.182,13.247,26.848,90.918,70.529,60.789,56.679,61.676,125.085,465.676,0.582,0.452,0.389,0.363,0.395,0.801,2.981
211,E00023753,60.303,40.68,33.007,33.802,36.708,74.96,0.465,0.314,0.254,0.261,0.283,0.578,0.055,0.061,0.054,0.053,0.05,0.058,2.155,21.578,14.571,11.787,12.111,13.132,26.821,106.347,71.741,58.209,59.611,64.736,132.195,492.84,0.82,0.553,0.449,0.459,0.499,1.019,3.799
212,E00024103,83.491,51.682,43.56,47.538,46.674,98.489,0.476,0.294,0.248,0.271,0.266,0.561,0.056,0.057,0.053,0.055,0.047,0.056,2.116,22.495,13.894,11.72,12.807,12.571,26.512,147.24,91.143,76.82,83.835,82.312,173.69,655.04,0.839,0.519,0.438,0.478,0.469,0.989,3.731
213,E00023973,121.946,70.168,65.168,70.974,74.962,154.62,0.712,0.41,0.381,0.414,0.438,0.903,0.084,0.08,0.081,0.084,0.078,0.09,3.258,21.854,12.584,11.694,12.707,13.444,27.716,215.057,123.744,114.927,125.166,132.199,272.679,983.772,1.256,0.723,0.671,0.731,0.772,1.592,5.744
214,E00023699,85.805,54.218,48.274,50.975,65.946,107.498,0.597,0.377,0.336,0.355,0.459,0.748,0.07,0.073,0.072,0.072,0.081,0.075,2.872,20.787,13.127,11.699,12.361,15.982,26.045,151.321,95.616,85.133,89.897,116.299,189.577,727.843,1.053,0.666,0.593,0.626,0.81,1.32,5.066
215,E00023618,254.761,144.459,158.929,155.421,196.128,309.704,1.445,0.82,0.902,0.882,1.113,1.757,0.17,0.159,0.193,0.18,0.197,0.175,6.919,20.885,11.851,13.037,12.748,16.086,25.394,449.282,254.76,280.278,274.092,345.88,546.177,2150.469,2.549,1.445,1.59,1.555,1.962,3.099,12.2
216,E00024137,414.734,227.579,226.73,238.598,286.727,493.218,2.254,1.237,1.232,1.297,1.559,2.681,0.265,0.241,0.263,0.265,0.277,0.267,10.26,21.969,12.057,12.008,12.641,15.195,26.131,731.402,401.346,399.848,420.778,505.656,869.812,3328.841,3.976,2.182,2.174,2.287,2.749,4.728,18.095
217,E00024100,79.961,45.85,41.993,56.13,51.641,95.762,0.652,0.374,0.342,0.457,0.421,0.78,0.077,0.073,0.073,0.093,0.075,0.078,3.026,21.547,12.36,11.302,15.102,13.913,25.777,141.015,80.858,74.057,98.988,91.071,168.881,654.869,1.149,0.659,0.603,0.807,0.742,1.376,5.336
218,E00023469,126.28,82.937,74.469,77.968,95.067,153.495,1.943,1.276,1.146,1.2,1.463,2.362,0.229,0.248,0.245,0.245,0.26,0.235,9.39,20.692,13.589,12.204,12.78,15.58,25.154,222.7,146.263,131.329,137.5,167.655,270.695,1076.143,3.426,2.25,2.021,2.115,2.579,4.165,16.557
219,E00023802,82.508,48.154,42.371,49.54,52.075,87.261,0.532,0.31,0.273,0.319,0.336,0.563,0.063,0.06,0.058,0.065,0.06,0.056,2.333,22.803,13.288,11.702,13.673,14.402,24.132,145.506,84.922,74.723,87.366,91.837,153.889,638.242,0.938,0.548,0.482,0.563,0.592,0.992,4.115
220,E00023883,53.199,40.568,33.659,56.776,32.033,60.117,0.428,0.326,0.271,0.457,0.258,0.484,0.05,0.063,0.058,0.093,0.046,0.048,2.224,19.245,14.658,12.185,20.549,11.601,21.763,93.819,71.543,59.359,100.127,56.492,106.019,487.359,0.755,0.576,0.478,0.806,0.455,0.853,3.922
221,E00023499,337.531,196.741,204.674,185.827,245.02,375.799,2.38,1.387,1.443,1.31,1.728,2.65,0.28,0.27,0.308,0.267,0.307,0.264,10.898,21.839,12.727,13.241,12.021,15.856,24.316,595.251,346.961,360.952,327.714,432.104,662.738,2725.72,4.197,2.447,2.545,2.311,3.047,4.673,19.221
222,E00023530,58.142,38.251,31.513,35.005,43.717,65.741,0.576,0.379,0.312,0.347,0.433,0.651,0.068,0.074,0.067,0.071,0.077,0.065,2.698,21.349,14.047,11.564,12.861,16.049,24.129,102.536,67.457,55.575,61.733,77.097,115.937,480.335,1.015,0.668,0.55,0.611,0.763,1.148,4.757
223,E00024077,65.751,44.759,33.281,35.99,38.118,81.058,0.543,0.37,0.275,0.297,0.315,0.67,0.064,0.072,0.059,0.061,0.056,0.067,2.47,21.984,14.98,11.134,12.024,12.753,27.126,115.955,78.934,58.693,63.47,67.223,142.949,527.224,0.958,0.652,0.485,0.525,0.556,1.182,4.358
224,E00023579,126.726,69.067,70.057,73.096,96.786,127.121,1.61,0.878,0.89,0.929,1.23,1.615,0.189,0.171,0.19,0.189,0.218,0.161,7.152,22.511,12.276,12.444,12.989,17.198,22.581,223.487,121.803,123.549,128.908,170.686,224.183,992.616,2.84,1.548,1.57,1.638,2.169,2.849,12.614
225,E00024068,64.311,44.619,32.942,37.078,37.597,78.909,0.694,0.481,0.355,0.4,0.405,0.851,0.082,0.094,0.076,0.082,0.072,0.085,3.186,21.783,15.097,11.142,12.555,12.712,26.711,113.415,78.688,58.095,65.389,66.304,139.16,521.05,1.223,0.849,0.627,0.705,0.715,1.501,5.619
226,E00023838,332.109,210.588,180.356,193.511,212.281,411.485,2.623,1.663,1.425,1.529,1.677,3.25,0.309,0.323,0.304,0.312,0.298,0.324,12.167,21.558,13.668,11.712,12.567,13.783,26.712,585.689,371.381,318.066,341.265,374.367,725.672,2716.44,4.626,2.934,2.512,2.696,2.957,5.732,21.458
227,E00023882,145.325,107.953,75.753,110.173,87.203,151.395,0.506,0.376,0.264,0.384,0.304,0.527,0.06,0.073,0.056,0.078,0.054,0.053,2.361,21.432,15.925,11.182,16.264,12.876,22.321,256.287,190.38,133.594,194.295,153.786,266.992,1195.334,0.893,0.663,0.465,0.677,0.536,0.93,4.164
228,E00023803,42.69,26.352,25.22,28.978,25.844,49.099,0.378,0.234,0.224,0.257,0.229,0.435,0.044,0.046,0.048,0.052,0.041,0.043,1.757,21.514,13.318,12.749,14.627,13.034,24.758,75.286,46.473,44.477,51.104,45.577,86.588,349.504,0.667,0.412,0.394,0.453,0.404,0.768,3.099
229,E00023764,147.97,99.61,83.625,89.876,107.309,168.137,0.744,0.501,0.421,0.452,0.54,0.846,0.088,0.097,0.09,0.092,0.096,0.084,3.504,21.233,14.298,12.015,12.9,15.411,24.144,260.952,175.667,147.476,158.5,189.244,296.517,1228.356,1.313,0.884,0.742,0.797,0.952,1.492,6.179
230,E00175259,74.661,42.577,47.64,46.941,60.238,73.838,0.576,0.328,0.367,0.362,0.465,0.57,0.068,0.064,0.078,0.074,0.083,0.057,2.668,21.589,12.294,13.756,13.568,17.429,21.364,131.668,75.086,84.015,82.783,106.232,130.217,610.001,1.016,0.579,0.648,0.639,0.819,1.004,4.705
231,E00023769,46.3,23.461,29.837,30.09,33.497,47.409,0.433,0.219,0.279,0.281,0.313,0.443,0.051,0.043,0.06,0.057,0.056,0.044,1.968,22.002,11.128,14.177,14.278,15.904,22.51,81.652,41.375,52.619,53.065,59.073,83.608,371.392,0.763,0.387,0.492,0.496,0.552,0.781,3.471
232,E00175237,94.869,56.69,47.349,53.207,59.297,102.982,1.027,0.614,0.513,0.576,0.642,1.115,0.121,0.119,0.11,0.117,0.114,0.111,4.487,22.888,13.684,11.433,12.837,14.308,24.85,167.306,99.975,83.502,93.833,104.573,181.613,730.802,1.812,1.083,0.904,1.016,1.132,1.966,7.913
233,E00023930,1517.19,696.242,735.617,625.511,872.822,1685.037,2.279,1.046,1.105,0.94,1.311,2.531,0.268,0.203,0.236,0.192,0.233,0.252,9.212,24.739,11.355,11.995,10.204,14.231,27.475,2675.632,1227.853,1297.293,1103.116,1539.26,2971.637,10814.792,4.019,1.845,1.949,1.657,2.312,4.464,16.246
234,E00023931,586.522,299.758,342.203,279.149,413.715,604.251,2.139,1.093,1.248,1.018,1.509,2.204,0.252,0.213,0.267,0.208,0.268,0.22,9.211,23.222,11.866,13.549,11.052,16.383,23.928,1034.357,528.636,603.49,492.292,729.605,1065.623,4454.004,3.773,1.928,2.201,1.796,2.661,3.887,16.246
235,E00023576,167.235,101.101,97.584,100.72,132.274,181.441,1.479,0.894,0.863,0.891,1.17,1.604,0.174,0.174,0.184,0.182,0.208,0.16,6.901,21.432,12.955,12.505,12.911,16.954,23.243,294.926,178.296,172.094,177.624,233.271,319.979,1376.19,2.608,1.576,1.522,1.571,2.063,2.829,12.168
236,E00023827,504.673,443.496,257.222,346.974,279.194,727.587,3.43,3.014,1.748,2.358,1.898,4.945,0.404,0.586,0.373,0.481,0.337,0.493,17.393,19.721,17.329,10.05,13.557,10.912,28.431,890.013,782.125,453.622,611.904,492.371,1283.132,4513.167,6.049,5.316,3.083,4.159,3.346,8.721,30.674
237,E00175188,69.853,46.145,40.906,42.805,50.111,82.012,0.691,0.456,0.404,0.423,0.495,0.811,0.081,0.089,0.086,0.086,0.088,0.081,3.28,21.067,13.902,12.317,12.896,15.091,24.726,123.189,81.379,72.14,75.489,88.373,144.632,585.2,1.218,0.805,0.713,0.746,0.874,1.43,5.786
238,E00023874,29.987,23.837,17.212,18.764,17.203,38.325,0.227,0.18,0.13,0.142,0.13,0.29,0.027,0.035,0.028,0.029,0.023,0.029,1.099,20.655,16.379,11.829,12.921,11.829,26.388,52.883,42.038,30.354,33.091,30.338,67.588,256.292,0.4,0.318,0.23,0.251,0.23,0.512,1.94
239,E00023506,206.528,131.43,131.9,119.681,175.369,261.246,1.607,1.022,1.026,0.931,1.364,2.032,0.189,0.199,0.219,0.19,0.242,0.202,7.982,20.133,12.804,12.854,11.664,17.088,25.457,364.221,231.783,232.611,211.063,309.271,460.719,1809.668,2.833,1.803,1.809,1.642,2.406,3.584,14.077
240,E00023839,812.747,472.356,434.659,445.239,528.208,987.936,2.483,1.443,1.328,1.36,1.614,3.018,0.292,0.281,0.284,0.277,0.286,0.301,11.246,22.079,12.831,11.809,12.093,14.352,26.836,1433.315,833.021,766.54,785.199,931.518,1742.269,6491.862,4.378,2.545,2.342,2.399,2.846,5.322,19.831
241,E00024118,365.279,213.041,205.395,223.396,267.283,428.574,1.532,0.893,0.861,0.937,1.121,1.797,0.18,0.174,0.184,0.191,0.199,0.179,7.141,21.454,12.505,12.057,13.121,15.698,25.165,644.186,375.707,362.223,393.969,471.365,755.809,3003.259,2.701,1.576,1.519,1.652,1.977,3.17,12.594
242,E00023639,88.397,51.005,50.684,52.997,58.592,110.35,0.834,0.481,0.478,0.5,0.553,1.042,0.098,0.094,0.102,0.102,0.098,0.104,3.888,21.451,12.371,12.294,12.86,14.223,26.8,155.892,89.95,89.383,93.463,103.33,194.607,726.624,1.471,0.849,0.844,0.882,0.975,1.837,6.859
243,E00023655,89.646,44.778,40.794,40.729,51.285,103.51,0.884,0.441,0.402,0.401,0.505,1.02,0.104,0.086,0.086,0.082,0.09,0.102,3.653,24.199,12.072,11.005,10.977,13.824,27.922,158.095,78.968,71.942,71.827,90.443,182.544,653.82,1.558,0.778,0.709,0.708,0.891,1.799,6.444
244,E00023448,60.58,39.839,36.447,35.515,37.751,79.506,0.345,0.227,0.208,0.202,0.215,0.453,0.041,0.044,0.044,0.041,0.038,0.045,1.65,20.909,13.758,12.606,12.242,13.03,27.455,106.836,70.258,64.276,62.632,66.576,140.212,510.789,0.609,0.4,0.366,0.357,0.379,0.799,2.911
245,E00023995,84.484,51.141,50.805,52.61,60.716,106.338,1.036,0.627,0.623,0.645,0.745,1.304,0.122,0.122,0.133,0.132,0.132,0.13,4.98,20.803,12.59,12.51,12.952,14.96,26.185,148.991,90.189,89.597,92.78,107.075,187.532,716.165,1.827,1.106,1.099,1.138,1.313,2.3,8.782
246,E00023914,102.404,67.416,42.177,60.747,52.163,103.161,0.728,0.48,0.3,0.432,0.371,0.734,0.086,0.093,0.064,0.088,0.066,0.073,3.045,23.908,15.764,9.852,14.187,12.184,24.105,180.594,118.891,74.381,107.13,91.992,181.929,754.917,1.284,0.846,0.529,0.762,0.654,1.294,5.369
247,E00023551,57.457,32.323,37.764,37.203,41.253,67.294,0.568,0.319,0.373,0.368,0.408,0.665,0.067,0.062,0.08,0.075,0.072,0.066,2.701,21.029,11.81,13.81,13.625,15.106,24.621,101.328,57.003,66.598,65.609,72.751,118.676,481.966,1.001,0.563,0.658,0.648,0.719,1.173,4.763
248,E00023945,979.43,482.615,563.664,488.541,700.801,1017.679,1.316,0.648,0.757,0.656,0.942,1.367,0.155,0.126,0.162,0.134,0.167,0.136,5.686,23.145,11.396,13.313,11.537,16.567,24.042,1727.268,851.113,994.046,861.564,1235.893,1794.722,7464.606,2.321,1.144,1.336,1.158,1.661,2.411,10.03
249,E00023545,65.861,42.876,37.825,45.655,48.01,81.543,0.635,0.413,0.365,0.44,0.463,0.786,0.075,0.08,0.078,0.09,0.082,0.078,3.102,20.471,13.314,11.767,14.184,14.926,25.338,116.149,75.614,66.706,80.515,84.668,143.805,567.456,1.12,0.729,0.643,0.776,0.816,1.386,5.47
250,E00023821,277.81,228.433,139.438,204.894,153.87,375.99,2.153,1.77,1.08,1.588,1.192,2.913,0.253,0.344,0.231,0.324,0.212,0.29,10.696,20.129,16.548,10.097,14.847,11.144,27.234,489.93,402.852,245.905,361.34,271.357,663.075,2434.458,3.796,3.121,1.905,2.8,2.103,5.138,18.863
251,E00023863,72.684,48.527,27.95,36.53,32.812,75.439,0.554,0.37,0.213,0.278,0.25,0.575,0.065,0.072,0.045,0.057,0.044,0.057,2.24,24.732,16.518,9.509,12.411,11.161,25.67,128.181,85.58,49.291,64.422,57.865,133.04,518.38,0.977,0.652,0.376,0.491,0.441,1.014,3.95
252,E00023956,159.127,77.074,75.016,77.635,94.171,175.194,1.877,0.909,0.885,0.916,1.111,2.067,0.221,0.177,0.189,0.187,0.197,0.206,7.765,24.173,11.706,11.397,11.797,14.308,26.619,280.627,135.923,132.294,136.913,166.075,308.962,1160.795,3.311,1.604,1.561,1.615,1.959,3.645,13.695
253,E00024072,49.59,32.439,21.328,23.645,23.526,57.813,0.406,0.265,0.174,0.193,0.192,0.473,0.048,0.052,0.037,0.039,0.034,0.047,1.703,23.84,15.561,10.217,11.333,11.274,27.775,87.454,57.208,37.613,41.699,41.489,101.956,367.419,0.715,0.468,0.308,0.341,0.339,0.834,3.005
254,E00023969,77.629,46.938,45.212,47.1,55.74,105.435,1.011,0.612,0.589,0.614,0.726,1.374,0.119,0.119,0.126,0.125,0.129,0.137,4.926,20.524,12.424,11.957,12.464,14.738,27.893,136.902,82.777,79.733,83.063,98.3,185.939,666.715,1.784,1.079,1.039,1.082,1.281,2.423,8.687
255,E00023476,172.828,110.658,101.566,108.819,126.873,205.17,1.034,0.662,0.607,0.651,0.759,1.227,0.122,0.129,0.13,0.133,0.135,0.122,4.94,20.931,13.401,12.287,13.178,15.364,24.838,304.79,195.15,179.116,191.907,223.746,361.826,1456.536,1.823,1.167,1.071,1.148,1.338,2.164,8.711
256,E00023663,103.769,68.5,62.507,55.59,68.243,132.449,0.864,0.57,0.52,0.463,0.568,1.103,0.102,0.111,0.111,0.094,0.101,0.11,4.088,21.135,13.943,12.72,11.326,13.894,26.981,183.001,120.803,110.234,98.035,120.35,233.58,866.002,1.524,1.006,0.918,0.816,1.002,1.945,7.21
257,E00023572,437.819,263.753,226.61,251.127,293.045,485.501,2.48,1.494,1.284,1.423,1.66,2.751,0.292,0.291,0.274,0.29,0.295,0.274,11.092,22.358,13.469,11.576,12.829,14.966,24.802,772.113,465.14,399.637,442.874,516.798,856.202,3452.764,4.374,2.635,2.264,2.509,2.928,4.851,19.561
258,E00024129,1094.295,675.361,573.913,557.3,692.14,1415.886,3.109,1.919,1.631,1.583,1.966,4.023,0.366,0.373,0.348,0.323,0.349,0.401,14.231,21.847,13.485,11.461,11.124,13.815,28.269,1929.838,1191.029,1012.121,982.823,1220.619,2496.977,8833.407,5.483,3.384,2.875,2.792,3.468,7.094,25.096
259,E00023479,120.805,75.755,74.329,73.679,91.005,139.41,1.086,0.681,0.668,0.662,0.818,1.253,0.128,0.132,0.143,0.135,0.145,0.125,5.168,21.014,13.177,12.926,12.81,15.828,24.245,213.045,133.597,131.082,129.936,160.491,245.856,1014.008,1.915,1.201,1.178,1.168,1.443,2.21,9.114
260,E00023815,193.87,112.798,114.262,112.216,140.228,214.012,2.137,1.243,1.259,1.237,1.545,2.359,0.252,0.242,0.269,0.252,0.274,0.235,9.78,21.851,12.71,12.873,12.648,15.798,24.121,341.898,198.924,201.506,197.898,247.298,377.42,1564.944,3.768,2.192,2.221,2.181,2.725,4.159,17.247
261,E00023611,130.782,80.538,83.626,77.501,95.679,129.23,1.51,0.93,0.966,0.895,1.105,1.492,0.178,0.181,0.206,0.183,0.196,0.149,6.898,21.89,13.482,14.004,12.975,16.019,21.629,230.64,142.032,147.478,136.676,168.734,227.903,1053.464,2.663,1.64,1.703,1.578,1.948,2.632,12.165
262,E00023690,50.33,32.246,33.161,28.2,35.886,65.364,0.417,0.267,0.275,0.234,0.297,0.542,0.049,0.052,0.059,0.048,0.053,0.054,2.032,20.522,13.14,13.533,11.516,14.616,26.673,88.759,56.867,58.481,49.732,63.287,115.272,432.398,0.736,0.471,0.485,0.412,0.525,0.956,3.585
263,E00023894,73.596,56.003,37.882,43.989,44.39,100.868,0.701,0.534,0.361,0.419,0.423,0.961,0.083,0.104,0.077,0.085,0.075,0.096,3.399,20.624,15.711,10.621,12.327,12.445,28.273,129.79,98.764,66.807,77.577,78.284,177.885,629.106,1.237,0.941,0.637,0.739,0.746,1.695,5.995
264,E00023921,182.89,108.411,111.801,103.663,142.894,181.884,2.146,1.272,1.312,1.216,1.676,2.134,0.253,0.247,0.28,0.248,0.297,0.213,9.756,21.997,13.038,13.448,12.464,17.179,21.874,322.535,191.188,197.166,182.814,252.0,320.76,1466.463,3.784,2.243,2.313,2.145,2.956,3.763,17.205
265,E00024090,37.463,22.873,19.759,21.737,20.259,49.423,0.362,0.221,0.191,0.21,0.196,0.477,0.043,0.043,0.041,0.043,0.035,0.048,1.657,21.847,13.337,11.527,12.674,11.829,28.787,66.068,40.338,34.846,38.334,35.728,87.16,302.473,0.638,0.389,0.336,0.37,0.345,0.841,2.919
266,E00024093,72.168,39.741,33.013,47.834,40.909,85.681,0.734,0.404,0.336,0.486,0.416,0.871,0.086,0.079,0.072,0.099,0.074,0.087,3.247,22.605,12.442,10.348,14.968,12.812,26.825,127.271,70.085,58.22,84.357,72.145,151.102,563.181,1.294,0.713,0.592,0.858,0.734,1.537,5.727
267,E00023493,171.854,114.824,109.935,102.414,143.283,197.893,2.028,1.355,1.298,1.209,1.691,2.336,0.239,0.264,0.277,0.247,0.3,0.233,9.917,20.45,13.663,13.089,12.191,17.052,23.556,303.072,202.497,193.875,180.612,252.686,348.993,1481.735,3.577,2.39,2.288,2.132,2.982,4.119,17.489
268,E00024001,156.997,87.625,73.476,81.467,88.219,183.828,0.781,0.436,0.365,0.405,0.439,0.914,0.092,0.085,0.078,0.083,0.078,0.091,3.34,23.383,13.054,10.928,12.126,13.144,27.365,276.871,154.531,129.578,143.671,155.578,324.189,1184.417,1.377,0.768,0.644,0.714,0.774,1.612,5.889
269,E00023990,90.434,48.358,53.236,50.899,63.597,105.759,0.927,0.496,0.546,0.522,0.652,1.084,0.109,0.096,0.117,0.106,0.116,0.108,4.227,21.93,11.734,12.917,12.349,15.425,25.645,159.484,85.281,93.884,89.763,112.156,186.511,727.079,1.635,0.874,0.962,0.92,1.149,1.912,7.452
270,E00175251,62.787,36.942,32.932,36.422,38.906,81.177,0.714,0.42,0.374,0.414,0.442,0.923,0.084,0.082,0.08,0.084,0.078,0.092,3.287,21.722,12.778,11.378,12.595,13.447,28.08,110.728,65.149,58.077,64.232,68.612,143.159,509.957,1.259,0.741,0.66,0.73,0.78,1.628,5.798
271,E00023971,62.034,33.54,34.35,37.903,39.456,75.641,0.903,0.488,0.5,0.552,0.574,1.101,0.106,0.095,0.107,0.113,0.102,0.11,4.118,21.928,11.85,12.142,13.405,13.939,26.736,109.4,59.149,60.578,66.844,69.582,133.396,498.949,1.592,0.861,0.882,0.973,1.013,1.942,7.263
272,E00175229,119.904,66.334,65.73,56.998,86.331,133.348,0.923,0.511,0.506,0.439,0.665,1.027,0.109,0.099,0.108,0.09,0.118,0.102,4.071,22.673,12.552,12.429,10.784,16.335,25.227,211.456,116.983,115.918,100.518,152.249,235.165,932.289,1.628,0.901,0.892,0.774,1.172,1.81,7.177
273,E00023911,33.929,19.732,21.611,23.028,26.64,32.551,0.428,0.249,0.273,0.29,0.336,0.41,0.05,0.048,0.058,0.059,0.06,0.041,1.986,21.551,12.538,13.746,14.602,16.918,20.645,59.835,34.798,38.112,40.611,46.981,57.405,277.742,0.755,0.439,0.481,0.512,0.592,0.724,3.503
274,E00023737,176.808,109.835,101.519,99.48,136.028,211.463,2.15,1.335,1.234,1.21,1.654,2.571,0.253,0.26,0.264,0.247,0.293,0.256,10.154,21.174,13.148,12.153,11.916,16.289,25.32,311.809,193.699,179.033,175.437,239.891,372.924,1472.794,3.791,2.355,2.177,2.133,2.917,4.534,17.907
275,E00175276,96.54,52.255,47.025,63.864,56.953,107.999,0.833,0.451,0.406,0.551,0.491,0.932,0.098,0.088,0.087,0.112,0.087,0.093,3.664,22.735,12.309,11.081,15.038,13.401,25.437,170.253,92.154,82.931,112.627,100.439,190.461,748.864,1.469,0.795,0.715,0.972,0.866,1.643,6.46
276,E00023644,283.91,165.03,174.321,157.906,202.269,313.039,2.632,1.53,1.616,1.464,1.875,2.902,0.31,0.298,0.345,0.299,0.333,0.289,12.019,21.899,12.73,13.445,12.181,15.6,24.145,500.688,291.038,307.423,278.474,356.71,552.058,2286.391,4.642,2.698,2.85,2.582,3.307,5.118,21.197
