,OA,worker_units,student_units,tourist_units,shopper_units,leisurer_units,chorer_units,worker_value,student_value,tourist_value,shopper_value,leisurer_value,chorer_value,total_value
73,E00175269,127.621,83.615,60.822,76.476,70.953,150.518,225.065,147.459,107.262,134.869,125.129,265.445,1005.229
74,E00023595,113.551,66.059,59.976,65.803,67.298,119.188,200.252,116.498,105.77,116.046,118.683,210.193,867.443
75,E00024037,59.379,39.445,35.495,32.429,44.839,79.011,104.717,69.563,62.597,57.19,79.076,139.339,512.482
76,E00023874,29.987,23.837,17.212,18.764,17.203,38.325,52.883,42.038,30.354,33.091,30.338,67.588,256.292
77,E00023621,111.545,53.666,60.274,57.87,78.79,128.128,196.715,94.642,106.296,102.056,138.95,225.959,864.618
78,E00023948,232.129,130.13,137.017,119.872,169.808,269.28,409.37,229.49,241.636,211.4,299.464,474.887,1866.246
79,E00023715,86.586,52.832,52.336,58.48,68.889,98.079,152.698,93.172,92.297,103.132,121.489,172.967,735.754
80,E00023646,206.181,114.434,125.534,137.21,143.683,254.974,363.609,201.809,221.385,241.976,253.391,449.658,1731.829
81,E00024095,70.226,39.422,32.888,45.652,38.911,85.368,123.847,69.522,57.999,80.509,68.621,150.55,551.049
82,E00024074,74.518,48.299,37.966,40.706,38.449,82.24,131.416,85.177,66.955,71.787,67.807,145.034,568.175
83,E00023487,197.682,128.345,111.607,118.773,143.421,232.132,348.621,226.342,196.824,209.461,252.929,409.375,1643.553
84,E00023566,178.349,108.463,99.522,104.537,132.409,190.751,314.526,191.279,175.511,184.356,233.509,336.398,1435.58
85,E00023986,117.034,69.547,62.625,62.652,77.529,138.282,206.395,122.649,110.442,110.49,136.726,243.866,930.568
86,E00023495,142.816,92.418,82.68,87.584,95.992,189.389,251.862,162.983,145.81,154.458,169.286,333.996,1218.396
87,E00023929,849.961,444.466,502.98,436.365,644.299,872.886,1498.944,783.835,887.027,769.549,1136.25,1539.373,6614.978
88,E00023886,100.783,71.951,52.104,61.288,59.132,132.703,177.735,126.889,91.888,108.084,104.282,234.028,842.905
89,E00175204,46.766,33.165,22.928,31.738,24.023,57.305,82.474,58.488,40.435,55.971,42.366,101.06,380.793
90,E00175251,62.787,36.942,32.932,36.422,38.906,81.177,110.728,65.149,58.077,64.232,68.612,143.159,509.957
91,E00023720,195.25,111.063,107.407,119.196,134.949,218.292,344.332,195.865,189.417,210.207,237.989,384.968,1562.777
92,E00023954,106.896,62.548,59.825,59.367,72.959,130.336,188.516,110.306,105.504,104.696,128.666,229.853,867.542
93,E00023433,26.885,17.495,16.238,12.846,17.978,35.706,47.413,30.853,28.636,22.654,31.705,62.969,224.231
94,E00024094,46.327,27.009,25.638,28.357,28.48,55.668,81.7,47.632,45.214,50.009,50.226,98.173,372.953
95,E00023978,19.474,10.196,8.592,10.244,8.793,26.37,34.343,17.981,15.152,18.066,15.507,46.505,147.554
96,E00023478,124.183,81.965,64.791,69.59,77.318,152.535,219.002,144.549,114.262,122.725,136.354,269.002,1005.894
97,E00175215,202.69,126.583,127.077,151.793,148.434,253.959,357.453,223.235,224.106,267.694,261.77,447.868,1782.125
98,E00023416,55.047,49.748,30.033,51.676,38.291,67.105,97.078,87.733,52.965,91.133,67.528,118.343,514.779
99,E00023788,29.529,15.888,18.62,22.517,17.123,36.461,52.076,28.019,32.837,39.71,30.197,64.301,247.14
100,E00023839,812.747,472.356,434.659,445.239,528.208,987.936,1433.315,833.021,766.54,785.199,931.518,1742.269,6491.862
101,E00023590,86.726,56.319,43.359,52.89,50.401,97.582,152.945,99.321,76.466,93.274,88.884,172.09,682.98
102,E00175212,296.746,155.509,169.181,147.866,219.206,326.78,523.325,274.247,298.358,260.768,386.579,576.291,2319.568
103,E00023893,185.073,132.967,101.534,119.727,118.389,219.899,326.384,234.493,179.06,211.144,208.784,387.802,1547.667
104,E00175278,55.359,36.919,32.576,41.32,45.85,67.379,97.628,65.108,57.449,72.87,80.858,118.826,492.74
105,E00175257,89.302,43.825,43.575,46.38,59.715,98.653,157.488,77.287,76.846,81.793,105.31,173.979,672.704
106,E00023746,136.944,83.91,70.314,82.382,86.266,132.755,241.507,147.979,124.002,145.284,152.134,234.119,1045.025
107,E00023734,126.003,73.047,67.991,74.681,90.877,150.181,222.212,128.822,119.905,131.703,160.266,264.851,1027.758
108,E00175203,37.75,21.489,16.877,18.062,17.644,38.447,66.574,37.897,29.763,31.853,31.116,67.803,265.006
109,E00023447,86.663,53.595,49.261,57.586,52.193,103.332,152.834,94.517,86.874,101.555,92.045,182.231,710.056
110,E00023872,65.462,42.783,33.984,36.555,38.14,70.35,115.445,75.45,59.932,64.466,67.262,124.065,506.62
111,E00175242,76.255,61.462,41.139,66.983,50.915,94.28,134.479,108.391,72.55,118.127,89.791,166.267,689.606
112,E00024019,66.044,39.18,30.561,36.034,40.928,76.417,116.472,69.096,53.896,63.548,72.178,134.765,509.953
113,E00024060,103.332,62.564,54.589,61.371,66.484,131.449,182.231,110.334,96.27,108.23,117.247,231.816,846.129
114,E00023744,62.22,40.471,36.409,34.759,38.152,80.321,109.728,71.372,64.209,61.299,67.283,141.65,515.54
115,E00023803,42.69,26.352,25.22,28.978,25.844,49.099,75.286,46.473,44.477,51.104,45.577,86.588,349.504
116,E00024090,37.463,22.873,19.759,21.737,20.259,49.423,66.068,40.338,34.846,38.334,35.728,87.16,302.473
117,E00024040,63.439,45.666,39.069,49.525,47.305,79.512,111.877,80.534,68.9,87.34,83.424,140.223,572.298
118,E00175233,91.562,56.951,46.462,58.024,54.586,104.131,161.474,100.436,81.938,102.328,96.265,183.64,726.079
119,E00023968,69.117,42.147,38.646,41.16,45.519,97.549,121.891,74.328,68.154,72.587,80.275,172.032,589.267
120,E00023784,48.463,31.491,22.719,35.279,30.345,55.812,85.467,55.536,40.066,62.216,53.515,98.427,395.226
121,E00023741,69.73,47.087,41.901,42.2,50.926,85.699,122.972,83.04,73.894,74.422,89.81,151.134,595.272
122,E00023761,21.522,14.135,10.601,11.643,12.412,27.154,37.955,24.928,18.695,20.533,21.889,47.887,171.887
123,E00023977,23.719,11.863,9.714,8.903,7.453,21.507,41.83,20.921,17.131,15.701,13.144,37.929,146.655
124,E00023636,119.405,70.096,65.37,70.382,84.277,141.821,210.576,123.617,115.283,124.122,148.626,250.108,972.332
125,E00175245,38.14,27.249,20.04,19.513,21.559,44.749,67.262,48.055,35.341,34.412,38.02,78.917,302.007
126,E00024138,632.291,326.65,368.661,320.02,469.189,636.872,1115.073,576.062,650.15,564.369,827.436,1123.152,4856.241
127,E00024020,60.764,29.982,27.681,33.753,34.814,65.267,107.16,52.875,48.817,59.525,61.396,115.101,444.873
128,E00024078,31.082,23.128,19.431,16.71,19.97,36.163,54.814,40.787,34.267,29.469,35.218,63.775,258.331
129,E00023837,375.516,324.123,178.04,233.445,198.011,554.615,662.239,571.605,313.981,411.691,349.201,978.088,3286.805
130,E00175217,45.166,36.025,25.072,34.759,26.832,54.429,79.652,63.532,44.216,61.299,47.319,95.988,392.006
131,E00023967,96.996,58.137,55.143,53.989,65.622,128.218,171.057,102.527,97.247,95.212,115.727,226.118,807.888
132,E00023569,160.665,100.707,80.492,95.676,98.091,191.915,283.34,177.601,141.951,168.729,172.988,338.451,1283.059
133,E00023497,245.954,149.6,141.435,132.182,171.272,276.793,433.751,263.826,249.427,233.109,302.046,488.137,1970.295
134,E00024110,445.047,217.264,217.397,207.058,262.358,531.237,784.86,383.155,383.389,365.156,462.68,936.86,3316.1
135,E00023835,334.207,206.551,192.816,196.261,222.12,402.539,589.389,364.262,340.04,346.115,391.718,709.895,2741.419
136,E00024121,234.58,136.293,128.965,126.06,166.035,293.641,413.692,240.359,227.435,222.312,292.81,517.849,1914.458
137,E00023946,417.378,218.353,239.956,203.971,312.407,474.395,736.065,385.075,423.173,359.712,550.944,836.617,3291.585
138,E00023572,437.819,263.753,226.61,251.127,293.045,485.501,772.113,465.14,399.637,442.874,516.798,856.202,3452.764
139,E00023807,40.454,24.309,18.225,29.634,24.198,46.326,71.342,42.87,32.141,52.261,42.674,81.698,322.986
140,E00023532,109.063,65.282,59.24,58.083,75.108,117.224,192.337,115.128,104.472,102.432,132.456,206.73,853.555
141,E00175237,94.869,56.69,47.349,53.207,59.297,102.982,167.306,99.975,83.502,93.833,104.573,181.613,730.802
142,E00024052,191.923,112.581,105.133,108.813,126.555,229.325,338.465,198.542,185.407,191.897,223.185,404.425,1541.92
143,E00024001,156.997,87.625,73.476,81.467,88.219,183.828,276.871,154.531,129.578,143.671,155.578,324.189,1184.417
144,E00023751,51.384,28.881,34.397,32.752,37.831,55.555,90.618,50.933,60.661,57.76,66.717,97.974,424.661
145,E00023578,149.547,93.232,77.18,85.176,103.878,167.167,263.733,164.419,136.11,150.212,183.193,294.806,1192.473
146,E00023861,134.792,77.261,66.895,71.9,70.955,156.107,237.712,136.253,117.972,126.799,125.132,275.302,1019.17
147,E00023830,233.531,133.506,138.544,129.563,165.526,287.954,411.842,235.444,244.328,228.49,291.912,507.82,1919.836
148,E00023759,97.677,60.896,54.107,51.968,57.974,94.897,172.258,107.393,95.42,91.648,102.24,167.355,736.313
149,E00023785,56.786,34.595,27.086,34.441,35.116,68.933,100.145,61.01,47.767,60.738,61.929,121.566,453.155
150,E00024109,396.35,222.194,208.353,210.918,270.15,476.236,698.981,391.849,367.44,371.963,476.421,839.863,3146.517
151,E00023664,204.953,133.724,110.787,103.657,116.27,248.164,361.444,235.828,195.378,182.804,205.047,437.648,1618.149
152,E00024106,26.986,14.706,12.223,13.602,12.879,28.27,47.591,25.935,21.556,23.988,22.713,49.855,191.637
153,E00024026,64.562,35.813,31.528,39.461,38.017,83.298,113.858,63.158,55.601,69.591,67.045,146.9,516.152
154,E00024089,149.02,81.618,69.528,87.267,82.916,170.59,262.803,143.937,122.616,153.899,146.226,300.843,1130.324
155,E00024085,89.552,59.268,51.035,44.445,51.044,120.088,157.929,104.522,90.002,78.381,90.018,211.78,732.633
156,E00023521,193.205,111.265,113.666,106.382,139.183,203.903,340.726,196.221,200.455,187.609,245.455,359.592,1530.058
157,E00024105,102.566,60.399,64.931,50.054,81.754,106.938,180.88,106.516,114.509,88.272,144.177,188.59,822.944
158,E00023467,97.43,59.099,59.884,54.149,64.03,104.078,171.822,104.224,105.608,95.494,112.92,183.546,773.614
159,E00024137,414.734,227.579,226.73,238.598,286.727,493.218,731.402,401.346,399.848,420.778,505.656,869.812,3328.841
160,E00023796,61.897,36.544,37.444,34.74,38.595,76.148,109.158,64.447,66.034,61.266,68.064,134.29,503.259
161,E00023432,20.616,11.095,10.349,10.292,14.203,28.349,36.357,19.567,18.251,18.15,25.048,49.995,167.367
162,E00023550,25.937,14.577,15.472,14.117,13.574,30.903,45.741,25.707,27.286,24.896,23.938,54.499,202.067
163,E00024124,555.067,405.362,285.31,295.596,345.799,769.467,978.885,714.874,503.157,521.297,609.832,1356.989,4685.033
164,E00023542,58.587,36.888,30.27,34.783,37.092,83.399,103.321,65.054,53.382,61.341,65.413,147.078,495.589
165,E00023696,125.292,73.248,64.415,70.297,82.399,158.797,220.958,129.176,113.599,123.972,145.314,280.046,1013.064
166,E00023903,49.334,36.332,27.816,46.409,28.355,56.586,87.003,64.073,49.055,81.844,50.005,99.792,431.772
167,E00023689,182.099,95.193,96.761,84.392,126.964,224.176,321.14,167.877,170.642,148.829,223.907,395.344,1427.739
168,E00023494,328.434,193.577,201.41,190.495,252.359,365.347,579.208,341.382,355.195,335.946,445.046,644.306,2701.083
169,E00175261,35.298,18.619,16.966,23.083,14.14,40.82,62.25,32.835,29.92,40.708,24.937,71.988,262.638
170,E00175180,231.283,141.415,153.896,137.072,174.379,271.931,407.878,249.392,271.402,241.733,307.525,479.562,1957.492
171,E00024034,102.103,57.211,50.838,55.948,55.946,129.734,180.063,100.894,89.655,98.667,98.663,228.792,796.734
172,E00024009,47.52,26.853,22.119,25.345,27.134,57.738,83.804,47.356,39.008,44.697,47.852,101.824,364.54
173,E00023540,94.776,58.01,54.171,61.72,64.94,126.515,167.142,102.303,95.533,108.846,114.525,223.115,811.463
174,E00023634,89.545,49.271,56.122,53.421,48.082,103.662,157.917,86.892,98.974,94.21,84.795,182.813,705.599
175,E00024084,79.652,59.83,40.284,43.167,48.733,107.369,140.47,105.513,71.043,76.127,85.943,189.35,668.445
176,E00023942,366.335,198.058,206.716,173.001,260.563,420.605,646.048,349.284,364.553,305.095,459.514,741.755,2866.249
177,E00023558,137.301,77.125,86.215,72.548,112.657,153.126,242.136,136.013,152.044,127.942,198.676,270.044,1126.855
178,E00023488,181.713,112.118,104.499,105.347,122.368,231.743,320.459,197.725,184.289,185.784,215.801,408.689,1512.747
179,E00024073,78.012,49.225,37.685,43.371,43.424,86.782,137.578,86.81,66.459,76.487,76.58,153.044,596.958
180,E00024080,130.889,81.733,63.677,83.55,71.512,144.617,230.829,144.14,112.297,147.344,126.115,255.038,1015.763
181,E00023551,57.457,32.323,37.764,37.203,41.253,67.294,101.328,57.003,66.598,65.609,72.751,118.676,481.966
182,E00024122,148.795,86.124,79.268,75.185,95.843,192.64,262.407,151.883,139.793,132.592,169.023,339.729,1195.427
183,E00023920,207.911,126.637,129.366,117.199,160.26,214.02,366.66,223.33,228.143,206.686,282.626,377.434,1684.878
184,E00023547,56.276,31.519,35.029,38.45,37.403,68.652,99.245,55.585,61.775,67.808,65.962,121.071,471.446
185,E00023971,62.034,33.54,34.35,37.903,39.456,75.641,109.4,59.149,60.578,66.844,69.582,133.396,498.949
186,E00024071,60.572,46.982,33.508,48.76,44.599,81.137,106.821,82.855,59.093,85.99,78.652,143.089,556.5
187,E00023726,69.238,40.479,33.189,37.756,40.759,83.686,122.104,71.387,58.53,66.584,71.88,147.584,538.07
188,E00024129,1094.295,675.361,573.913,557.3,692.14,1415.886,1929.838,1191.029,1012.121,982.823,1220.619,2496.977,8833.407
189,E00023721,166.5,104.808,96.609,106.071,115.526,201.72,293.63,184.834,170.374,187.061,203.735,355.742,1395.376
190,E00023758,80.047,57.465,50.555,39.734,54.964,89.853,141.166,101.342,89.156,70.073,96.931,158.46,657.128
191,E00023797,29.775,18.908,15.658,20.286,16.857,35.599,52.51,33.345,27.614,35.775,29.728,62.78,241.752
192,E00024066,65.431,36.585,33.031,34.19,39.225,88.695,115.39,64.519,58.252,60.296,69.175,156.418,524.049
193,E00175208,145.334,75.583,79.744,84.049,100.56,166.293,256.303,133.294,140.632,148.224,177.342,293.265,1149.06
194,E00023650,90.248,51.388,51.327,70.428,61.106,121.589,159.156,90.625,90.517,124.203,107.763,214.428,786.692
195,E00023739,93.113,63.652,53.226,56.015,58.652,124.838,164.209,112.253,93.866,98.785,103.435,220.157,792.706
196,E00023511,56.623,41.182,34.903,34.255,41.71,80.006,99.857,72.626,61.553,60.41,73.557,141.094,509.098
197,E00023765,44.475,29.032,27.371,27.08,33.833,43.668,78.434,51.199,48.27,47.757,59.666,77.01,362.336
198,E00023911,33.929,19.732,21.611,23.028,26.64,32.551,59.835,34.798,38.112,40.611,46.981,57.405,277.742
199,E00023512,92.295,59.743,51.607,54.925,58.204,117.856,162.766,105.359,91.011,96.863,102.645,207.844,766.489
200,E00175206,1728.361,1032.563,987.375,1036.213,1236.837,2002.937,3048.041,1820.97,1741.279,1827.407,2181.217,3532.268,14151.182
201,E00023768,20.156,10.433,10.763,7.944,13.991,25.388,35.546,18.399,18.981,14.01,24.674,44.773,156.382
202,E00175200,81.499,44.693,36.585,52.829,44.196,93.259,143.727,78.818,64.519,93.166,77.942,164.466,622.639
203,E00023662,218.883,133.737,124.258,121.118,153.661,275.442,386.01,235.851,219.134,213.597,270.988,485.754,1811.334
204,E00023637,84.568,46.479,47.908,50.025,61.593,109.006,149.139,81.968,84.488,88.221,108.622,192.237,704.675
205,E00024077,65.751,44.759,33.281,35.99,38.118,81.058,115.955,78.934,58.693,63.47,67.223,142.949,527.224
206,E00023981,44.313,25.51,19.107,20.173,19.207,42.166,78.148,44.988,33.696,35.576,33.872,74.362,300.642
207,E00023533,54.117,41.953,30.555,40.526,34.586,64.979,95.438,73.986,53.885,71.469,60.994,114.593,470.365
208,E00023678,48.059,31.292,24.593,31.725,31.335,56.906,84.754,55.185,43.371,55.948,55.261,100.356,394.875
209,E00175190,1000.515,529.547,522.353,496.973,626.51,1212.487,1764.452,933.88,921.193,876.434,1104.878,2138.274,7739.111
210,E00023906,14.643,9.225,5.654,7.901,7.82,15.17,25.824,16.269,9.971,13.934,13.791,26.753,106.541
211,E00024125,221.903,115.351,122.094,106.922,144.795,266.682,391.336,203.427,215.318,188.562,255.352,470.305,1724.3
212,E00175230,40.343,31.868,22.717,32.631,23.89,50.844,71.147,56.201,40.062,57.546,42.131,89.666,356.753
213,E00023647,198.916,113.93,124.581,139.066,135.788,244.735,350.797,200.921,219.704,245.249,239.468,431.601,1687.74
214,E00024087,42.491,29.622,22.805,24.825,23.273,53.872,74.935,52.24,40.218,43.78,41.043,95.006,347.221
215,E00023451,44.556,24.377,27.632,22.08,28.799,55.68,78.576,42.99,48.73,38.939,50.788,98.194,358.218
216,E00023711,153.642,87.507,86.493,94.599,108.959,173.933,270.954,154.322,152.534,166.83,192.154,306.739,1243.533
217,E00023883,53.199,40.568,33.659,56.776,32.033,60.117,93.819,71.543,59.359,100.127,56.492,106.019,487.359
218,E00023462,49.47,27.677,28.029,29.542,37.393,54.602,87.243,48.81,49.43,52.099,65.944,96.293,399.818
219,E00023544,66.208,37.09,43.191,45.173,46.717,89.979,116.761,65.41,76.169,79.665,82.387,158.682,579.074
220,E00023539,45.605,27.81,23.786,30.463,28.442,54.537,80.426,49.044,41.948,53.723,50.159,96.178,371.478
221,E00023656,150.037,76.971,88.645,81.414,86.386,150.992,264.597,135.742,156.329,143.577,152.346,266.281,1118.872
222,E00023713,70.242,37.164,31.971,34.827,39.072,84.922,123.875,65.54,56.382,61.419,68.905,149.764,525.885
223,E00023461,41.05,25.511,22.195,20.188,25.565,48.19,72.393,44.99,39.142,35.602,45.085,84.985,322.198
224,E00023825,234.734,182.838,118.749,173.738,132.754,307.732,413.964,322.443,209.419,306.395,234.118,542.699,2029.037
225,E00023710,95.595,56.276,56.094,59.798,71.965,111.815,168.586,99.245,98.924,105.456,126.913,197.191,796.316
226,E00023927,309.886,170.934,169.458,159.901,209.409,355.26,546.498,301.45,298.847,281.992,369.302,626.517,2424.605
227,E00023709,42.119,26.182,17.223,27.797,23.314,41.707,74.279,46.173,30.374,49.021,41.115,73.552,314.514
228,E00024055,156.177,93.189,86.947,90.821,107.05,201.249,275.425,164.343,153.335,160.167,188.787,354.911,1296.969
229,E00023602,50.568,32.539,21.997,29.919,26.835,57.437,89.179,57.384,38.793,52.763,47.325,101.293,386.736
230,E00023655,89.646,44.778,40.794,40.729,51.285,103.51,158.095,78.968,71.942,71.827,90.443,182.544,653.82
231,E00024032,240.426,141.584,163.799,133.791,201.628,271.144,424.002,249.69,288.867,235.946,355.58,478.174,2032.259
232,E00023418,167.83,127.372,92.112,129.13,113.208,192.578,295.976,224.626,162.444,227.726,199.647,339.62,1450.039
233,E00175226,272.764,134.88,143.475,133.397,179.118,301.758,481.031,237.867,253.024,235.251,315.882,532.164,2055.22
234,E00023992,92.291,52.187,50.132,46.526,59.856,113.048,162.759,92.034,88.41,82.051,105.559,199.365,730.178
235,E00023974,56.47,30.536,28.387,27.6,30.576,62.258,99.587,53.852,50.062,48.674,53.922,109.795,415.891
236,E00023643,96.848,49.091,53.445,47.345,71.658,113.134,170.796,86.574,94.253,83.495,126.372,199.517,761.006
237,E00023877,150.059,86.908,78.513,76.611,81.649,149.686,264.636,153.266,138.461,135.107,143.992,263.978,1099.439
238,E00023905,47.525,31.415,26.168,29.071,34.507,44.925,83.812,55.402,46.148,51.268,60.855,79.227,376.712
239,E00175254,72.429,34.568,38.435,37.364,46.742,84.111,127.732,60.962,67.782,65.893,82.432,148.333,553.134
240,E00023579,126.726,69.067,70.057,73.096,96.786,127.121,223.487,121.803,123.549,128.908,170.686,224.183,992.616
241,E00023996,82.622,47.893,47.767,46.107,59.327,97.225,145.708,84.461,84.239,81.312,104.626,171.461,671.806
242,E00024059,169.051,101.462,89.64,101.364,108.41,215.975,298.129,178.933,158.084,178.76,191.186,380.881,1385.973
243,E00023848,281.345,256.761,140.181,195.138,153.013,403.402,496.164,452.809,247.215,344.134,269.845,711.417,2521.586
244,E00023438,45.035,29.605,26.277,26.652,30.769,56.525,79.421,52.21,46.341,47.002,54.262,99.684,378.92
245,E00024021,31.649,15.078,11.372,16.014,14.194,40.101,55.814,26.591,20.055,28.241,25.032,70.72,226.453
246,E00024043,74.835,49.039,44.269,48.591,52.64,87.632,131.975,86.482,78.07,85.692,92.833,154.543,629.596
247,E00023442,156.09,107.338,85.599,113.245,103.505,196.46,275.272,189.295,150.958,199.713,182.536,346.466,1344.239
248,E00023912,45.258,25.346,15.957,25.94,20.015,43.055,79.814,44.699,28.141,45.746,35.297,75.929,309.627
249,E00175263,33.942,20.325,16.576,26.289,17.09,35.856,59.858,35.844,29.233,46.362,30.139,63.234,264.669
250,E00175223,45.823,35.147,25.502,35.121,32.666,58.505,80.811,61.983,44.974,61.937,57.608,103.176,410.49
251,E00023694,80.2,46.363,39.98,43.077,49.576,101.186,141.436,81.763,70.506,75.968,87.429,178.446,635.55
252,E00023541,44.92,36.715,25.163,33.441,29.709,55.664,79.218,64.749,44.376,58.975,52.393,98.166,397.877
253,E00023812,148.139,108.802,79.598,101.178,93.373,175.072,261.25,191.877,140.375,178.432,164.667,308.747,1245.348
254,E00023860,61.145,34.672,24.658,28.581,26.388,65.742,107.832,61.146,43.485,50.404,46.536,115.939,425.342
255,E00023723,193.673,114.601,114.061,120.519,142.112,223.694,341.551,202.104,201.152,212.541,250.621,394.494,1602.462
256,E00023998,69.405,43.145,41.573,42.119,52.602,90.262,122.399,76.088,73.316,74.279,92.766,159.181,598.028
257,E00023545,65.861,42.876,37.825,45.655,48.01,81.543,116.149,75.614,66.706,80.515,84.668,143.805,567.456
258,E00023869,75.344,50.959,37.996,51.569,43.315,91.46,132.872,89.868,67.008,90.944,76.388,161.294,618.374
259,E00023519,184.638,114.94,108.556,109.618,129.797,219.709,325.617,202.702,191.443,193.316,228.903,387.467,1529.448
260,E00023600,71.184,41.344,31.291,36.086,37.126,75.897,125.536,72.912,55.183,63.639,65.473,133.848,516.591
261,E00175225,74.02,46.035,35.31,39.066,39.523,89.69,130.538,81.185,62.271,68.895,69.701,158.172,570.76
262,E00023559,183.203,114.218,96.007,100.299,108.256,212.062,323.087,201.428,169.313,176.882,190.914,373.981,1435.604
263,E00023908,19.403,13.063,7.724,11.017,10.466,18.567,34.218,23.037,13.622,19.429,18.457,32.744,141.507
264,E00024054,556.096,298.326,336.285,290.339,426.213,655.502,980.7,526.111,593.053,512.026,751.645,1156.007,4519.542
265,E00023919,825.811,446.315,391.619,404.599,428.622,793.249,1456.354,787.096,690.637,713.528,755.894,1398.93,5802.439
266,E00023836,257.135,149.085,150.858,149.375,180.014,317.761,453.469,262.918,266.045,263.429,317.463,560.386,2123.709
267,E00023916,52.902,35.967,31.928,30.773,39.465,73.91,93.295,63.429,56.306,54.27,69.598,130.344,467.242
268,E00024005,339.909,192.061,191.466,187.668,234.772,389.162,599.445,338.708,337.659,330.961,414.031,686.304,2707.107
269,E00023454,66.128,32.962,30.922,36.179,43.844,75.042,116.62,58.13,54.532,63.803,77.321,132.34,502.746
270,E00175246,42.323,26.867,27.184,25.394,33.413,55.222,74.638,47.381,47.94,44.783,58.925,97.386,371.055
271,E00023991,73.49,40.226,42.016,37.325,51.65,87.239,129.603,70.94,74.097,65.824,91.087,153.85,585.401
272,E00024069,50.088,28.22,24.323,25.948,30.516,63.82,88.332,49.767,42.895,45.76,53.816,112.549,393.12
273,E00023641,65.91,38.439,36.224,37.787,51.759,70.631,116.235,67.789,63.883,66.639,91.279,124.561,530.386
274,E00024099,31.974,19.679,12.611,19.619,16.08,40.771,56.388,34.705,22.24,34.599,28.358,71.901,248.191
275,E00023937,1021.028,522.461,561.004,507.674,704.805,1122.064,1800.628,921.383,989.355,895.306,1242.955,1978.809,7828.436
276,E00024006,202.68,124.39,126.905,114.566,151.447,244.29,357.435,219.367,223.803,202.042,267.083,430.816,1700.547
277,E00023603,75.25,42.485,33.624,38.417,39.242,78.665,132.707,74.924,59.297,67.75,69.205,138.729,542.613
278,E00023820,176.644,110.747,91.308,92.319,113.119,239.002,311.519,195.307,161.026,162.809,199.49,421.491,1451.642
279,E00023813,253.004,162.468,149.389,161.527,175.678,285.48,446.184,286.519,263.454,284.86,309.816,503.457,2094.29
280,E00023794,37.285,21.139,22.996,26.97,28.505,44.457,65.754,37.28,40.554,47.563,50.27,78.402,319.822
281,E00023844,575.277,381.284,289.755,305.012,351.453,753.873,1014.526,672.411,510.996,537.902,619.803,1329.488,4685.127
282,E00023520,190.031,115.416,114.042,104.177,134.001,209.555,335.128,203.541,201.118,183.721,236.317,369.559,1529.384
283,E00023922,281.965,84.974,76.606,54.356,79.337,146.965,497.258,149.855,135.098,95.859,139.914,259.179,1277.164
284,E00024024,172.201,86.399,108.926,83.879,137.712,189.489,303.684,152.368,192.096,147.924,242.861,334.172,1373.106
285,E00175222,78.591,45.841,43.526,43.808,52.756,106.327,138.599,80.843,76.76,77.257,93.038,187.512,654.009
286,E00175277,41.753,20.356,16.373,20.955,19.306,48.809,73.633,35.899,28.875,36.955,34.047,86.077,295.485
287,E00023464,116.779,74.873,70.532,67.23,74.31,137.165,205.945,132.042,124.386,118.563,131.049,241.897,953.882
288,E00175201,71.32,39.303,31.321,51.72,38.514,82.146,125.776,69.313,55.236,91.211,67.921,144.868,554.324
289,E00023806,106.953,61.213,57.415,71.165,62.777,128.497,188.616,107.952,101.254,125.503,110.71,226.61,860.645
290,E00024100,79.961,45.85,41.993,56.13,51.641,95.762,141.015,80.858,74.057,98.988,91.071,168.881,654.869
291,E00023897,24.16,14.547,10.61,12.785,14.016,25.462,42.607,25.654,18.711,22.547,24.718,44.903,179.141
292,E00023635,114.811,63.073,58.26,63.637,73.618,144.437,202.474,111.232,102.744,112.227,129.829,254.721,913.227
293,E00023857,30.363,13.521,15.031,13.574,12.781,35.404,53.546,23.845,26.508,23.938,22.54,62.437,212.814
294,E00023719,101.674,59.14,50.329,56.607,61.368,129.261,179.307,104.296,88.757,99.829,108.225,227.957,808.372
295,E00023515,162.05,96.355,87.114,94.286,106.81,192.542,285.782,169.926,153.629,166.278,188.364,339.556,1303.536
296,E00023815,193.87,112.798,114.262,112.216,140.228,214.012,341.898,198.924,201.506,197.898,247.298,377.42,1564.944
297,E00175275,85.996,46.798,37.254,50.347,43.848,91.968,151.658,82.53,65.699,88.789,77.328,162.19,628.194
298,E00023666,260.769,168.821,136.879,138.218,145.358,316.162,459.878,297.723,241.392,243.754,256.345,557.566,2056.658
299,E00023864,101.615,53.315,54.06,52.111,58.189,119.515,179.203,94.023,95.337,91.9,102.619,210.77,773.852
300,E00175271,80.005,52.079,36.756,50.01,42.072,97.61,141.092,91.844,64.821,88.195,74.196,172.14,632.287
301,E00023914,102.404,67.416,42.177,60.747,52.163,103.161,180.594,118.891,74.381,107.13,91.992,181.929,754.917
