,OA,worker_units,student_units,tourist_units,shopper_units,leisurer_units,chorer_units,worker_value,student_value,tourist_value,shopper_value,leisurer_value,chorer_value,total_value
718,E00023616,89.426,55.272,43.191,57.468,44.957,102.651,157.707,97.475,76.169,101.347,79.284,181.03,693.011
719,E00023695,90.501,54.115,48.291,50.503,59.298,114.738,159.603,95.434,85.163,89.064,104.575,202.346,736.184
720,E00023682,84.909,54.344,57.181,45.441,67.17,103.228,149.741,95.838,100.841,80.137,118.457,182.047,727.062
721,E00023676,98.951,54.282,55.557,61.265,71.486,115.735,174.504,95.729,97.977,108.044,126.069,204.104,806.426
722,E00023809,35.227,17.981,22.458,19.81,23.777,40.208,62.124,31.71,39.606,34.936,41.932,70.909,281.217
723,E00175244,59.795,36.031,38.57,39.895,45.757,59.179,105.451,63.542,68.02,70.357,80.694,104.365,492.429
724,E00023610,97.905,52.473,43.96,53.04,50.637,98.908,172.66,92.538,77.525,93.538,89.301,174.429,699.991
725,E00023469,126.28,82.937,74.469,77.968,95.067,153.495,222.7,146.263,131.329,137.5,167.655,270.695,1076.143
726,E00023722,32.218,18.657,14.231,20.529,16.626,32.992,56.818,32.902,25.097,36.204,29.321,58.183,238.525
727,E00023770,30.278,14.225,19.041,17.578,22.058,29.153,53.397,25.086,33.58,31.0,38.9,51.413,233.375
728,E00024134,479.919,229.027,247.525,219.295,296.123,508.741,846.358,403.899,436.521,386.736,522.226,897.187,3492.928
729,E00023663,103.769,68.5,62.507,55.59,68.243,132.449,183.001,120.803,110.234,98.035,120.35,233.58,866.002
730,E00175219,155.285,94.963,73.331,93.142,103.962,169.413,273.852,167.471,129.322,164.26,183.342,298.767,1217.015
731,E00023651,201.908,118.811,120.639,121.82,132.331,215.074,356.074,209.528,212.752,214.835,233.372,379.292,1605.853
732,E00023740,207.93,132.393,124.773,124.686,161.533,238.204,366.694,233.481,220.043,219.889,284.871,420.083,1745.06
733,E00023947,243.679,130.598,136.392,123.142,174.167,274.439,429.739,230.315,240.533,217.166,307.151,483.985,1908.89
734,E00023468,88.353,55.588,49.383,47.946,58.853,110.287,155.814,98.032,87.089,84.555,103.79,194.496,723.776
735,E00023847,84.476,75.64,38.764,58.526,44.322,112.443,148.977,133.394,68.362,103.213,78.164,198.298,730.409
736,E00023904,35.313,21.883,21.062,31.73,25.128,42.048,62.276,38.592,37.144,55.957,44.314,74.154,312.437
737,E00023910,31.837,19.121,11.01,19.533,14.009,31.154,56.146,33.721,19.417,34.447,24.705,54.941,223.378
738,E00023895,20.891,9.098,11.102,10.167,14.609,22.661,36.842,16.045,19.579,17.93,25.764,39.964,156.123
739,E00024042,99.799,67.991,57.408,61.555,68.888,121.143,176.0,119.905,101.242,108.555,121.487,213.641,840.83
740,E00023458,103.263,68.025,59.459,58.693,61.244,119.866,182.109,119.965,104.859,103.508,108.006,211.389,829.836
741,E00175218,204.979,120.603,115.388,124.99,157.617,236.727,361.49,212.689,203.492,220.425,277.965,417.479,1693.538
742,E00175197,136.003,88.026,82.219,90.691,104.837,165.48,239.847,155.238,144.997,159.938,184.885,291.831,1176.735
743,E00024008,133.441,80.273,66.898,70.634,74.907,164.789,235.329,141.565,117.978,124.566,132.102,290.613,1042.152
744,E00023518,143.43,91.541,91.204,83.785,97.054,169.498,252.945,161.437,160.842,147.759,171.159,298.917,1193.059
745,E00023612,163.306,90.208,85.836,100.286,104.126,160.66,287.997,159.086,151.376,176.859,183.631,283.331,1242.279
746,E00023778,48.76,30.717,31.86,35.064,33.815,54.306,85.99,54.171,56.187,61.837,59.634,95.771,413.59
747,E00023453,133.729,80.129,73.086,78.746,93.201,154.021,235.837,141.311,128.89,138.872,164.364,271.623,1080.897
748,E00023573,147.453,86.881,66.962,78.26,82.371,170.16,260.04,153.218,118.09,138.015,145.265,300.085,1114.713
749,E00023483,139.42,81.437,79.887,80.822,95.057,161.427,245.873,143.618,140.884,142.533,167.637,284.684,1125.229
750,E00023463,75.751,47.032,46.078,47.482,57.433,85.034,133.59,82.943,81.261,83.737,101.286,149.961,632.777
751,E00023604,97.829,54.457,44.35,49.004,48.262,104.239,172.526,96.037,78.213,86.421,85.112,183.83,702.139
752,E00023958,139.218,64.115,69.385,65.926,94.545,157.905,245.517,113.07,122.364,116.263,166.734,278.472,1042.42
753,E00175183,231.926,133.842,137.649,149.133,165.14,263.279,409.012,236.036,242.75,263.003,291.232,464.304,1906.337
754,E00023435,91.911,59.934,52.597,52.418,55.237,113.168,162.089,105.696,92.757,92.441,97.413,199.577,749.974
755,E00175272,115.651,75.183,53.162,69.854,61.665,140.174,203.956,132.589,93.754,123.191,108.749,247.203,909.44
756,E00023561,114.386,77.822,59.298,62.467,58.737,135.995,201.725,137.243,104.575,110.163,103.585,239.833,897.124
757,E00023699,85.805,54.218,48.274,50.975,65.946,107.498,151.321,95.616,85.133,89.897,116.299,189.577,727.843
758,E00023424,45.201,32.467,26.186,29.847,37.277,58.03,79.714,57.257,46.18,52.637,65.74,102.338,403.866
759,E00023774,42.28,24.996,25.16,30.244,21.288,52.81,74.563,44.082,44.371,53.337,37.542,93.133,347.027
760,E00023863,72.684,48.527,27.95,36.53,32.812,75.439,128.181,85.58,49.291,64.422,57.865,133.04,518.38
761,E00024058,237.73,139.423,132.707,130.446,153.868,293.105,419.247,245.879,234.035,230.047,271.353,516.904,1917.464
762,E00024127,336.502,175.651,166.934,159.306,198.09,407.648,593.436,309.768,294.395,280.943,349.34,718.905,2546.789
763,E00175234,135.902,85.531,82.886,84.739,94.042,134.809,239.669,150.838,146.173,149.441,165.847,237.742,1089.71
764,E00023885,53.21,39.721,28.164,29.107,31.461,64.011,93.838,70.05,49.668,51.331,55.483,112.886,433.257
