,OA,[%_of_OA_total] - [per_effective_area_square_meter] - worker,[%_of_OA_total] - [per_effective_area_square_meter] - student,[%_of_OA_total] - [per_effective_area_square_meter] - tourist,[%_of_OA_total] - [per_effective_area_square_meter] - shopper,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[%_of_OA_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - chorer
622,E00023561,36.065,12.456,16.532,19.015,9.456,6.476,36.065,12.456,16.532,19.015,9.456,6.476
623,E00175205,46.212,15.235,15.657,4.642,8.652,9.601,46.212,15.235,15.657,4.642,8.652,9.601
624,E00023537,50.362,11.582,9.876,6.308,9.411,12.461,50.362,11.582,9.876,6.308,9.411,12.461
625,E00023951,55.573,9.269,9.625,7.947,12.169,5.417,55.573,9.269,9.625,7.947,12.169,5.417
626,E00024116,58.806,5.586,12.806,7.989,9.313,5.5,58.806,5.586,12.806,7.989,9.313,5.5
627,E00023660,51.32,11.31,8.856,10.403,9.763,8.349,51.32,11.31,8.856,10.403,9.763,8.349
628,E00175228,52.828,8.69,10.458,9.732,11.574,6.718,52.828,8.69,10.458,9.732,11.574,6.718
629,E00023450,46.208,11.294,11.954,12.119,10.387,8.038,46.208,11.294,11.954,12.119,10.387,8.038
630,E00023638,45.308,8.073,13.976,9.683,16.421,6.539,45.308,8.073,13.976,9.683,16.421,6.539
631,E00023966,46.303,11.144,12.817,10.416,12.25,7.07,46.303,11.144,12.817,10.416,12.25,7.07
632,E00024018,55.514,8.271,10.735,9.733,8.814,6.934,55.514,8.271,10.735,9.733,8.814,6.934
633,E00023585,42.349,9.771,11.061,15.881,13.906,7.032,42.349,9.771,11.061,15.881,13.906,7.032
634,E00175234,42.467,6.074,12.967,16.233,15.223,7.036,42.467,6.074,12.967,16.233,15.223,7.036
635,E00023477,47.647,7.224,9.034,16.363,12.115,7.618,47.647,7.224,9.034,16.363,12.115,7.618
636,E00023702,39.917,7.721,16.994,10.203,20.269,4.895,39.917,7.721,16.994,10.203,20.269,4.895
637,E00023783,50.43,18.401,5.374,11.221,6.406,8.169,50.43,18.401,5.374,11.221,6.406,8.169
638,E00024087,44.905,26.124,4.196,8.941,7.443,8.392,44.905,26.124,4.196,8.941,7.443,8.392
639,E00023980,40.652,10.652,20.0,7.283,17.065,4.348,40.652,10.652,20.0,7.283,17.065,4.348
640,E00175261,49.018,22.4,6.327,6.618,6.909,8.727,49.018,22.4,6.327,6.618,6.909,8.727
641,E00023774,41.251,14.426,10.081,12.457,12.572,9.212,41.251,14.426,10.081,12.457,12.572,9.212
642,E00023870,40.269,14.959,9.058,16.718,11.077,7.919,40.269,14.959,9.058,16.718,11.077,7.919
643,E00175189,53.337,4.971,14.121,16.14,7.739,3.692,53.337,4.971,14.121,16.14,7.739,3.692
644,E00023498,52.428,9.965,10.333,7.983,11.654,7.637,52.428,9.965,10.333,7.983,11.654,7.637
