,OA,[%_of_OA_total] - [per_effective_area_square_meter] - worker,[%_of_OA_total] - [per_effective_area_square_meter] - student,[%_of_OA_total] - [per_effective_area_square_meter] - tourist,[%_of_OA_total] - [per_effective_area_square_meter] - shopper,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[%_of_OA_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - chorer
232,E00175237,56.665,9.735,6.056,12.749,7.854,6.941,56.665,9.735,6.056,12.749,7.854,6.941
233,E00023930,62.481,8.252,7.586,9.021,8.086,4.575,62.481,8.252,7.586,9.021,8.086,4.575
234,E00023931,57.115,6.009,8.889,12.561,10.739,4.688,57.115,6.009,8.889,12.561,10.739,4.688
235,E00023576,53.061,7.823,7.908,16.514,8.35,6.344,53.061,7.823,7.908,16.514,8.35,6.344
236,E00023827,72.942,5.519,3.617,5.972,7.638,4.311,72.942,5.519,3.617,5.972,7.638,4.311
237,E00175188,53.093,9.224,6.824,13.086,11.399,6.374,53.093,9.224,6.824,13.086,11.399,6.374
238,E00023874,56.059,6.502,5.32,16.65,8.374,7.094,56.059,6.502,5.32,16.65,8.374,7.094
239,E00023506,57.906,8.369,7.282,9.661,10.865,5.917,57.906,8.369,7.282,9.661,10.865,5.917
240,E00023839,56.122,6.694,6.715,15.503,9.912,5.054,56.122,6.694,6.715,15.503,9.912,5.054
241,E00024118,59.483,6.777,7.745,9.348,10.538,6.11,59.483,6.777,7.745,9.348,10.538,6.11
242,E00023639,54.914,6.468,7.578,14.775,10.938,5.327,54.914,6.468,7.578,14.775,10.938,5.327
243,E00023655,67.336,6.298,6.144,6.36,8.274,5.588,67.336,6.298,6.144,6.36,8.274,5.588
244,E00023448,58.933,14.267,4.8,5.667,9.6,6.733,58.933,14.267,4.8,5.667,9.6,6.733
245,E00023995,52.777,9.242,7.721,11.569,12.929,5.762,52.777,9.242,7.721,11.569,12.929,5.762
246,E00023914,57.033,6.683,6.578,12.631,10.357,6.718,57.033,6.683,6.578,12.631,10.357,6.718
247,E00023551,48.99,15.152,6.734,11.785,11.322,6.019,48.99,15.152,6.734,11.785,11.322,6.019
