,OA,[total] - worker_count,[total] - student_count,[total] - tourist_count,[total] - shopper_count,[total] - leisurer_count,[total] - chorer_count,[total] - total_count,[per_effective_area_square_meter] - worker_count,[per_effective_area_square_meter] - student_count,[per_effective_area_square_meter] - tourist_count,[per_effective_area_square_meter] - shopper_count,[per_effective_area_square_meter] - leisurer_count,[per_effective_area_square_meter] - chorer_count,[per_effective_area_square_meter] - total_count,[%_of_borough_total] - [per_effective_area_square_meter] - worker,[%_of_borough_total] - [per_effective_area_square_meter] - student,[%_of_borough_total] - [per_effective_area_square_meter] - tourist,[%_of_borough_total] - [per_effective_area_square_meter] - shopper,[%_of_borough_total] - [per_effective_area_square_meter] - leisurer,[%_of_borough_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - chorer
548,E00023640,297.746,40.474,63.624,45.657,91.411,39.507,578.418,1.865,0.254,0.399,0.286,0.573,0.247,3.624,0.05,0.048,0.064,0.039,0.067,0.064,0.05,0.048,0.064,0.039,0.067,0.064
549,E00023729,247.472,54.375,60.078,32.913,87.194,25.147,507.179,2.524,0.555,0.613,0.336,0.889,0.256,5.173,0.068,0.105,0.098,0.046,0.104,0.067,0.068,0.105,0.098,0.046,0.104,0.067
550,E00023775,254.402,26.867,34.373,55.415,48.735,26.903,446.695,3.187,0.337,0.431,0.694,0.61,0.337,5.595,0.085,0.063,0.069,0.094,0.072,0.088,0.085,0.063,0.069,0.094,0.072,0.088
551,E00024034,453.713,89.785,57.139,71.223,73.985,45.772,791.616,4.651,0.92,0.586,0.73,0.758,0.469,8.115,0.125,0.174,0.094,0.099,0.089,0.122,0.125,0.174,0.094,0.099,0.089,0.122
552,E00175221,142.604,17.169,15.726,15.744,15.139,14.546,220.928,1.698,0.204,0.187,0.187,0.18,0.173,2.63,0.046,0.038,0.03,0.025,0.021,0.045,0.046,0.038,0.03,0.025,0.021,0.045
553,E00023888,381.762,59.964,43.825,83.325,69.806,40.031,678.713,3.195,0.502,0.367,0.697,0.584,0.335,5.68,0.086,0.095,0.059,0.095,0.068,0.087,0.086,0.095,0.059,0.095,0.068,0.087
554,E00175266,388.219,66.455,68.289,143.489,59.26,44.605,770.317,3.226,0.552,0.567,1.192,0.492,0.371,6.4,0.086,0.104,0.091,0.162,0.058,0.096,0.086,0.104,0.091,0.162,0.058,0.096
555,E00023715,355.17,54.769,65.628,112.448,101.348,45.967,735.33,3.675,0.567,0.679,1.164,1.049,0.476,7.609,0.099,0.107,0.109,0.158,0.123,0.124,0.099,0.107,0.109,0.158,0.123,0.124
556,E00023809,166.862,20.1,20.322,23.691,31.607,17.415,279.997,1.177,0.142,0.143,0.167,0.223,0.123,1.975,0.032,0.027,0.023,0.023,0.026,0.032,0.032,0.027,0.023,0.023,0.026,0.032
557,E00175252,312.661,43.147,49.087,61.849,65.78,30.044,562.568,3.955,0.546,0.621,0.782,0.832,0.38,7.116,0.106,0.103,0.1,0.106,0.098,0.099,0.106,0.103,0.1,0.106,0.098,0.099
558,E00023456,145.551,17.326,15.699,11.334,25.953,19.632,235.494,1.526,0.182,0.165,0.119,0.272,0.206,2.468,0.041,0.034,0.026,0.016,0.032,0.054,0.041,0.034,0.026,0.016,0.032,0.054
559,E00023778,244.997,22.992,32.227,52.037,42.19,23.758,418.2,2.613,0.245,0.344,0.555,0.45,0.253,4.461,0.07,0.046,0.055,0.075,0.053,0.066,0.07,0.046,0.055,0.075,0.053,0.066
560,E00023994,389.597,62.797,69.225,80.351,90.189,43.066,735.225,4.929,0.795,0.876,1.017,1.141,0.545,9.302,0.132,0.15,0.14,0.138,0.134,0.142,0.132,0.15,0.14,0.138,0.134,0.142
561,E00024050,1148.358,146.978,193.628,256.317,279.243,122.452,2146.977,6.353,0.813,1.071,1.418,1.545,0.677,11.877,0.17,0.153,0.172,0.192,0.181,0.176,0.17,0.153,0.172,0.192,0.181,0.176
562,E00023527,1167.155,128.015,135.638,168.987,203.922,107.324,1911.041,8.701,0.954,1.011,1.26,1.52,0.8,14.246,0.233,0.18,0.162,0.171,0.178,0.208,0.233,0.18,0.162,0.171,0.178,0.208
563,E00023659,338.252,56.452,41.485,57.162,59.706,37.119,590.177,3.081,0.514,0.378,0.521,0.544,0.338,5.376,0.083,0.097,0.06,0.071,0.064,0.088,0.083,0.097,0.06,0.071,0.064,0.088
564,E00023943,1022.051,101.009,150.941,158.33,185.213,84.461,1702.005,7.011,0.693,1.035,1.086,1.271,0.579,11.675,0.188,0.131,0.166,0.147,0.149,0.151,0.188,0.131,0.166,0.147,0.149,0.151
565,E00023768,104.125,9.338,9.356,9.977,12.001,9.775,154.573,1.561,0.14,0.14,0.15,0.18,0.147,2.318,0.042,0.026,0.023,0.02,0.021,0.038,0.042,0.026,0.023,0.02,0.021,0.038
566,E00023436,325.151,62.347,39.65,54.348,56.545,42.475,580.516,1.071,0.205,0.131,0.179,0.186,0.14,1.913,0.029,0.039,0.021,0.024,0.022,0.036,0.029,0.039,0.021,0.024,0.022,0.036
567,E00023606,625.786,81.247,122.799,172.784,168.12,78.364,1249.1,4.114,0.534,0.807,1.136,1.105,0.515,8.211,0.11,0.101,0.129,0.154,0.129,0.134,0.11,0.101,0.129,0.154,0.129,0.134
568,E00023496,796.21,92.872,97.316,123.661,155.055,78.563,1343.677,7.908,0.922,0.967,1.228,1.54,0.78,13.346,0.212,0.174,0.155,0.167,0.18,0.203,0.212,0.174,0.155,0.167,0.18,0.203
569,E00023687,785.825,93.656,126.649,202.31,159.094,83.798,1451.332,5.697,0.679,0.918,1.467,1.153,0.608,10.523,0.153,0.128,0.147,0.199,0.135,0.158,0.153,0.128,0.147,0.199,0.135,0.158
570,E00175222,320.214,69.066,56.956,71.871,96.153,34.772,649.032,4.024,0.868,0.716,0.903,1.208,0.437,8.155,0.108,0.164,0.115,0.123,0.142,0.114,0.108,0.164,0.115,0.123,0.142,0.114
571,E00175196,5282.07,527.689,982.35,1379.467,964.182,460.526,9596.284,14.099,1.409,2.622,3.682,2.574,1.229,25.615,0.378,0.266,0.42,0.499,0.301,0.32,0.378,0.266,0.42,0.499,0.301,0.32
572,E00023824,2329.064,303.756,287.138,300.367,337.027,185.475,3742.828,11.061,1.443,1.364,1.426,1.601,0.881,17.775,0.297,0.272,0.219,0.194,0.187,0.23,0.297,0.272,0.219,0.194,0.187,0.23
573,E00023906,65.677,6.742,6.382,10.039,8.113,7.438,104.391,1.208,0.124,0.117,0.185,0.149,0.137,1.92,0.032,0.024,0.019,0.025,0.018,0.036,0.032,0.024,0.019,0.025,0.018,0.036
574,E00023907,119.347,13.903,11.459,15.31,13.296,12.917,186.232,1.724,0.201,0.166,0.221,0.192,0.187,2.69,0.046,0.038,0.027,0.03,0.022,0.048,0.046,0.038,0.027,0.03,0.022,0.048
575,E00175220,744.014,103.634,118.977,183.882,164.872,88.435,1403.813,4.821,0.672,0.771,1.191,1.068,0.573,9.096,0.129,0.127,0.124,0.162,0.125,0.149,0.129,0.127,0.124,0.162,0.125,0.149
576,E00023848,1905.781,147.224,110.032,92.645,173.267,102.721,2531.669,12.849,0.993,0.742,0.625,1.168,0.693,17.069,0.344,0.187,0.119,0.085,0.137,0.18,0.344,0.187,0.119,0.085,0.137,0.18
577,E00024119,1373.158,145.5,225.925,182.451,312.469,129.082,2368.586,7.779,0.824,1.28,1.034,1.77,0.731,13.418,0.209,0.155,0.205,0.14,0.207,0.19,0.209,0.155,0.205,0.14,0.207,0.19
578,E00023628,594.8,81.412,147.151,100.328,215.773,67.452,1206.915,5.988,0.82,1.481,1.01,2.172,0.679,12.15,0.161,0.155,0.237,0.137,0.254,0.177,0.161,0.155,0.237,0.137,0.254,0.177
579,E00023812,841.9,90.692,88.049,84.838,82.768,57.37,1245.617,14.739,1.588,1.541,1.485,1.449,1.004,21.806,0.395,0.299,0.247,0.201,0.17,0.262,0.395,0.299,0.247,0.201,0.17,0.262
580,E00023893,881.728,107.104,120.579,182.393,176.152,87.776,1555.732,6.432,0.781,0.88,1.33,1.285,0.64,11.348,0.172,0.147,0.141,0.18,0.15,0.166,0.172,0.147,0.141,0.18,0.15,0.166
581,E00023465,531.203,67.779,82.394,120.509,142.884,66.444,1011.213,4.642,0.592,0.72,1.053,1.249,0.581,8.837,0.124,0.112,0.115,0.143,0.146,0.151,0.124,0.112,0.115,0.143,0.146,0.151
582,E00023522,924.921,133.554,175.684,165.769,238.755,94.852,1733.535,7.475,1.079,1.42,1.34,1.93,0.767,14.011,0.2,0.204,0.227,0.182,0.226,0.199,0.2,0.204,0.227,0.182,0.226,0.199
583,E00175232,436.145,65.767,65.102,106.26,95.331,51.931,820.535,6.165,0.93,0.92,1.502,1.347,0.734,11.598,0.165,0.175,0.147,0.204,0.158,0.191,0.165,0.175,0.147,0.204,0.158,0.191
