,OA,[%_of_OA_total] - [per_effective_area_square_meter] - worker,[%_of_OA_total] - [per_effective_area_square_meter] - student,[%_of_OA_total] - [per_effective_area_square_meter] - tourist,[%_of_OA_total] - [per_effective_area_square_meter] - shopper,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[%_of_OA_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - chorer
587,E00023517,53.379,7.803,8.668,13.462,11.101,5.587,53.379,7.803,8.668,13.462,11.101,5.587
588,E00023878,64.884,9.69,5.581,8.295,6.512,5.039,64.884,9.69,5.581,8.295,6.512,5.039
589,E00023669,49.21,5.965,10.425,14.979,13.982,5.438,49.21,5.965,10.425,14.979,13.982,5.438
590,E00023480,48.047,10.405,10.689,8.097,17.152,5.611,48.047,10.405,10.689,8.097,17.152,5.611
591,E00023454,64.543,6.551,6.911,8.423,7.955,5.616,64.543,6.551,6.911,8.423,7.955,5.616
592,E00023785,56.758,9.478,6.842,9.422,11.441,6.057,56.758,9.478,6.842,9.422,11.441,6.057
593,E00023560,46.71,8.408,10.069,16.857,12.02,5.937,46.71,8.408,10.069,16.857,12.02,5.937
594,E00023566,50.027,8.181,9.527,15.566,10.607,6.092,50.027,8.181,9.527,15.566,10.607,6.092
595,E00024022,55.654,8.28,9.17,8.683,12.431,5.781,55.654,8.28,9.17,8.683,12.431,5.781
596,E00023425,65.014,7.335,5.992,8.506,7.404,5.751,65.014,7.335,5.992,8.506,7.404,5.751
597,E00023704,53.685,9.572,9.119,7.596,13.606,6.422,53.685,9.572,9.119,7.596,13.606,6.422
598,E00023671,54.227,5.952,9.093,10.918,14.059,5.751,54.227,5.952,9.093,10.918,14.059,5.751
599,E00024053,55.192,6.973,9.595,9.034,13.552,5.654,55.192,6.973,9.595,9.034,13.552,5.654
600,E00023904,53.545,10.259,7.506,10.092,12.177,6.422,53.545,10.259,7.506,10.092,12.177,6.422
601,E00023847,77.669,4.42,5.059,3.74,5.182,3.93,77.669,4.42,5.059,3.74,5.182,3.93
602,E00023985,53.197,5.449,10.264,10.687,15.178,5.225,53.197,5.449,10.264,10.687,15.178,5.225
603,E00023835,54.237,6.281,8.765,12.358,13.544,4.814,54.237,6.281,8.765,12.358,13.544,4.814
604,E00175227,58.137,9.86,7.387,7.079,11.515,6.022,58.137,9.86,7.387,7.079,11.515,6.022
605,E00023955,49.653,5.828,10.818,15.451,13.689,4.561,49.653,5.828,10.818,15.451,13.689,4.561
606,E00023528,59.448,6.5,7.567,9.033,11.89,5.562,59.448,6.5,7.567,9.033,11.89,5.562
607,E00175249,57.1,7.501,9.286,9.868,11.071,5.174,57.1,7.501,9.286,9.868,11.071,5.174
608,E00023933,50.976,5.807,11.623,12.842,14.203,4.55,50.976,5.807,11.623,12.842,14.203,4.55
609,E00175254,54.733,7.966,9.2,9.818,13.051,5.232,54.733,7.966,9.2,9.818,13.051,5.232
610,E00023828,54.268,6.621,8.652,12.205,13.157,5.098,54.268,6.621,8.652,12.205,13.157,5.098
611,E00023608,52.256,8.434,9.473,9.946,13.725,6.166,52.256,8.434,9.473,9.946,13.725,6.166
612,E00175192,51.123,5.875,11.38,12.24,14.766,4.617,51.123,5.875,11.38,12.24,14.766,4.617
613,E00023689,58.756,8.528,8.164,8.953,10.197,5.402,58.756,8.528,8.164,8.953,10.197,5.402
614,E00023538,58.582,9.992,7.897,5.802,12.409,5.318,58.582,9.992,7.897,5.802,12.409,5.318
615,E00023571,48.312,8.218,9.385,18.628,9.937,5.521,48.312,8.218,9.385,18.628,9.937,5.521
616,E00023902,64.005,9.53,7.147,5.216,8.822,5.28,64.005,9.53,7.147,5.216,8.822,5.28
617,E00024006,56.3,7.155,9.145,9.122,13.08,5.199,56.3,7.155,9.145,9.122,13.08,5.199
618,E00023449,59.933,7.982,6.749,9.507,10.022,5.807,59.933,7.982,6.749,9.507,10.022,5.807
619,E00023929,47.944,5.961,13.899,10.682,16.651,4.862,47.944,5.961,13.899,10.682,16.651,4.862
620,E00023421,54.306,16.121,5.231,7.58,10.32,6.441,54.306,16.121,5.231,7.58,10.32,6.441
621,E00023843,58.984,6.569,7.571,9.986,11.982,4.908,58.984,6.569,7.571,9.986,11.982,4.908
622,E00023561,46.47,9.69,10.162,17.783,9.937,5.958,46.47,9.69,10.162,17.783,9.937,5.958
623,E00175205,54.664,12.532,10.078,7.133,8.461,7.133,54.664,12.532,10.078,7.133,8.461,7.133
624,E00023537,58.411,9.138,8.1,7.529,9.086,7.736,58.411,9.138,8.1,7.529,9.086,7.736
