,OA,[total] - worker_count,[total] - student_count,[total] - tourist_count,[total] - shopper_count,[total] - leisurer_count,[total] - chorer_count,[total] - total_count,[per_effective_area_square_meter] - worker_count,[per_effective_area_square_meter] - student_count,[per_effective_area_square_meter] - tourist_count,[per_effective_area_square_meter] - shopper_count,[per_effective_area_square_meter] - leisurer_count,[per_effective_area_square_meter] - chorer_count,[per_effective_area_square_meter] - total_count,[%_of_borough_total] - [per_effective_area_square_meter] - worker,[%_of_borough_total] - [per_effective_area_square_meter] - student,[%_of_borough_total] - [per_effective_area_square_meter] - tourist,[%_of_borough_total] - [per_effective_area_square_meter] - shopper,[%_of_borough_total] - [per_effective_area_square_meter] - leisurer,[%_of_borough_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - chorer
513,E00023463,255.187,68.78,59.424,92.581,65.375,40.669,582.017,2.736,0.737,0.637,0.992,0.701,0.436,6.239,0.081,0.12,0.078,0.138,0.085,0.103,0.081,0.12,0.078,0.138,0.085,0.103
514,E00175233,274.415,95.305,58.311,110.254,67.845,46.821,652.951,2.197,0.763,0.467,0.883,0.543,0.375,5.228,0.065,0.124,0.057,0.123,0.066,0.089,0.065,0.124,0.057,0.123,0.066,0.089
515,E00023446,171.47,57.05,20.541,50.451,25.74,24.196,349.45,1.692,0.563,0.203,0.498,0.254,0.239,3.449,0.05,0.092,0.025,0.07,0.031,0.056,0.05,0.092,0.025,0.07,0.031,0.056
516,E00024025,438.643,58.868,112.54,89.884,118.581,52.029,870.544,3.694,0.496,0.948,0.757,0.999,0.438,7.332,0.11,0.081,0.116,0.106,0.121,0.104,0.11,0.081,0.116,0.106,0.121,0.104
517,E00023651,825.234,180.886,227.323,161.588,257.296,135.87,1788.198,6.327,1.387,1.743,1.239,1.973,1.042,13.71,0.188,0.226,0.214,0.173,0.24,0.246,0.188,0.226,0.214,0.173,0.24,0.246
518,E00023429,249.293,80.092,38.919,56.157,44.012,37.412,505.885,2.175,0.699,0.34,0.49,0.384,0.326,4.414,0.065,0.114,0.042,0.068,0.047,0.077,0.065,0.114,0.042,0.068,0.047,0.077
519,E00023862,145.812,56.435,21.739,45.766,24.038,29.192,322.982,1.245,0.482,0.186,0.391,0.205,0.249,2.758,0.037,0.078,0.023,0.055,0.025,0.059,0.037,0.078,0.023,0.055,0.025,0.059
520,E00175244,245.549,44.193,41.768,51.672,56.429,34.786,474.396,2.895,0.521,0.492,0.609,0.665,0.41,5.593,0.086,0.085,0.06,0.085,0.081,0.097,0.086,0.085,0.06,0.085,0.081,0.097
521,E00024107,366.114,143.255,86.548,91.132,104.733,73.066,864.848,2.03,0.794,0.48,0.505,0.581,0.405,4.794,0.06,0.129,0.059,0.071,0.071,0.096,0.06,0.129,0.059,0.071,0.071,0.096
522,E00023636,418.321,53.93,193.095,69.54,190.022,64.613,989.521,2.65,0.342,1.223,0.44,1.204,0.409,6.268,0.079,0.056,0.15,0.061,0.146,0.097,0.079,0.056,0.15,0.061,0.146,0.097
523,E00023846,1030.359,140.499,186.652,165.92,139.025,86.02,1748.475,10.459,1.426,1.895,1.684,1.411,0.873,17.748,0.311,0.232,0.233,0.235,0.171,0.206,0.311,0.232,0.233,0.235,0.171,0.206
524,E00023637,310.753,44.22,142.924,28.466,158.552,49.681,734.595,1.742,0.248,0.801,0.16,0.889,0.279,4.119,0.052,0.04,0.098,0.022,0.108,0.066,0.052,0.04,0.098,0.022,0.108,0.066
525,E00175274,171.265,37.665,26.991,35.289,32.494,31.563,335.267,1.543,0.339,0.243,0.318,0.293,0.284,3.021,0.046,0.055,0.03,0.044,0.035,0.067,0.046,0.055,0.03,0.044,0.035,0.067
526,E00023431,302.121,129.938,48.746,65.611,50.422,66.217,663.055,1.305,0.561,0.211,0.283,0.218,0.286,2.864,0.039,0.091,0.026,0.04,0.026,0.067,0.039,0.091,0.026,0.04,0.026,0.067
527,E00023740,824.711,151.704,266.599,141.884,309.525,127.725,1822.149,5.117,0.941,1.654,0.88,1.92,0.792,11.305,0.152,0.153,0.203,0.123,0.233,0.187,0.152,0.153,0.203,0.123,0.233,0.187
528,E00023967,344.749,116.292,108.927,73.566,133.882,42.678,820.095,3.854,1.3,1.218,0.822,1.497,0.477,9.168,0.115,0.211,0.15,0.115,0.182,0.113,0.115,0.211,0.15,0.115,0.182,0.113
529,E00023554,218.068,111.329,42.321,52.087,51.488,34.242,509.535,2.16,1.103,0.419,0.516,0.51,0.339,5.048,0.064,0.179,0.051,0.072,0.062,0.08,0.064,0.179,0.051,0.072,0.062,0.08
530,E00023923,52.49,23.011,13.698,9.746,7.481,9.411,115.836,0.472,0.207,0.123,0.088,0.067,0.085,1.042,0.014,0.034,0.015,0.012,0.008,0.02,0.014,0.034,0.015,0.012,0.008,0.02
531,E00023837,1819.624,191.201,152.545,137.26,239.134,124.879,2664.643,16.918,1.778,1.418,1.276,2.223,1.161,24.775,0.503,0.289,0.174,0.178,0.27,0.274,0.503,0.289,0.174,0.178,0.27,0.274
532,E00023804,336.437,79.071,62.224,100.888,68.611,63.52,710.751,3.17,0.745,0.586,0.951,0.646,0.599,6.697,0.094,0.121,0.072,0.133,0.079,0.141,0.094,0.121,0.072,0.133,0.079,0.141
533,E00023816,734.84,133.071,170.41,36.709,116.943,61.467,1253.439,3.204,0.58,0.743,0.16,0.51,0.268,5.466,0.095,0.094,0.091,0.022,0.062,0.063,0.095,0.094,0.091,0.022,0.062,0.063
534,E00023897,97.412,10.76,8.972,13.488,9.865,17.595,158.092,1.213,0.134,0.112,0.168,0.123,0.219,1.968,0.036,0.022,0.014,0.023,0.015,0.052,0.036,0.022,0.014,0.023,0.015,0.052
535,E00023958,557.152,143.503,155.467,107.308,134.979,30.977,1129.386,7.516,1.936,2.097,1.448,1.821,0.418,15.235,0.223,0.315,0.258,0.202,0.221,0.099,0.223,0.315,0.258,0.202,0.221,0.099
536,E00023750,132.603,19.539,59.967,48.728,52.261,25.759,338.857,1.452,0.214,0.657,0.534,0.572,0.282,3.71,0.043,0.035,0.081,0.074,0.07,0.067,0.043,0.035,0.081,0.074,0.07,0.067
537,E00023813,1065.181,194.516,259.687,165.902,245.218,110.714,2041.218,7.136,1.303,1.74,1.111,1.643,0.742,13.675,0.212,0.212,0.214,0.155,0.2,0.175,0.212,0.212,0.214,0.155,0.2,0.175
538,E00023823,806.086,179.841,205.154,190.611,199.272,84.355,1665.32,7.611,1.698,1.937,1.8,1.882,0.797,15.725,0.226,0.276,0.238,0.251,0.229,0.188,0.226,0.276,0.238,0.251,0.229,0.188
539,E00023892,604.379,110.232,160.432,171.506,177.059,77.298,1300.906,5.925,1.081,1.573,1.681,1.736,0.758,12.753,0.176,0.176,0.193,0.234,0.211,0.179,0.176,0.176,0.193,0.234,0.211,0.179
540,E00023938,2726.956,294.936,889.784,230.27,645.253,228.688,5015.886,5.139,0.556,1.677,0.434,1.216,0.431,9.452,0.153,0.09,0.206,0.061,0.148,0.102,0.153,0.09,0.206,0.061,0.148,0.102
541,E00023439,267.007,40.029,83.257,56.951,83.815,33.901,564.961,1.871,0.281,0.583,0.399,0.587,0.238,3.959,0.056,0.046,0.072,0.056,0.071,0.056,0.056,0.046,0.072,0.056,0.071,0.056
542,E00175256,154.663,58.748,38.429,20.166,28.615,25.43,326.049,2.846,1.081,0.707,0.371,0.527,0.468,6.001,0.085,0.176,0.087,0.052,0.064,0.111,0.085,0.176,0.087,0.052,0.064,0.111
543,E00023435,331.385,111.23,108.468,49.064,89.52,45.64,735.306,1.303,0.437,0.426,0.193,0.352,0.179,2.89,0.039,0.071,0.052,0.027,0.043,0.042,0.039,0.071,0.052,0.027,0.043,0.042
544,E00023661,1007.931,178.177,172.702,142.724,177.055,108.27,1786.859,6.275,1.109,1.075,0.889,1.102,0.674,11.125,0.186,0.181,0.132,0.124,0.134,0.159,0.186,0.181,0.132,0.124,0.134,0.159
545,E00023960,1255.881,110.75,663.364,333.964,670.454,100.464,3134.877,10.969,0.967,5.794,2.917,5.856,0.877,27.38,0.326,0.157,0.712,0.407,0.712,0.207,0.326,0.157,0.712,0.407,0.712,0.207
546,E00023876,118.432,29.92,29.114,38.389,28.041,28.678,272.574,0.808,0.204,0.199,0.262,0.191,0.196,1.859,0.024,0.033,0.024,0.036,0.023,0.046,0.024,0.033,0.024,0.036,0.023,0.046
547,E00023633,501.687,75.768,244.102,87.747,297.124,66.664,1273.092,3.708,0.56,1.804,0.649,2.196,0.493,9.41,0.11,0.091,0.222,0.091,0.267,0.116,0.11,0.091,0.222,0.091,0.267,0.116
548,E00023640,266.895,36.507,92.661,36.2,109.339,42.88,584.481,1.672,0.229,0.58,0.227,0.685,0.269,3.662,0.05,0.037,0.071,0.032,0.083,0.063,0.05,0.037,0.071,0.032,0.083,0.063
549,E00023729,221.158,79.602,107.146,27.028,121.593,25.969,582.496,2.255,0.812,1.093,0.276,1.24,0.265,5.941,0.067,0.132,0.134,0.038,0.151,0.063,0.067,0.132,0.134,0.038,0.151,0.063
550,E00023775,223.243,22.617,30.451,55.696,38.094,28.447,398.548,2.796,0.283,0.381,0.698,0.477,0.356,4.992,0.083,0.046,0.047,0.097,0.058,0.084,0.083,0.046,0.047,0.097,0.058,0.084
551,E00024034,391.938,134.534,67.875,67.986,64.977,56.999,784.31,4.018,1.379,0.696,0.697,0.666,0.584,8.041,0.119,0.224,0.085,0.097,0.081,0.138,0.119,0.224,0.085,0.097,0.081,0.138
552,E00175221,112.746,18.391,19.927,12.729,14.787,18.473,197.054,1.342,0.219,0.237,0.152,0.176,0.22,2.346,0.04,0.036,0.029,0.021,0.021,0.052,0.04,0.036,0.029,0.021,0.021,0.052
553,E00023888,291.933,79.745,41.308,86.167,50.434,44.951,594.539,2.443,0.667,0.346,0.721,0.422,0.376,4.976,0.073,0.109,0.042,0.101,0.051,0.089,0.073,0.109,0.042,0.101,0.051,0.089
554,E00175266,310.205,79.933,92.512,158.418,51.71,47.718,740.496,2.577,0.664,0.769,1.316,0.43,0.396,6.153,0.077,0.108,0.094,0.184,0.052,0.094,0.077,0.108,0.094,0.184,0.052,0.094
555,E00023715,296.847,56.977,63.115,118.121,83.443,49.307,667.81,3.072,0.59,0.653,1.222,0.863,0.51,6.91,0.091,0.096,0.08,0.171,0.105,0.121,0.091,0.096,0.08,0.171,0.105,0.121
556,E00023809,144.977,24.897,23.167,21.482,31.786,26.029,272.338,1.023,0.176,0.163,0.152,0.224,0.184,1.921,0.03,0.029,0.02,0.021,0.027,0.044,0.03,0.029,0.02,0.021,0.027,0.044
557,E00175252,281.199,46.07,53.418,60.123,58.784,26.014,525.607,3.557,0.583,0.676,0.76,0.744,0.329,6.648,0.106,0.095,0.083,0.106,0.09,0.078,0.106,0.095,0.083,0.106,0.09,0.078
558,E00023456,137.226,20.297,20.447,5.979,24.171,33.539,241.66,1.438,0.213,0.214,0.063,0.253,0.352,2.533,0.043,0.035,0.026,0.009,0.031,0.083,0.043,0.035,0.026,0.009,0.031,0.083
559,E00023778,207.101,16.917,28.152,52.405,32.529,22.938,360.042,2.209,0.18,0.3,0.559,0.347,0.245,3.84,0.066,0.029,0.037,0.078,0.042,0.058,0.066,0.029,0.037,0.078,0.042,0.058
560,E00023994,339.609,74.113,95.484,77.723,87.657,51.744,726.329,4.297,0.938,1.208,0.983,1.109,0.655,9.19,0.128,0.153,0.148,0.137,0.135,0.155,0.128,0.153,0.148,0.137,0.135,0.155
561,E00024050,1022.505,142.511,212.919,253.795,248.861,129.879,2010.468,5.656,0.788,1.178,1.404,1.377,0.718,11.122,0.168,0.128,0.145,0.196,0.167,0.17,0.168,0.128,0.145,0.196,0.167,0.17
