,OA,worker_units,student_units,tourist_units,shopper_units,leisurer_units,chorer_units,[per_effective_area_square_meter] - worker_units,[per_effective_area_square_meter] - student_units,[per_effective_area_square_meter] - tourist_units,[per_effective_area_square_meter] - shopper_units,[per_effective_area_square_meter] - leisurer_units,[per_effective_area_square_meter] - chorer_units,[%_of_borough_total] - [per_effective_area_square_meter] - worker_units,[%_of_borough_total] - [per_effective_area_square_meter] - student_units,[%_of_borough_total] - [per_effective_area_square_meter] - tourist_units,[%_of_borough_total] - [per_effective_area_square_meter] - shopper_units,[%_of_borough_total] - [per_effective_area_square_meter] - leisurer_units,[%_of_borough_total] - [per_effective_area_square_meter] - chorer_units,[per_effective_area_square_meter] - total_units,[%_of_OA_total] - [per_effective_area_square_meter] - worker_units,[%_of_OA_total] - [per_effective_area_square_meter] - student_units,[%_of_OA_total] - [per_effective_area_square_meter] - tourist_units,[%_of_OA_total] - [per_effective_area_square_meter] - shopper_units,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer_units,[%_of_OA_total] - [per_effective_area_square_meter] - chorer_units,worker_value,student_value,tourist_value,shopper_value,leisurer_value,chorer_value,total_value,[per_effective_area_square_meter] - worker_value,[per_effective_area_square_meter] - student_value,[per_effective_area_square_meter] - tourist_value,[per_effective_area_square_meter] - shopper_value,[per_effective_area_square_meter] - leisurer_value,[per_effective_area_square_meter] - chorer_value,[per_effective_area_square_meter] - total_value
140,E00175240,212.091,175.045,179.447,179.288,189.065,222.155,2.797,2.309,2.367,2.365,2.494,2.93,0.278,0.265,0.273,0.259,0.282,0.279,15.262,18.327,15.129,15.509,15.496,16.341,19.198,256.626,211.801,217.128,216.935,228.765,268.804,1400.06,3.385,2.794,2.864,2.861,3.017,3.545,18.466
141,E00023587,55.221,81.169,42.039,49.887,43.844,65.213,0.467,0.686,0.355,0.422,0.371,0.551,0.046,0.079,0.041,0.046,0.042,0.053,2.852,16.374,24.053,12.447,14.797,13.008,19.32,66.816,98.213,50.866,60.362,53.05,78.907,408.215,0.565,0.83,0.43,0.51,0.448,0.667,3.45
142,E00023895,28.462,19.88,21.693,22.049,17.679,25.067,0.364,0.254,0.277,0.282,0.226,0.32,0.036,0.029,0.032,0.031,0.026,0.031,1.723,21.126,14.742,16.077,16.367,13.117,18.572,34.439,24.054,26.248,26.679,21.391,30.331,163.142,0.44,0.308,0.336,0.341,0.273,0.388,2.086
143,E00175203,34.818,29.797,36.978,27.586,35.883,39.77,0.541,0.463,0.574,0.428,0.557,0.617,0.054,0.053,0.066,0.047,0.063,0.059,3.18,17.013,14.56,18.05,13.459,17.516,19.403,42.129,36.054,44.743,33.379,43.418,48.121,247.843,0.654,0.56,0.695,0.518,0.674,0.747,3.848
144,E00023950,130.578,104.003,97.857,98.225,97.553,120.248,2.138,1.703,1.602,1.608,1.597,1.969,0.212,0.196,0.185,0.176,0.181,0.188,10.617,20.138,16.04,15.089,15.146,15.042,18.546,157.997,125.842,118.405,118.851,118.037,145.498,784.63,2.587,2.061,1.939,1.946,1.933,2.382,12.848
145,E00023779,61.25,56.154,41.103,47.686,41.071,65.46,0.472,0.433,0.317,0.368,0.317,0.505,0.047,0.05,0.037,0.04,0.036,0.048,2.412,19.569,17.952,13.143,15.257,13.143,20.937,74.111,67.945,49.734,57.699,49.695,79.205,378.391,0.572,0.524,0.384,0.445,0.383,0.611,2.919
146,E00023721,195.498,180.775,167.38,172.554,176.872,237.656,1.629,1.506,1.395,1.438,1.474,1.98,0.162,0.173,0.161,0.157,0.167,0.189,9.422,17.289,15.984,14.806,15.262,15.644,21.015,236.549,218.735,202.527,208.787,214.012,287.56,1368.17,1.971,1.823,1.688,1.74,1.783,2.396,11.4
147,E00024011,81.063,76.138,68.777,61.492,71.17,97.769,1.032,0.97,0.876,0.783,0.906,1.245,0.103,0.111,0.101,0.086,0.102,0.119,5.812,17.756,16.69,15.072,13.472,15.588,21.421,98.085,92.126,83.219,74.404,86.114,118.299,552.247,1.249,1.173,1.06,0.948,1.097,1.507,7.034
148,E00023643,118.425,100.566,108.874,108.331,102.777,115.354,0.888,0.754,0.816,0.812,0.77,0.865,0.088,0.087,0.094,0.089,0.087,0.082,4.905,18.104,15.372,16.636,16.555,15.698,17.635,143.292,121.683,131.736,131.079,124.358,139.576,791.724,1.074,0.912,0.987,0.983,0.932,1.046,5.935
149,E00024012,60.545,47.65,49.62,51.376,51.123,69.571,1.071,0.843,0.877,0.908,0.904,1.23,0.106,0.097,0.101,0.099,0.102,0.117,5.833,18.361,14.452,15.035,15.567,15.498,21.087,73.258,57.656,60.039,62.164,61.858,84.18,399.155,1.295,1.019,1.062,1.099,1.094,1.488,7.058
