,OA,Value_band,Banding Description,[mean] - Value,[median] - Value,[total] - Value
375,E00023810,22.0,£900K - £1m,997000.0,922666.667,39135333.333
376,E00023811,27.0,£3m - £4m,3251918.919,2447378.378,14807540.541
377,E00023812,13.0,£326K - £350K,352600.0,294400.0,10393200.0
378,E00023813,25.0,£1.5m - £2m,1996555.556,1316111.111,12897833.333
379,E00023814,18.0,£501K - £600K,528333.333,482666.667,22784000.0
380,E00023815,20.0,£701k - £800K,709000.0,650750.0,16412000.0
381,E00023816,29.0,£5m+,7660900.0,3980300.0,76552900.0
382,E00023817,23.0,£1m - £1.25m,3593263.158,2000368.421,30086894.737
383,E00023818,26.0,£2m - £3m,2608375.0,1836208.333,32606041.667
384,E00023819,26.0,£2m - £3m,2849148.936,1665085.106,10610106.383
385,E00023820,23.0,£1m - £1.25m,1461416.667,1048666.667,16379916.667
386,E00023821,25.0,£1.5m - £2m,1476666.667,1015400.0,11379600.0
387,E00023822,26.0,£2m - £3m,1537928.571,1146500.0,15475785.714
388,E00023823,21.0,£1m - £1.25m,1040947.368,876157.895,9394578.947
389,E00023824,25.0,£1.5m - £2m,1552130.435,1048347.826,14256043.478
390,E00023825,26.0,£2m - £3m,2433333.333,1620666.667,6074285.714
391,E00023826,26.0,£2m - £3m,3195057.692,2142980.769,10963826.923
392,E00023827,27.0,£3m - £4m,3209204.545,2341613.636,10289590.909
393,E00023828,26.0,£2m - £3m,1688414.634,1213756.098,16981609.756
394,E00023829,23.0,£1m - £1.25m,1406047.619,1140190.476,6962619.048
395,E00023830,23.0,£1.5m - £2m,1417235.294,1186235.294,13891529.412
396,E00023831,25.0,£1.5m - £2m,1388931.034,932862.069,5976241.379
397,E00023832,29.0,£5m+,4951241.379,2619862.069,19120724.138
398,E00023833,18.0,£501K - £600K,736200.0,606800.0,5423350.0
399,E00023834,27.0,£3m - £4m,3036000.0,2113692.308,20816538.462
400,E00023835,23.0,£1m - £1.25m,817470.588,645941.176,6799235.294
401,E00023836,19.0,£1.5m - £2m,1426500.0,1210166.667,11927416.667
402,E00023837,25.0,£1.5m - £2m,1479967.742,1107548.387,4929838.71
403,E00023838,18.0,£501K - £600K,790314.286,596857.143,7926485.714
404,E00023839,26.0,£2m - £3m,2866056.604,1754792.453,15011716.981
405,E00023840,23.0,£1m - £1.25m,1186882.353,908705.882,3587264.706
406,E00023841,25.0,£1.5m - £2m,1666771.93,1169964.912,5004561.404
407,E00023842,21.0,£800K - £900K,1475594.203,990710.145,4665275.362
408,E00023843,24.0,£1.25m - £1.5m,1691500.0,1072236.842,5947973.684
409,E00023844,27.0,£3m - £4m,2266596.154,1321153.846,7481423.077
410,E00023845,23.0,£1m - £1.25m,1059533.333,799550.0,5251650.0
411,E00023846,18.0,£501K - £600K,568166.667,525888.889,5036555.556
412,E00023847,29.0,£5m+,4674750.0,3003500.0,73282250.0
413,E00023848,19.0,£601K - £700K,866321.429,696000.0,5261857.143
414,E00023849,18.0,£501K - £600K,660285.714,613857.143,21670000.0
415,E00023851,13.0,£326K - £350K,546500.0,498250.0,18173250.0
416,E00023852,20.0,£701k - £800K,718500.0,706000.0,27158500.0
417,E00023853,16.0,£401K - £450K,572500.0,477750.0,22090500.0
418,E00023854,20.0,£701k - £800K,754142.857,734714.286,16099000.0
419,E00023855,21.0,£800K - £900K,803200.0,790000.0,23994800.0
420,E00023856,18.0,£501K - £600K,660200.0,591200.0,24561400.0
421,E00023857,19.0,£601K - £700K,815333.333,791333.333,37254333.333
422,E00023858,19.0,£601K - £700K,804666.667,766666.667,44613666.667
423,E00023859,19.0,£601K - £700K,771000.0,740000.0,63199000.0
424,E00023860,20.0,£701k - £800K,693000.0,672666.667,18290166.667
425,E00023861,19.0,£601K - £700K,659000.0,640333.333,10959000.0
426,E00023862,18.0,£501K - £600K,588000.0,562333.333,33238000.0
427,E00023863,20.0,£701k - £800K,780666.667,750666.667,23761333.333
428,E00023864,20.0,£701k - £800K,723333.333,715333.333,20236000.0
429,E00023865,16.0,£401K - £450K,640200.0,590400.0,19458800.0
430,E00023866,14.0,£351K - £375K,380833.333,360833.333,9546000.0
431,E00023867,15.0,£376K - £400K,401500.0,392250.0,17197000.0
432,E00023869,18.0,£501K - £600K,694500.0,646250.0,35911250.0
433,E00023870,21.0,£800K - £900K,818333.333,780333.333,77063000.0
434,E00023871,18.0,£1.25m - £1.5m,838333.333,754666.667,38502000.0
435,E00023872,18.0,£501K - £600K,617416.667,600916.667,4661416.667
436,E00023873,21.0,£800K - £900K,627714.286,581714.286,22609000.0
437,E00023874,19.0,£601K - £700K,662857.143,643857.143,14017000.0
438,E00023875,20.0,£701k - £800K,819500.0,809833.333,18218000.0
439,E00023876,20.0,£701k - £800K,756250.0,743625.0,13691500.0
440,E00023877,17.0,£451K - £500K,498857.143,472571.429,17771285.714
441,E00023878,14.0,£351K - £375K,504307.692,484769.231,5447076.923
442,E00023879,20.0,£701k - £800K,637285.714,625285.714,16088428.571
443,E00023880,19.0,£601K - £700K,691200.0,674800.0,16595400.0
444,E00023881,25.0,£1.5m - £2m,1499714.286,1275428.571,32886571.429
445,E00023882,26.0,£2m - £3m,1580500.0,1291750.0,69080750.0
446,E00023883,27.0,£3m - £4m,3011500.0,1686875.0,53127250.0
447,E00023884,24.0,£1.25m - £1.5m,2711750.0,1805500.0,127606500.0
448,E00023885,26.0,£2m - £3m,1548333.333,1175555.556,30577666.667
449,E00023886,18.0,£501K - £600K,604000.0,566000.0,16010400.0
450,E00023887,20.0,£3m - £4m,1649714.286,1261285.714,28937285.714
451,E00023888,19.0,£1.5m - £2m,1063888.889,908666.667,19103666.667
452,E00023889,19.0,£601K - £700K,735555.556,697555.556,10408888.889
453,E00023890,18.0,£501K - £600K,754833.333,678166.667,19583666.667
454,E00023891,29.0,£5m+,7258230.769,4989538.462,66845230.769
455,E00023892,17.0,£451K - £500K,468333.333,431000.0,5882222.222
456,E00023893,18.0,£501K - £600K,652600.0,598500.0,10610200.0
457,E00023894,27.0,£3m - £4m,3941285.714,3104285.714,105715571.429
458,E00023895,19.0,£1m - £1.25m,1178400.0,986400.0,23305000.0
459,E00023896,18.0,£501K - £600K,743000.0,667750.0,23030500.0
460,E00023897,18.0,£501K - £600K,611500.0,560500.0,19072250.0
461,E00023898,27.0,£3m - £4m,3225428.571,2383142.857,53912714.286
462,E00023899,23.0,£1.25m - £1.5m,1405000.0,1191571.429,34581142.857
463,E00023900,,,,,
464,E00023901,17.0,£451K - £500K,498000.0,483000.0,29880000.0
465,E00023902,19.0,£601K - £700K,928833.333,877833.333,14784333.333
466,E00023903,21.0,£800K - £900K,842500.0,785000.0,38331500.0
467,E00023904,26.0,£2m - £3m,2170000.0,1518000.0,85617400.0
468,E00023905,26.0,£2m - £3m,1747250.0,1489250.0,57479250.0
469,E00023906,16.0,£401K - £450K,442000.0,429500.0,27182500.0
470,E00023907,19.0,£601K - £700K,596200.0,568600.0,18808800.0
471,E00023908,16.0,£401K - £450K,495000.0,478500.0,30470500.0
472,E00023909,27.0,£3m - £4m,1864428.571,1449000.0,33839142.857
473,E00023910,23.0,£1.25m - £1.5m,1384000.0,1078000.0,51925600.0
474,E00023911,16.0,£401K - £450K,412500.0,394500.0,23722500.0
475,E00023912,17.0,£451K - £500K,450500.0,429750.0,15765250.0
476,E00023913,25.0,£1.5m - £2m,1861714.286,1571571.429,51458000.0
477,E00023914,23.0,£1m - £1.25m,1161888.889,924000.0,18576555.556
478,E00023916,17.0,£451K - £500K,559666.667,520000.0,27315333.333
479,E00023917,17.0,£451K - £500K,493571.429,484000.0,9530285.714
480,E00023918,20.0,£701k - £800K,842666.667,742000.0,20718833.333
481,E00023919,29.0,£5m+,3552266.667,2120333.333,39048333.333
482,E00023920,21.0,£800K - £900K,1191000.0,1105400.0,60050800.0
483,E00023921,24.0,£1.25m - £1.5m,1267608.696,1185304.348,8780695.652
484,E00023922,26.0,£2m - £3m,2246444.444,1720333.333,34246888.889
485,E00023923,25.0,£1.5m - £2m,1337142.857,1173857.143,22975857.143
486,E00023924,26.0,£2m - £3m,2996200.0,2483800.0,27696200.0
487,E00023925,27.0,£3m - £4m,3265400.0,2278800.0,107805200.0
488,E00023926,21.0,£800K - £900K,880666.667,837333.333,10759333.333
489,E00023927,21.0,£800K - £900K,912222.222,758611.111,17075222.222
490,E00023928,19.0,£601K - £700K,801192.308,693807.692,4284653.846
491,E00023929,15.0,£376K - £400K,580152.542,501457.627,2359576.271
492,E00023930,25.0,£1.5m - £2m,1929980.392,1652176.471,8492294.118
493,E00023931,24.0,£1.25m - £1.5m,1627347.826,1367608.696,9982652.174
494,E00023932,24.0,£1.25m - £1.5m,1479571.429,1227514.286,7092000.0
495,E00023933,23.0,£1.5m - £2m,2633318.182,2006772.727,14201318.182
496,E00023934,23.0,£1m - £1.25m,1299482.759,1100413.793,6204275.862
497,E00023935,29.0,£5m+,4786477.273,2575545.455,15408659.091
498,E00023936,26.0,£2m - £3m,2805173.913,2029391.304,16076869.565
499,E00023937,29.0,£5m+,4040473.684,2104368.421,22743236.842
500,E00023938,26.0,£2m - £3m,3232133.333,1825400.0,16321866.667
501,E00023939,16.0,£401K - £450K,1946971.429,1308971.429,8920942.857
502,E00023941,18.0,£501K - £600K,1688562.5,1420125.0,17276375.0
503,E00023942,26.0,£2m - £3m,2675500.0,2020250.0,7470000.0
504,E00023943,25.0,£1.5m - £2m,1368250.0,922083.333,27971500.0
505,E00023944,18.0,£501K - £600K,546000.0,513000.0,8973571.429
506,E00023945,27.0,£3m - £4m,2718852.941,2392588.235,14347029.412
507,E00023946,26.0,£2m - £3m,2500956.522,1577608.696,20990000.0
508,E00023947,20.0,£701k - £800K,809909.091,741454.545,13667909.091
509,E00023948,21.0,£1.25m - £1.5m,972222.222,856888.889,25945555.556
510,E00023949,18.0,£501K - £600K,583230.769,529692.308,5871692.308
511,E00023950,15.0,£376K - £400K,398428.571,374428.571,6148714.286
512,E00023951,21.0,£800K - £900K,938222.222,784888.889,13773444.444
513,E00023953,20.0,£701k - £800K,732750.0,708000.0,21081500.0
514,E00023954,23.0,£1m - £1.25m,1067000.0,967000.0,28070600.0
515,E00023955,23.0,£1m - £1.25m,2013187.5,1412375.0,7134437.5
516,E00023956,21.0,£800K - £900K,1324000.0,1159888.889,9164000.0
517,E00023957,23.0,£1m - £1.25m,1208454.545,1119272.727,7429090.909
518,E00023958,19.0,£601K - £700K,653000.0,612666.667,5455000.0
519,E00023959,18.0,£501K - £600K,667500.0,619625.0,7591375.0
520,E00023960,17.0,£451K - £500K,573857.143,520285.714,4558500.0
521,E00023963,21.0,£800K - £900K,887000.0,821250.0,17684750.0
522,E00023964,19.0,£1.25m - £1.5m,963666.667,891666.667,57025333.333
523,E00023965,24.0,£1.25m - £1.5m,1362500.0,1251500.0,94968000.0
524,E00023966,18.0,£1.25m - £1.5m,818666.667,770000.0,19040666.667
525,E00023967,19.0,£1.25m - £1.5m,993333.333,910000.0,43738666.667
526,E00023968,23.0,£1m - £1.25m,1254000.0,1069750.0,31664250.0
527,E00023969,22.0,£1.25m - £1.5m,1432666.667,1355000.0,34489000.0
528,E00023971,19.0,£601K - £700K,612000.0,582000.0,15003333.333
529,E00023972,21.0,£1.25m - £1.5m,1194000.0,1081500.0,44220000.0
530,E00023973,26.0,£2m - £3m,1633250.0,1555375.0,25824875.0
531,E00023974,17.0,£451K - £500K,462800.0,439800.0,11813200.0
532,E00023975,19.0,£601K - £700K,872444.444,749777.778,36404777.778
533,E00023976,25.0,£1.5m - £2m,1802000.0,1740000.0,49297000.0
534,E00023977,22.0,£1.5m - £2m,1220000.0,1104500.0,76255500.0
535,E00023978,17.0,£451K - £500K,493666.667,469000.0,12818666.667
536,E00023979,21.0,£800K - £900K,893000.0,804000.0,83942000.0
537,E00023980,16.0,£401K - £450K,422333.333,401333.333,8163666.667
538,E00023981,20.0,£1.5m - £2m,1236333.333,1085666.667,45610666.667
539,E00023982,18.0,£501K - £600K,554750.0,527000.0,17519250.0
540,E00023985,18.0,£501K - £600K,543000.0,530500.0,21608750.0
541,E00023986,19.0,£601K - £700K,609000.0,589000.0,29841000.0
542,E00023987,17.0,£451K - £500K,544333.333,525333.333,20463666.667
543,E00023988,19.0,£601K - £700K,685666.667,673666.667,22387666.667
544,E00023989,16.0,£401K - £450K,429500.0,399000.0,32105000.0
545,E00023990,19.0,£601K - £700K,713250.0,628750.0,30949250.0
546,E00023991,23.0,£1m - £1.25m,1343250.0,1215750.0,29591000.0
547,E00023992,19.0,£1.25m - £1.5m,993750.0,811750.0,24812250.0
548,E00023993,18.0,£501K - £600K,614500.0,533500.0,22581833.333
549,E00023994,19.0,£601K - £700K,640750.0,623750.0,16246250.0
550,E00023995,15.0,£376K - £400K,382000.0,363000.0,25594000.0
551,E00023996,20.0,£701k - £800K,987166.667,861666.667,21168166.667
552,E00023997,25.0,£1.5m - £2m,1206600.0,1036000.0,24056600.0
553,E00023998,21.0,£800K - £900K,841000.0,743000.0,58029000.0
554,E00023999,23.0,£1m - £1.25m,1113000.0,999000.0,73471000.0
555,E00024001,24.0,£1.25m - £1.5m,1078800.0,927400.0,18453466.667
556,E00024002,19.0,£601K - £700K,718583.333,668166.667,19643833.333
557,E00024004,26.0,£2m - £3m,2071500.0,1946500.0,58232750.0
558,E00024005,18.0,£1.25m - £1.5m,1101750.0,939083.333,21807833.333
559,E00024006,26.0,£2m - £3m,1638666.667,1276888.889,30862777.778
560,E00024007,25.0,£1.5m - £2m,1826000.0,1456625.0,33135875.0
561,E00024008,21.0,£1m - £1.25m,978833.333,860833.333,16385666.667
562,E00024009,18.0,£501K - £600K,1171200.0,1034000.0,20064000.0
563,E00024010,7.0,£176K - £200K,456800.0,398600.0,16468200.0
564,E00024011,17.0,£451K - £500K,489750.0,478000.0,27036000.0
565,E00024012,16.0,£401K - £450K,495000.0,478000.0,21544000.0
566,E00024013,18.0,£501K - £600K,572900.0,556800.0,7010800.0
567,E00024014,18.0,£501K - £600K,690166.667,642166.667,14336333.333
568,E00024016,16.0,£401K - £450K,439333.333,427333.333,23857000.0
569,E00024017,16.0,£401K - £450K,436600.0,426000.0,10062400.0
570,E00024018,17.0,£451K - £500K,486666.667,470666.667,20310000.0
571,E00024019,17.0,£451K - £500K,616333.333,580000.0,37962666.667
572,E00024020,19.0,£601K - £700K,529600.0,499800.0,15554600.0
573,E00024021,15.0,£376K - £400K,494333.333,458666.667,31828000.0
574,E00024022,21.0,£1m - £1.25m,1002285.714,892428.571,19254285.714
575,E00024023,20.0,£701k - £800K,774800.0,735200.0,23138200.0
576,E00024024,18.0,£501K - £600K,545571.429,524857.143,13963142.857
577,E00024025,23.0,£1m - £1.25m,1402888.889,1239444.444,25227555.556
578,E00024026,19.0,£601K - £700K,646833.333,628500.0,14667166.667
579,E00024028,18.0,£501K - £600K,646428.571,621571.429,15578857.143
580,E00024029,25.0,£1.5m - £2m,1269833.333,1111166.667,26826333.333
581,E00024030,26.0,£2m - £3m,1569000.0,1269166.667,38529666.667
582,E00024031,26.0,£2m - £3m,1808571.429,1614714.286,29860142.857
583,E00024032,23.0,£1m - £1.25m,1181333.333,1047000.0,34090500.0
584,E00024033,25.0,£1.5m - £2m,1663833.333,1430000.0,24587000.0
585,E00024034,25.0,£1.5m - £2m,1353500.0,1120000.0,34643333.333
586,E00024036,19.0,£601K - £700K,741666.667,703666.667,29453333.333
587,E00024037,21.0,£800K - £900K,811000.0,784000.0,73801000.0
588,E00024038,22.0,£900K - £1m,894428.571,791285.714,14347571.429
589,E00024039,19.0,£601K - £700K,742000.0,667666.667,34138000.0
590,E00024040,23.0,£1m - £1.25m,1035666.667,925666.667,16944666.667
591,E00024041,23.0,£1m - £1.25m,1487000.0,1256600.0,25724200.0
592,E00024042,23.0,£1m - £1.25m,1054857.143,930285.714,14832428.571
593,E00024043,20.0,£701k - £800K,740428.571,699571.429,15766428.571
594,E00024044,20.0,£1m - £1.25m,904250.0,799000.0,28918750.0
595,E00024045,18.0,£501K - £600K,775250.0,734250.0,27362000.0
596,E00024046,19.0,£601K - £700K,874400.0,789600.0,14493500.0
597,E00024047,20.0,£701k - £800K,835000.0,734000.0,31926250.0
598,E00024048,26.0,£2m - £3m,2191500.0,1478416.667,30003500.0
599,E00024050,25.0,£1.5m - £2m,2237571.429,1312571.429,41363857.143
600,E00024051,18.0,£1.5m - £2m,943600.0,861400.0,18914800.0
601,E00024052,23.0,£1m - £1.25m,903125.0,770125.0,20440250.0
602,E00024053,24.0,£1.25m - £1.5m,1698833.333,1528000.0,42995500.0
603,E00024054,23.0,£1.25m - £1.5m,1296142.857,1017142.857,24019714.286
604,E00024055,23.0,£1.5m - £2m,1459000.0,1326000.0,104319500.0
605,E00024056,24.0,£1.25m - £1.5m,1492444.444,1345444.444,24275222.222
606,E00024057,20.0,£1m - £1.25m,1118909.091,961090.909,18601727.273
607,E00024058,25.0,£1.5m - £2m,1608076.923,1351000.0,27092692.308
608,E00024059,22.0,£1.25m - £1.5m,1947400.0,1557600.0,62114200.0
609,E00024060,21.0,£1.5m - £2m,1272333.333,1087000.0,26181222.222
610,E00024061,17.0,£451K - £500K,816857.143,721714.286,8249000.0
611,E00024062,21.0,£800K - £900K,893000.0,839000.0,130378000.0
612,E00024063,23.0,£1m - £1.25m,1316666.667,1158666.667,33114833.333
613,E00024064,23.0,£1m - £1.25m,1295750.0,1161750.0,47124500.0
614,E00024065,23.0,£1m - £1.25m,992250.0,854750.0,40297500.0
615,E00024066,22.0,£1m - £1.25m,1026500.0,958000.0,60815000.0
616,E00024067,24.0,£1.25m - £1.5m,1515000.0,1304571.429,23128857.143
617,E00024068,22.0,£1m - £1.25m,1264250.0,1138125.0,19173750.0
618,E00024069,19.0,£601K - £700K,744000.0,673500.0,35335500.0
619,E00024070,17.0,£451K - £500K,538000.0,526000.0,12328000.0
620,E00024071,23.0,£1.5m - £2m,1622000.0,1158000.0,73792000.0
621,E00024072,14.0,£351K - £375K,423666.667,381000.0,20525000.0
622,E00024073,11.0,£276K - £300K,273000.0,251666.667,14565000.0
623,E00024074,19.0,£601K - £700K,608833.333,539666.667,16846166.667
624,E00024075,18.0,£501K - £600K,684500.0,604000.0,21160500.0
625,E00024076,18.0,£501K - £600K,527166.667,489333.333,11152000.0
626,E00024077,19.0,£1.25m - £1.5m,965750.0,820000.0,50406500.0
627,E00024078,15.0,£376K - £400K,356000.0,331200.0,9014800.0
628,E00024079,11.0,£276K - £300K,333666.667,325333.333,13331333.333
629,E00024080,16.0,£401K - £450K,420333.333,390500.0,8055500.0
630,E00024081,15.0,£376K - £400K,381250.0,360500.0,13720750.0
631,E00024083,20.0,£701k - £800K,814166.667,716500.0,20154666.667
632,E00024084,21.0,£1.5m - £2m,1195333.333,987333.333,68056333.333
633,E00024085,18.0,£501K - £600K,559750.0,500000.0,21218250.0
634,E00024086,18.0,£501K - £600K,529333.333,493666.667,24625333.333
635,E00024087,21.0,£800K - £900K,930000.0,827500.0,28417500.0
636,E00024088,17.0,£451K - £500K,647333.333,591666.667,30981333.333
637,E00024089,18.0,£501K - £600K,522500.0,501000.0,15287250.0
638,E00024090,19.0,£1m - £1.25m,897000.0,850500.0,45274500.0
639,E00024091,18.0,£501K - £600K,553000.0,545000.0,24010333.333
640,E00024092,21.0,£800K - £900K,670909.091,620909.091,16670272.727
641,E00024093,19.0,£1m - £1.25m,869000.0,761500.0,66037000.0
642,E00024094,18.0,£501K - £600K,612666.667,567666.667,35378666.667
643,E00024095,18.0,£1m - £1.25m,789333.333,736000.0,42782666.667
644,E00024096,19.0,£601K - £700K,638000.0,581000.0,15629333.333
645,E00024097,18.0,£501K - £600K,591857.143,548714.286,9952571.429
646,E00024098,18.0,£501K - £600K,544600.0,514400.0,21536800.0
647,E00024099,11.0,£276K - £300K,294000.0,285000.0,18111000.0
648,E00024100,9.0,£226K - £250K,529500.0,497000.0,20214500.0
649,E00024101,11.0,£276K - £300K,431500.0,402250.0,15539750.0
650,E00024103,16.0,£401K - £450K,536000.0,516250.0,12734500.0
651,E00024104,18.0,£501K - £600K,507333.333,490000.0,9870166.667
652,E00024105,18.0,£501K - £600K,768500.0,681000.0,45819500.0
653,E00024106,10.0,£251K - £275K,264500.0,257000.0,16136000.0
654,E00024107,16.0,£401K - £450K,411857.143,395142.857,8031285.714
655,E00024108,20.0,£701k - £800K,581937.5,458437.5,2921093.75
656,E00024109,29.0,£5m+,4879678.571,2680785.714,18144339.286
657,E00024110,12.0,£301K - £325K,371847.826,316760.87,1389956.522
658,E00024112,23.0,£1m - £1.25m,1730168.539,1035853.933,4233629.213
659,E00024113,27.0,£3m - £4m,4635222.222,2342989.899,13973101.01
660,E00024114,20.0,£701k - £800K,1414393.939,937606.061,4299666.667
661,E00024115,29.0,£5m+,6371971.429,3226485.714,19866628.571
662,E00024116,29.0,£5m+,5109125.0,2682640.625,12240640.625
663,E00024117,29.0,£5m+,4481234.375,2333906.25,16336281.25
664,E00024118,29.0,£5m+,8346634.921,4216142.857,36576952.381
665,E00024119,25.0,£1.5m - £2m,2243850.0,1468550.0,6808025.0
666,E00024121,20.0,£701k - £800K,632483.871,579387.097,2726096.774
667,E00024122,16.0,£401K - £450K,524533.333,463400.0,4629133.333
668,E00024123,22.0,£2m - £3m,1385800.0,949866.667,9742733.333
669,E00024124,26.0,£2m - £3m,2504565.217,1465652.174,12654347.826
670,E00024125,21.0,£800K - £900K,911409.091,748227.273,6196090.909
671,E00024126,20.0,£701k - £800K,940366.667,791000.0,4327400.0
672,E00024127,25.0,£1.5m - £2m,1315148.148,1075740.741,16830555.556
673,E00024128,22.0,£900K - £1m,1217694.444,970555.556,9791333.333
674,E00024129,26.0,£2m - £3m,2390375.0,1502400.0,10056925.0
675,E00024130,23.0,£1m - £1.25m,1085964.286,808011.905,3887369.048
676,E00024133,19.0,£601K - £700K,776752.577,576340.206,1580773.196
677,E00024134,26.0,£2m - £3m,2028880.952,1231071.429,8235976.19
678,E00024135,26.0,£2m - £3m,1503272.727,818454.545,19306181.818
679,E00024136,22.0,£900K - £1m,1725117.647,1208352.941,13703617.647
680,E00024137,26.0,£2m - £3m,3467916.667,1746416.667,28307000.0
681,E00024138,17.0,£451K - £500K,491205.882,396647.059,1692676.471
682,E00024140,26.0,£2m - £3m,3740944.444,2045055.556,18687796.296
683,E00175180,15.0,£1m - £1.25m,799500.0,692000.0,39708500.0
684,E00175181,17.0,£451K - £500K,745333.333,633000.0,48143000.0
685,E00175182,17.0,£1.5m - £2m,1001000.0,798000.0,61515000.0
686,E00175183,23.0,£1.25m - £1.5m,1184583.333,1003583.333,58911833.333
687,E00175184,10.0,£251K - £275K,268000.0,251000.0,804000.0
688,E00175185,17.0,£451K - £500K,454000.0,426000.0,68100000.0
689,E00175186,19.0,£1m - £1.25m,875000.0,725500.0,16065000.0
690,E00175187,25.0,£1.5m - £2m,1287647.059,1095764.706,14088764.706
691,E00175188,20.0,£701k - £800K,794000.0,737000.0,96868000.0
692,E00175189,22.0,£900K - £1m,1165734.694,853816.327,2156326.531
693,E00175190,20.0,£701k - £800K,1562977.778,1073155.556,4015155.556
694,E00175191,25.0,£1.5m - £2m,1352256.41,1034589.744,3064051.282
695,E00175192,23.0,£1m - £1.25m,1403465.116,936697.674,2658674.419
696,E00175193,25.0,£1.5m - £2m,1232078.947,881394.737,3505421.053
697,E00175194,26.0,£2m - £3m,2369250.0,1385296.296,4593222.222
698,E00175195,18.0,£501K - £600K,822805.556,588027.778,2982000.0
699,E00175196,29.0,£5m+,3305056.818,1727431.818,8798329.545
700,E00175197,21.0,£1m - £1.25m,1028500.0,785500.0,55909000.0
701,E00175198,21.0,£800K - £900K,1006800.0,849200.0,39522800.0
702,E00175199,24.0,£1.25m - £1.5m,1357000.0,1117750.0,64219750.0
703,E00175200,18.0,£501K - £600K,510200.0,497400.0,10540000.0
704,E00175201,17.0,£451K - £500K,572000.0,546000.0,16434750.0
705,E00175202,19.0,£601K - £700K,661375.0,629000.0,12916500.0
706,E00175203,19.0,£601K - £700K,640142.857,606571.429,12969714.286
707,E00175204,24.0,£1.25m - £1.5m,1902000.0,1204500.0,84145500.0
708,E00175205,27.0,£3m - £4m,3123500.0,1947250.0,49564250.0
709,E00175206,29.0,£5m+,6680210.526,3464736.842,108346052.632
710,E00175207,29.0,£5m+,6071926.829,3070756.098,13574536.585
711,E00175208,26.0,£2m - £3m,1842000.0,921000.0,25625600.0
712,E00175209,23.0,£1m - £1.25m,1039000.0,836000.0,75847000.0
713,E00175210,23.0,£1.25m - £1.5m,1362000.0,1224500.0,117671000.0
714,E00175211,23.0,£1.25m - £1.5m,1517333.333,1279000.0,76359333.333
715,E00175212,26.0,£2m - £3m,2501113.636,1352204.545,5806545.455
716,E00175213,29.0,£5m+,4279192.308,2139576.923,13490692.308
717,E00175214,28.0,£4m - £5m,4065857.143,2392000.0,13752142.857
718,E00175215,17.0,£451K - £500K,658500.0,495166.667,6125333.333
719,E00175216,,,,,
720,E00175217,24.0,£1.25m - £1.5m,1572000.0,1354500.0,80021250.0
721,E00175218,29.0,£5m+,4358315.789,2179157.895,24146157.895
722,E00175219,29.0,£5m+,5281318.182,2640704.545,10856272.727
723,E00175220,18.0,£501K - £600K,669000.0,555285.714,11305857.143
724,E00175221,17.0,£451K - £500K,488500.0,467000.0,19543500.0
725,E00175222,16.0,£401K - £450K,597333.333,521666.667,26100000.0
726,E00175223,,,,,
727,E00175224,19.0,£601K - £700K,632500.0,601500.0,23402500.0
728,E00175225,19.0,£601K - £700K,696666.667,673833.333,39878000.0
729,E00175226,29.0,£5m+,2890000.0,2087909.091,22709181.818
730,E00175227,23.0,£1m - £1.25m,1758333.333,1543777.778,36781000.0
731,E00175228,23.0,£1.25m - £1.5m,1493000.0,1366333.333,71869000.0
732,E00175229,22.0,£1m - £1.25m,969166.667,927000.0,22431166.667
733,E00175230,11.0,£276K - £300K,612500.0,502750.0,43541500.0
734,E00175231,17.0,£451K - £500K,609000.0,548833.333,13198166.667
735,E00175232,16.0,£401K - £450K,419000.0,402000.0,17347666.667
736,E00175233,18.0,£501K - £600K,693800.0,653800.0,14558200.0
737,E00175234,16.0,£401K - £450K,542333.333,488333.333,22008333.333
738,E00175235,16.0,£401K - £450K,465875.0,383250.0,8368250.0
739,E00175236,18.0,£501K - £600K,647000.0,596500.0,26296000.0
740,E00175237,18.0,£501K - £600K,644000.0,622000.0,43691500.0
741,E00175238,18.0,£501K - £600K,508000.0,485000.0,75692000.0
742,E00175239,23.0,£1m - £1.25m,972000.0,857000.0,23268800.0
743,E00175240,22.0,£900K - £1m,909000.0,827000.0,9090000.0
744,E00175241,23.0,£1m - £1.25m,1156230.769,969076.923,9732230.769
745,E00175242,24.0,£1.25m - £1.5m,1445750.0,1268000.0,40173000.0
746,E00175243,20.0,£1.5m - £2m,1270000.0,1199000.0,48813000.0
747,E00175244,22.0,£1.25m - £1.5m,1119333.333,993333.333,57543000.0
748,E00175245,26.0,£2m - £3m,3273500.0,2421500.0,249504500.0
749,E00175246,25.0,£1.5m - £2m,1889500.0,1715000.0,115898500.0
750,E00175247,24.0,£1.25m - £1.5m,1550500.0,1186500.0,79488500.0
751,E00175249,29.0,£5m+,4670733.333,2574866.667,23844333.333
752,E00175250,26.0,£2m - £3m,2797500.0,1450800.0,29255300.0
753,E00175251,18.0,£501K - £600K,574333.333,562333.333,26750333.333
754,E00175252,,,,,
755,E00175253,20.0,£701k - £800K,716666.667,669666.667,26977333.333
756,E00175254,,,,,
757,E00175255,23.0,£1m - £1.25m,1045500.0,998000.0,60664000.0
758,E00175256,12.0,£1m - £1.25m,683250.0,525250.0,12374250.0
759,E00175257,24.0,£1.25m - £1.5m,1029000.0,946200.0,19363066.667
