,OA,Value_band,Banding Description,[mean] - Value,[median] - Value,[total] - Value
84,E00023499,19.0,£601K - £700K,871250.0,704300.0,5308050.0
85,E00023500,20.0,£701k - £800K,966714.286,781785.714,6427500.0
86,E00023501,24.0,£1.25m - £1.5m,1407727.273,889090.909,17261000.0
87,E00023502,27.0,£3m - £4m,3511333.333,2362666.667,55080333.333
88,E00023503,27.0,£3m - £4m,2965200.0,1624866.667,10782733.333
89,E00023504,14.0,£351K - £375K,490555.556,385222.222,5541888.889
90,E00023505,26.0,£2m - £3m,3053071.429,1651000.0,33551642.857
91,E00023506,26.0,£2m - £3m,2583523.81,1359095.238,15584857.143
92,E00023507,15.0,£376K - £400K,532500.0,449600.0,9026000.0
93,E00023508,24.0,£1.25m - £1.5m,1317133.333,844233.333,5907400.0
94,E00023509,24.0,£1.25m - £1.5m,995588.235,845647.059,6926352.941
95,E00023510,24.0,£1.25m - £1.5m,1094724.138,781620.69,6797965.517
96,E00023511,19.0,£601K - £700K,571166.667,529666.667,14056500.0
97,E00023512,20.0,£701k - £800K,950000.0,804142.857,16742714.286
98,E00023513,20.0,£1.25m - £1.5m,969500.0,781500.0,32875250.0
99,E00023514,22.0,£1.5m - £2m,1320900.0,1125200.0,18534900.0
100,E00023515,19.0,£601K - £700K,677400.0,489600.0,17665000.0
101,E00023516,25.0,£1.5m - £2m,1545000.0,1351571.429,34408428.571
102,E00023517,20.0,£701k - £800K,733384.615,643615.385,12917846.154
103,E00023518,21.0,£1m - £1.25m,984000.0,867857.143,17927714.286
104,E00023519,20.0,£701k - £800K,867400.0,804200.0,28539800.0
105,E00023520,24.0,£1.25m - £1.5m,1223714.286,1148857.143,25178285.714
106,E00023521,21.0,£800K - £900K,919000.0,862142.857,25917714.286
107,E00023522,26.0,£2m - £3m,2008909.091,1705272.727,41276727.273
108,E00023523,14.0,£351K - £375K,580714.286,534714.286,13636000.0
109,E00023524,26.0,£2m - £3m,2767000.0,2033500.0,99735750.0
