,OA,[per_effective_area_square_meter] - worker_count,[per_effective_area_square_meter] - student_count,[per_effective_area_square_meter] - tourist_count,[per_effective_area_square_meter] - shopper_count,[per_effective_area_square_meter] - leisurer_count,[per_effective_area_square_meter] - chorer_count,[per_effective_area_square_meter] - resident_count,[per_effective_area_square_meter] - visitors_total_count,[per_effective_area_square_meter] - total_count,[shared_scale] - [per_effective_area_square_meter] - worker_count,[shared_scale] - [per_effective_area_square_meter] - student_count,[shared_scale] - [per_effective_area_square_meter] - tourist_count,[shared_scale] - [per_effective_area_square_meter] - shopper_count,[shared_scale] - [per_effective_area_square_meter] - leisurer_count,[shared_scale] - [per_effective_area_square_meter] - chorer_count,[shared_scale] - [per_effective_area_square_meter] - resident_count
644,E00023498,8.536,1.623,1.683,1.3,1.898,1.243,2.334,16.283,18.617,8.536,1.623,1.683,1.3,1.898,1.243,2.334
645,E00023558,4.378,0.869,1.158,1.283,1.136,0.57,1.685,9.394,11.079,4.378,0.869,1.158,1.283,1.136,0.57,1.685
646,E00024032,6.784,0.965,1.303,1.212,1.427,0.674,1.913,12.365,14.278,6.784,0.965,1.303,1.212,1.427,0.674,1.913
647,E00023486,6.823,1.229,1.704,1.352,1.462,0.764,2.321,13.334,15.655,6.823,1.229,1.704,1.352,1.462,0.764,2.321
648,E00023419,1.678,0.749,0.21,0.283,0.31,0.372,3.223,3.602,6.825,1.678,0.749,0.21,0.283,0.31,0.372,3.223
649,E00023997,4.091,1.331,1.359,0.723,1.573,0.589,2.746,9.666,12.412,4.091,1.331,1.359,0.723,1.573,0.589,2.746
650,E00023900,3.086,0.335,0.911,0.223,1.106,0.36,0.0,6.021,6.021,3.086,0.335,0.911,0.223,1.106,0.36,0.0
651,E00023891,3.28,0.518,0.742,0.771,0.749,0.424,1.373,6.484,7.857,3.28,0.518,0.742,0.771,0.749,0.424,1.373
652,E00023810,1.263,0.254,0.128,0.266,0.159,0.142,2.512,2.212,4.724,1.263,0.254,0.128,0.266,0.159,0.142,2.512
653,E00023432,0.689,0.296,0.095,0.04,0.102,0.095,2.047,1.317,3.364,0.689,0.296,0.095,0.04,0.102,0.095,2.047
654,E00023844,14.495,1.732,2.403,2.806,2.485,1.178,1.505,25.099,26.604,14.495,1.732,2.403,2.806,2.485,1.178,1.505
655,E00023613,3.994,0.533,1.374,1.395,1.587,0.655,3.291,9.538,12.829,3.994,0.533,1.374,1.395,1.587,0.655,3.291
656,E00023692,2.512,0.31,0.633,0.181,0.817,0.263,2.538,4.716,7.254,2.512,0.31,0.633,0.181,0.817,0.263,2.538
657,E00023903,1.435,0.236,0.173,0.107,0.228,0.151,1.273,2.33,3.603,1.435,0.236,0.173,0.107,0.228,0.151,1.273
658,E00175236,3.481,0.642,0.69,1.508,0.781,0.6,1.595,7.702,9.297,3.481,0.642,0.69,1.508,0.781,0.6,1.595
659,E00023665,5.11,0.989,0.979,1.238,1.233,0.726,1.731,10.275,12.006,5.11,0.989,0.979,1.238,1.233,0.726,1.731
660,E00023869,1.779,0.954,0.343,0.658,0.397,0.388,2.974,4.519,7.493,1.779,0.954,0.343,0.658,0.397,0.388,2.974
661,E00023650,3.291,0.627,1.447,0.558,1.837,0.516,1.849,8.276,10.125,3.291,0.627,1.447,0.558,1.837,0.516,1.849
662,E00023614,3.044,0.613,0.682,0.559,0.754,0.552,2.872,6.204,9.076,3.044,0.613,0.682,0.559,0.754,0.552,2.872
663,E00023695,3.324,0.899,1.156,0.731,1.243,0.497,3.879,7.85,11.729,3.324,0.899,1.156,0.731,1.243,0.497,3.879
664,E00175219,4.297,0.402,0.785,0.44,0.633,0.624,1.105,7.181,8.286,4.297,0.402,0.785,0.44,0.633,0.624,1.105
665,E00023709,1.217,0.491,0.285,0.121,0.347,0.221,2.244,2.682,4.926,1.217,0.491,0.285,0.121,0.347,0.221,2.244
