,OA,[per_effective_area_square_meter] - worker_count,[per_effective_area_square_meter] - student_count,[per_effective_area_square_meter] - tourist_count,[per_effective_area_square_meter] - shopper_count,[per_effective_area_square_meter] - leisurer_count,[per_effective_area_square_meter] - chorer_count,[per_effective_area_square_meter] - resident_count,[per_effective_area_square_meter] - visitors_total_count,[per_effective_area_square_meter] - total_count,[shared_scale] - [per_effective_area_square_meter] - worker_count,[shared_scale] - [per_effective_area_square_meter] - student_count,[shared_scale] - [per_effective_area_square_meter] - tourist_count,[shared_scale] - [per_effective_area_square_meter] - shopper_count,[shared_scale] - [per_effective_area_square_meter] - leisurer_count,[shared_scale] - [per_effective_area_square_meter] - chorer_count,[shared_scale] - [per_effective_area_square_meter] - resident_count
741,E00024079,1.349,0.936,0.426,0.437,0.367,0.267,3.093,3.782,6.875,1.349,0.936,0.426,0.437,0.367,0.267,3.093
742,E00023652,9.087,1.734,2.336,1.984,2.628,1.24,1.11,19.009,20.119,9.087,1.734,2.336,1.984,2.628,1.24,1.11
743,E00023559,2.533,0.657,1.117,1.003,0.723,0.448,1.074,6.481,7.555,2.533,0.657,1.117,1.003,0.723,0.448,1.074
744,E00024070,2.521,0.605,0.665,0.259,0.574,0.581,2.17,5.205,7.375,2.521,0.605,0.665,0.259,0.574,0.581,2.17
745,E00023746,2.641,0.348,0.716,0.596,0.707,0.447,3.54,5.455,8.995,2.641,0.348,0.716,0.596,0.707,0.447,3.54
746,E00023532,3.122,0.888,0.942,0.884,0.901,0.523,2.638,7.26,9.898,3.122,0.888,0.942,0.884,0.901,0.523,2.638
747,E00023927,6.796,1.647,1.219,1.168,1.381,0.887,3.681,13.098,16.779,6.796,1.647,1.219,1.168,1.381,0.887,3.681
748,E00023747,1.723,0.214,0.354,0.281,0.43,0.251,3.485,3.253,6.738,1.723,0.214,0.354,0.281,0.43,0.251,3.485
749,E00023716,2.055,0.726,0.731,0.272,0.915,0.308,3.911,5.007,8.918,2.055,0.726,0.731,0.272,0.915,0.308,3.911
750,E00023797,1.186,0.232,0.096,0.078,0.104,0.267,2.918,1.963,4.881,1.186,0.232,0.096,0.078,0.104,0.267,2.918
751,E00175262,1.016,0.711,0.157,0.124,0.18,0.171,3.086,2.359,5.445,1.016,0.711,0.157,0.124,0.18,0.171,3.086
752,E00023548,3.076,1.272,0.625,0.486,0.746,0.589,5.117,6.794,11.911,3.076,1.272,0.625,0.486,0.746,0.589,5.117
753,E00024007,7.388,0.839,1.072,1.35,1.17,0.735,2.81,12.554,15.364,7.388,0.839,1.072,1.35,1.17,0.735,2.81
754,E00024086,1.814,0.738,0.55,0.918,0.541,0.23,3.325,4.791,8.116,1.814,0.738,0.55,0.918,0.541,0.23,3.325
755,E00023549,1.669,1.47,0.196,0.182,0.275,0.304,6.002,4.096,10.098,1.669,1.47,0.196,0.182,0.275,0.304,6.002
756,E00023829,14.818,2.028,1.751,2.257,2.047,1.094,2.081,23.995,26.076,14.818,2.028,1.751,2.257,2.047,1.094,2.081
757,E00024124,12.683,1.645,1.273,1.294,1.359,0.991,1.975,19.245,21.22,12.683,1.645,1.273,1.294,1.359,0.991,1.975
758,E00175245,1.312,0.356,0.438,0.135,0.372,0.283,2.633,2.896,5.529,1.312,0.356,0.438,0.135,0.372,0.283,2.633
759,E00023631,4.413,0.613,1.717,0.586,2.082,0.599,2.423,10.01,12.433,4.413,0.613,1.717,0.586,2.082,0.599,2.423
760,E00023440,2.206,0.498,0.445,0.659,0.482,0.309,1.577,4.599,6.176,2.206,0.498,0.445,0.659,0.482,0.309,1.577
761,E00175190,13.672,1.329,3.385,3.734,2.279,0.966,0.499,25.365,25.864,13.672,1.329,3.385,3.734,2.279,0.966,0.499
762,E00023909,1.48,0.232,0.276,0.23,0.254,0.298,2.355,2.77,5.125,1.48,0.232,0.276,0.23,0.254,0.298,2.355
763,E00023988,3.733,0.469,1.278,0.942,1.572,0.499,3.488,8.493,11.981,3.733,0.469,1.278,0.942,1.572,0.499,3.488
764,E00024044,4.802,0.616,1.001,0.896,1.02,0.771,3.003,9.106,12.109,4.802,0.616,1.001,0.896,1.02,0.771,3.003
765,E00175269,3.586,0.833,1.279,2.222,0.763,0.488,2.81,9.171,11.981,3.586,0.833,1.279,2.222,0.763,0.488,2.81
766,E00023982,0.602,0.167,0.515,0.107,0.361,0.106,3.719,1.858,5.577,0.602,0.167,0.515,0.107,0.361,0.106,3.719
767,E00023444,2.037,0.701,0.154,0.261,0.212,0.424,3.073,3.789,6.862,2.037,0.701,0.154,0.261,0.212,0.424,3.073
768,E00024127,7.701,1.614,1.984,1.621,1.877,0.724,3.4,15.521,18.921,7.701,1.614,1.984,1.621,1.877,0.724,3.4
769,E00023547,1.814,0.837,0.423,0.348,0.501,0.286,2.382,4.209,6.591,1.814,0.837,0.423,0.348,0.501,0.286,2.382
770,E00023462,1.953,0.447,0.481,0.683,0.545,0.291,2.887,4.4,7.287,1.953,0.447,0.481,0.683,0.545,0.291,2.887
771,E00023752,1.821,0.802,0.546,0.302,0.404,0.339,2.828,4.214,7.042,1.821,0.802,0.546,0.302,0.404,0.339,2.828
772,E00023871,1.504,0.522,0.346,0.59,0.374,0.255,3.623,3.591,7.214,1.504,0.522,0.346,0.59,0.374,0.255,3.623
773,E00023841,13.793,1.843,1.753,1.986,2.097,1.019,1.901,22.491,24.392,13.793,1.843,1.753,1.986,2.097,1.019,1.901
774,E00175279,1.998,0.358,0.377,0.472,0.437,0.385,3.374,4.027,7.401,1.998,0.358,0.377,0.472,0.437,0.385,3.374
775,E00023792,1.659,0.281,0.326,0.246,0.485,0.231,2.738,3.228,5.966,1.659,0.281,0.326,0.246,0.485,0.231,2.738
776,E00023713,2.681,0.745,0.827,0.35,0.954,0.342,2.958,5.899,8.857,2.681,0.745,0.827,0.35,0.954,0.342,2.958
777,E00023963,4.344,1.191,1.426,1.018,1.521,0.654,2.04,10.154,12.194,4.344,1.191,1.426,1.018,1.521,0.654,2.04
778,E00175242,2.525,0.566,0.23,0.417,0.24,0.409,2.124,4.387,6.511,2.525,0.566,0.23,0.417,0.24,0.409,2.124
779,E00175273,4.959,1.329,1.601,2.778,1.048,0.731,3.365,12.446,15.811,4.959,1.329,1.601,2.778,1.048,0.731,3.365
780,E00175180,7.505,0.837,1.611,1.65,1.902,0.789,3.205,14.294,17.499,7.505,0.837,1.611,1.65,1.902,0.789,3.205
781,E00023525,10.611,1.596,1.769,1.995,1.986,1.221,2.012,19.178,21.19,10.611,1.596,1.769,1.995,1.986,1.221,2.012
