,OA,[%_of_OA_total] - [per_effective_area_square_meter] - worker,[%_of_OA_total] - [per_effective_area_square_meter] - student,[%_of_OA_total] - [per_effective_area_square_meter] - tourist,[%_of_OA_total] - [per_effective_area_square_meter] - shopper,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[%_of_OA_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - chorer
162,E00024031,19.349,15.92,15.095,17.259,14.774,17.602,19.349,15.92,15.095,17.259,14.774,17.602
163,E00024084,15.449,13.507,15.365,23.09,13.466,19.123,15.449,13.507,15.365,23.09,13.466,19.123
164,E00023599,17.021,17.204,13.718,17.633,13.458,20.967,17.021,17.204,13.718,17.633,13.458,20.967
165,E00023540,17.177,20.437,13.722,15.499,13.352,19.813,17.177,20.437,13.722,15.499,13.352,19.813
166,E00023418,20.125,14.973,14.047,14.517,13.369,22.969,20.125,14.973,14.047,14.517,13.369,22.969
167,E00175204,17.068,16.458,17.036,12.922,16.265,20.251,17.068,16.458,17.036,12.922,16.265,20.251
168,E00023872,16.026,15.612,14.548,18.717,13.661,21.437,16.026,15.612,14.548,18.717,13.661,21.437
169,E00023413,18.783,22.063,12.54,12.804,12.646,21.164,18.783,22.063,12.54,12.804,12.646,21.164
170,E00023974,15.315,17.725,19.4,13.139,17.901,16.52,15.315,17.725,19.4,13.139,17.901,16.52
171,E00023593,17.245,17.713,13.519,16.67,13.69,21.162,17.245,17.713,13.519,16.67,13.69,21.162
172,E00175231,19.759,14.706,18.703,13.499,14.329,19.005,19.759,14.706,18.703,13.499,14.329,19.005
173,E00023512,18.283,17.073,14.671,15.826,14.094,20.052,18.283,17.073,14.671,15.826,14.094,20.052
174,E00023430,20.809,16.185,15.896,11.85,12.428,22.832,20.809,16.185,15.896,11.85,12.428,22.832
175,E00175223,18.926,16.643,13.053,14.612,13.582,23.184,18.926,16.643,13.053,14.612,13.582,23.184
176,E00023580,21.19,17.306,13.717,11.455,12.586,23.746,21.19,17.306,13.717,11.455,12.586,23.746
177,E00024023,17.067,16.189,14.227,14.9,14.227,23.39,17.067,16.189,14.227,14.9,14.227,23.39
178,E00024110,17.345,13.527,15.209,22.702,16.579,14.638,17.345,13.527,15.209,22.702,16.579,14.638
179,E00023501,18.736,16.304,15.788,14.19,14.789,20.193,18.736,16.304,15.788,14.19,14.789,20.193
180,E00023459,17.793,16.114,15.611,14.016,15.275,21.192,17.793,16.114,15.611,14.016,15.275,21.192
181,E00175208,17.192,22.649,17.886,10.767,17.638,13.868,17.192,22.649,17.886,10.767,17.638,13.868
182,E00023600,19.807,17.204,13.213,15.543,12.99,21.244,19.807,17.204,13.213,15.543,12.99,21.244
183,E00023509,18.169,16.248,16.153,15.611,16.876,16.942,18.169,16.248,16.153,15.611,16.876,16.942
184,E00023681,16.769,12.011,16.245,22.669,14.487,17.819,16.769,12.011,16.245,22.669,14.487,17.819
185,E00023471,14.438,14.779,15.291,22.649,15.483,17.36,14.438,14.779,15.291,22.649,15.483,17.36
186,E00024128,17.553,14.977,15.123,19.096,16.686,16.565,17.553,14.977,15.123,19.096,16.686,16.565
187,E00023624,16.073,13.161,16.517,17.895,16.625,19.729,16.073,13.161,16.517,17.895,16.625,19.729
188,E00023964,17.405,15.939,17.576,13.928,17.184,17.968,17.405,15.939,17.576,13.928,17.184,17.968
189,E00024085,15.498,18.673,15.047,17.607,15.569,17.607,15.498,18.673,15.047,17.607,15.569,17.607
190,E00024004,20.507,15.18,15.75,13.418,15.316,19.829,20.507,15.18,15.75,13.418,15.316,19.829
191,E00175270,14.867,13.549,15.364,21.798,13.627,20.794,14.867,13.549,15.364,21.798,13.627,20.794
192,E00023481,14.685,14.07,15.312,22.826,15.25,17.858,14.685,14.07,15.312,22.826,15.25,17.858
193,E00023565,17.096,15.972,15.488,17.689,14.254,19.5,17.096,15.972,15.488,17.689,14.254,19.5
194,E00024135,17.086,13.644,15.559,23.745,14.523,15.443,17.086,13.644,15.559,23.745,14.523,15.443
195,E00024047,17.386,15.227,16.202,15.629,13.603,21.953,17.386,15.227,16.202,15.629,13.603,21.953
196,E00023412,21.442,19.918,11.52,11.297,10.814,25.009,21.442,19.918,11.52,11.297,10.814,25.009
197,E00023662,17.459,15.351,15.232,17.387,15.47,19.102,17.459,15.351,15.232,17.387,15.47,19.102
198,E00023734,15.644,16.137,19.274,14.342,18.367,16.236,15.644,16.137,19.274,14.342,18.367,16.236
199,E00023826,19.986,16.854,12.596,13.637,12.351,24.576,19.986,16.854,12.596,13.637,12.351,24.576
200,E00023975,17.415,19.019,16.682,13.382,16.224,17.278,17.415,19.019,16.682,13.382,16.224,17.278
201,E00023859,15.26,25.128,11.519,14.27,12.949,20.873,15.26,25.128,11.519,14.27,12.949,20.873
202,E00175265,19.393,21.869,16.822,11.028,13.598,17.29,19.393,21.869,16.822,11.028,13.598,17.29
203,E00023948,19.388,15.505,14.961,16.088,15.746,18.312,19.388,15.505,14.961,16.088,15.746,18.312
204,E00023744,16.112,15.477,15.953,15.763,18.268,18.427,16.112,15.477,15.953,15.763,18.268,18.427
205,E00023518,18.64,16.189,16.359,15.485,16.05,17.276,18.64,16.189,16.359,15.485,16.05,17.276
206,E00023666,16.352,13.965,15.352,18.933,16.158,19.239,16.352,13.965,15.352,18.933,16.158,19.239
207,E00023825,19.582,17.861,13.606,13.477,13.823,21.651,19.582,17.861,13.606,13.477,13.823,21.651
208,E00023521,18.459,14.399,16.757,16.665,15.839,17.88,18.459,14.399,16.757,16.665,15.839,17.88
209,E00024076,17.671,19.478,14.739,15.542,14.016,18.554,17.671,19.478,14.739,15.542,14.016,18.554
210,E00023426,18.571,24.076,12.983,12.941,10.84,20.588,18.571,24.076,12.983,12.941,10.84,20.588
211,E00023753,16.292,15.337,16.292,15.399,18.787,17.893,16.292,15.337,16.292,15.399,18.787,17.893
212,E00024103,17.568,23.252,14.134,14.316,12.979,17.751,17.568,23.252,14.134,14.316,12.979,17.751
213,E00023973,16.905,17.095,16.463,14.989,16.695,17.853,16.905,17.095,16.463,14.989,16.695,17.853
214,E00023699,16.633,15.934,16.533,16.359,16.434,18.107,16.633,15.934,16.533,16.359,16.434,18.107
215,E00023618,17.092,15.174,16.663,15.495,17.364,18.211,17.092,15.174,16.663,15.495,17.364,18.211
216,E00024137,18.417,14.1,15.597,21.455,14.293,16.138,18.417,14.1,15.597,21.455,14.293,16.138
217,E00024100,17.426,18.388,14.747,16.098,13.717,19.624,17.426,18.388,14.747,16.098,13.717,19.624
218,E00023469,16.944,14.68,14.605,16.877,14.837,22.057,16.944,14.68,14.605,16.877,14.837,22.057
219,E00023802,18.099,17.522,14.182,15.457,13.422,21.318,18.099,17.522,14.182,15.457,13.422,21.318
220,E00023883,20.308,15.58,14.506,13.646,12.966,22.994,20.308,15.58,14.506,13.646,12.966,22.994
221,E00023499,19.715,14.576,15.353,15.535,15.165,19.657,19.715,14.576,15.353,15.535,15.165,19.657
222,E00023530,17.193,17.366,16.65,16.65,15.565,16.576,17.193,17.366,16.65,16.65,15.565,16.576
223,E00024077,16.276,13.901,15.175,21.749,13.38,19.519,16.276,13.901,15.175,21.749,13.38,19.519
224,E00023579,16.76,13.612,16.419,17.866,15.011,20.333,16.76,13.612,16.419,17.866,15.011,20.333
