OA,energy,vehicle,recycle,none
E00023412,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023418,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023432,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023433,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023436,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023437,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023440,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023442,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023443,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023444,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023446,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023449,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023880,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023881,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023885,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023886,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023888,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023889,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023890,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023893,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023894,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023922,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023923,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023924,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023925,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023413,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023415,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023419,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023422,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023426,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023427,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023429,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023430,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023431,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023434,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023435,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023438,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023439,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023441,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023445,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023447,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023448,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023774,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023787,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023788,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023789,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023790,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023791,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023792,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023793,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023794,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023795,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023796,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023414,0.7708333333333334,0.625,0.625,0.14583333333333334
